cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision,last_recent_decision,recent_decision_rows,symbol_count,recovered_symbol,symbol_unique_across_recovered_ciks
0001133470,CALAVO GROWERS INC,agriculture_forestry_fishing,0001104659-26-027142,2026-03-13 00:00:00+00:00,CVGW,xbrl_symbol_recovered,cvgw-20260131x10q.htm,9c1d5f7bfbc91604b98ed078d80c9e06803041a3f48a045a054e1a33cef39d99,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,CVGW,True
0001136294,WILLIAMS INDUSTRIAL SERVICES GROUP INC.,construction,0001558370-22-017821,2022-11-15 00:00:00+00:00,WLMS,xbrl_symbol_recovered,wlms-20220930x10q.htm,92094bceb047bdd87f3b4d4c3ef633c9d5b79688e3fd75b1257c84982877e6cf,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,1,WLMS,True
0001372020,GREAT LAKES DREDGE & DOCK CORP,construction,0001193125-26-064007,2026-02-24 00:00:00+00:00,GLDD,xbrl_symbol_recovered,gldd-20251231.htm,52027e0226988f900a97925de197a8d37415aaffa445e8c3094624180ca117f9,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,GLDD,True
0001373670,"GREEN BRICK PARTNERS, INC.",construction,0001628280-26-011798,2026-02-26 00:00:00+00:00,GRBK,xbrl_symbol_recovered,grbk-20251231.htm,68492cb7651e2444d96e2f94f35af75e1efa26a8fa1c7d798e0624ff8ceec55e,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,GRBK,True
0001561680,"TRI POINTE HOMES, INC.",construction,0001561680-26-000008,2026-02-27 00:00:00+00:00,TPH,xbrl_symbol_recovered,tph-20251231.htm,c64d2e45ec5e0f45d9b4d87414851d064e3dbea18bef5b3d681277e067a6295f,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,TPH,True
0001562476,TAYLOR MORRISON HOME CORP,construction,0001628280-26-009030,2026-02-19 00:00:00+00:00,TMHC,xbrl_symbol_recovered,tmhc-20251231.htm,984c2233b844abb8d63842252df24fad1567381c99d8b2645148f02f60a3efe3,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,TMHC,True
0001633931,TOPBUILD CORP,construction,0001104659-26-020481,2026-02-27 00:00:00+00:00,BLD,xbrl_symbol_recovered,bld-20251231x10k.htm,9dacb95ed0212b08cdb6f47cc171c015a90e35a3877c1884b62debdb402a870b,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,BLD,True
0000002178,"ADAMS RESOURCES & ENERGY, INC.",energy,0000002178-24-000096,2024-11-13 00:00:00+00:00,AE,xbrl_symbol_recovered,ae-20240930.htm,819d91c162cadc8b9e5745500d8ca52b4746f2f22dd4902cd04466d499394ab5,2023-04-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,12,1,AE,True
0000004447,HESS CORP,energy,0001628280-25-023790,2025-05-09 00:00:00+00:00,HES,xbrl_symbol_recovered,hes-20250331.htm,356f2deef1b4f30e4e58f197f5213de75ca7bd123a7d5268b06b19bdd036b889,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,HES,True
0000007039,TRECORA RESOURCES,energy,0000007039-22-000041,2022-05-06 00:00:00+00:00,TREC,xbrl_symbol_recovered,trec-20220331.htm,c35e893fa82bbab5b9efb47dd41a8e3f98f27f3e763e77581724829ea8f44f9e,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,1,TREC,True
0000007332,SOUTHWESTERN ENERGY CO,energy,0000007332-24-000028,2024-08-02 00:00:00+00:00,SWN,xbrl_symbol_recovered,swn-20240630.htm,1051756b0efbbce3bb1992fc8cd6d7983f030c0b24197d6b9166a3abbab5083a,2023-01-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,12,1,SWN,True
0000010254,EARTHSTONE ENERGY INC,energy,0000010254-23-000198,2023-11-01 00:00:00+00:00,ESTE,xbrl_symbol_recovered,este-20230930.htm,9fec0eee142148977530f1e0fd19f4e34845c7588f65d2583a7a1eef5f430714,2023-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,9,1,ESTE,True
0000048039,HOLLYFRONTIER CORP,energy,0000048039-22-000014,2022-02-24 00:00:00+00:00,HFC,xbrl_symbol_recovered,hfc-20211231.htm,288f05a4307a702a975b2e12f7872c4dd554d2d93fd0e4bf7b4f9e795ba1a99b,2023-01-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2,1,HFC,True
0000077159,RANGER OIL CORP,energy,0000077159-23-000012,2023-05-10 00:00:00+00:00,ROCC,xbrl_symbol_recovered,rocc-20230331.htm,b17a56b67c88627721c707093e92174315336ac4bb6cd747749c19bb49d62db2,2023-01-01 00:00:00+00:00,2024-07-01 00:00:00+00:00,7,1,ROCC,True
0000077877,"PDC ENERGY, INC.",energy,0000077877-23-000042,2023-08-02 00:00:00+00:00,PDCE,xbrl_symbol_recovered,pdce-20230630.htm,9eb0737f9666c50ed370d5bcbfcd38da5417538ad118e0ea8807b29fbbb20a35,2023-01-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,8,1,PDCE,True
0000101778,MARATHON OIL CORP,energy,0000101778-24-000136,2024-11-07 00:00:00+00:00,MRO,xbrl_symbol_recovered,mro-20240930.htm,4a1341743b5ac5ce32608fec360e9f29798d2e109b4e73b338ee014a4c748749,2023-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,13,1,MRO,True
0000314808,VALARIS LTD,energy,0000314808-26-000029,2026-02-21 00:00:00+00:00,VAL,xbrl_symbol_recovered,val-20251231.htm,e19574640807649a4df48ba1d56ceace344444b0899fa599a47765ee2b225895,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1,VAL,True
0000351817,"SILVERBOW RESOURCES, INC.",energy,0000351817-24-000084,2024-05-03 00:00:00+00:00,SBOW,xbrl_symbol_recovered,sbow-20240331.htm,9577aac87379bfa9389184d36ff52de709dbaf79dd81da4c5cb9205af5c46c2d,2023-01-01 00:00:00+00:00,2025-07-01 00:00:00+00:00,11,1,SBOW,True
