cik10,company_name_as_filed,sector,last_eligible_accession,last_eligible_available_at,recovered_symbols,recovery_status,primary_document,source_sha256,first_recent_decision,last_recent_decision,recent_decision_rows,symbol_count
0001496963,"SQUARESPACE, INC.",technology,0001496963-24-000072,2024-08-03 00:00:00+00:00,SQSP,xbrl_symbol_recovered,sqsp-20240630.htm,8ade4aacbcce4d4ea79901a5a7041d7792d1df18fc825829819473195165b221,2023-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,11,1
0001512673,"BLOCK, INC.",technology,0001628280-26-012254,2026-02-27 00:00:00+00:00,XYZ,xbrl_symbol_recovered,xyz-20251231.htm,4a79658826f13b9262a4686bfecaafab31c128e6a54b59932724c43c7e2de3f2,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,1
0001540755,"ANAPLAN, INC.",technology,0001540755-22-000040,2022-06-03 00:00:00+00:00,PLAN,xbrl_symbol_recovered,plan-20220430.htm,f4e137f86047acee6b052374b714d955884d251b54af82f9bdfe98be60c2f3d2,2023-01-01 00:00:00+00:00,2023-07-01 00:00:00+00:00,3,1
0001543916,"FORGEROCK, INC.",technology,0001543916-23-000061,2023-08-09 00:00:00+00:00,FORG,xbrl_symbol_recovered,forg-20230630.htm,7832b7530740c2d463f838d0a2cdeaea23bf92bd53dfa10c08f005372d8b1c77,2023-04-01 00:00:00+00:00,2024-10-01 00:00:00+00:00,7,1
0001576169,"BENEFITFOCUS, INC.",technology,0000950170-22-023355,2022-11-10 00:00:00+00:00,BNFT,xbrl_symbol_recovered,bnft-20220930.htm,5f6535521d8887a7629b297ce2d5817de910036e6bac815adc6fa6849dbe60c1,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,1
0001581760,"LIFE360, INC.",technology,0001581760-26-000016,2026-03-03 00:00:00+00:00,LIF,xbrl_symbol_recovered,lifx-20251231.htm,819eea9875cf5ab0fe5d9694c325aff9f22d2b1b53c2e4c21a438d8bf962b821,2024-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,9,1
0001598014,IHS MARKIT LTD.,technology,0001598014-22-000011,2022-01-25 00:00:00+00:00,INFO,xbrl_symbol_recovered,info-20211130.htm,2b8346ccf90f9b33be52ebcf2613fac04d3b8ffdca190be88f8c30ae7c04f17d,2023-01-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2,1
0001606745,"LIBERTY TRIPADVISOR HOLDINGS, INC.",technology,0001558370-22-016651,2022-11-08 00:00:00+00:00,LTRPA|LTRPB,xbrl_symbol_recovered,ltrpa-20220930x10q.htm,4163474f3a4d4c0e3f0002a510065efb2e950501aeeee66b39568915139ce1f2,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,2
0001619954,"INOVALON HOLDINGS, INC.",technology,0001619954-21-000130,2021-11-10 00:00:00+00:00,INOV,xbrl_symbol_recovered,inov-20210930.htm,b9f8d6028932ec1ef1d426d877c9ad24c67327836f658b94cb2add668b2ab036,2023-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,1,1
0001627857,"SAILPOINT TECHNOLOGIES HOLDINGS, INC.",technology,0001627857-22-000082,2022-08-10 00:00:00+00:00,SAIL,xbrl_symbol_recovered,sail-20220630.htm,41515cc6c8d499fb04607ffc68cacc3449230b0ac0153d0ae6030cefef63b61b,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,1
0001628945,CUE HEALTH INC.,technology,0001628945-23-000175,2023-11-09 00:00:00+00:00,HLTH,xbrl_symbol_recovered,hlth-20230930.htm,57a32eafcb4ade637bd4f3f00815bac982f479fd28e9487632c1d2dd44eb8429,2023-04-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,8,1
0001643269,"SUMO LOGIC, INC.",technology,0001643269-23-000016,2023-03-17 00:00:00+00:00,SUMO,xbrl_symbol_recovered,sumo-20230131.htm,3a5793f05fae543fb25cd3d2c68ba1edb6a3fa214cd73cd6fda2c4050612cbbe,2023-01-01 00:00:00+00:00,2024-04-01 00:00:00+00:00,6,1
0001644675,MIMECAST LTD,technology,0000950170-22-000747,2022-02-04 00:00:00+00:00,MIME,xbrl_symbol_recovered,mime-20211231.htm,b1b68d87a41ebdc02098f5e6cfa3c6b31035b8c37c355cdec1a788ad113a32f5,2023-01-01 00:00:00+00:00,2023-04-01 00:00:00+00:00,2,1
0001645070,STERLING CHECK CORP.,technology,0001645070-24-000140,2024-08-09 00:00:00+00:00,STER,xbrl_symbol_recovered,ster-20240630.htm,1e9433d695c76f23a375321b9523944f8dafce1ac4de5e0e749d5a2ab1434d0d,2023-04-01 00:00:00+00:00,2025-10-01 00:00:00+00:00,11,1
0001645590,HEWLETT PACKARD ENTERPRISE CO,technology,0001645590-26-000032,2026-03-11 00:00:00+00:00,HPE|HPEPRC,xbrl_symbol_recovered,hpe-20260131.htm,ed4a96c6a819c86298ab15130012748d68fb4d1e400fe71c8c61e5625a506104,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2
0001652044,ALPHABET INC.,technology,0001652044-26-000018,2026-02-06 00:00:00+00:00,GOOGL|GOOG,xbrl_symbol_recovered,goog-20251231.htm,c2f6301004f35411a20611c14ff01d80a85c0bcbab6053c80d8cc7f6fc747161,2023-01-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,14,2
0001679826,PING IDENTITY HOLDING CORP.,technology,0001558370-22-011966,2022-08-05 00:00:00+00:00,PING,xbrl_symbol_recovered,ping-20220630x10q.htm,5887a347f2e14d2320d67facc7c7439879f3e159c3098311ed1f0f7da0056e61,2023-01-01 00:00:00+00:00,2023-10-01 00:00:00+00:00,4,1
0001689657,"BERKELEY LIGHTS, INC.",technology,0001689657-22-000033,2022-11-09 00:00:00+00:00,BLI,xbrl_symbol_recovered,bli-20220930.htm,063180785ad7189f682c167f898d17ea8f281a8595e6ac08b341ac825d21382b,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,5,1
0001689923,"ALTERYX, INC.",technology,0001689923-24-000006,2024-02-07 00:00:00+00:00,AYX,xbrl_symbol_recovered,ayx-20231231.htm,c8bb105211fc2db75dfb55a50821b8bdbba2bce794a6640650083ca8920aef92,2023-01-01 00:00:00+00:00,2025-04-01 00:00:00+00:00,10,1
0001699838,"CONFLUENT, INC.",technology,0001699838-26-000006,2026-02-12 00:00:00+00:00,CFLT,xbrl_symbol_recovered,cflt-20251231.htm,0573b8a4a2e66bcd6f206e57d8f1a94db12936c811931aaeac567fe80376c970,2023-04-01 00:00:00+00:00,2026-04-01 00:00:00+00:00,13,1
