portfolio,window,upside_capture,downside_capture,beta_spy,corr_spy,active_vs_ggg1,active_vs_phase4b_best
prod_pin,bear_2022,0.067,0.043,0.0179,0.0705,0.0179,0.02
prod_pin,recovery_2023,0.1197,-0.1992,-0.0653,-0.1233,-0.0204,-0.0183
spy,full,1.0,1.0,1.0,1.0,0.0482,0.0416
spy,holdout_2016,1.0,1.0,1.0,1.0,0.073,0.0671
spy,holdout_2020,1.0,1.0,1.0,1.0,0.0632,0.0624
spy,holdout_2021,1.0,1.0,1.0,1.0,0.0463,0.0409
spy,bear_2022,1.0,1.0,1.0,1.0,-0.149,-0.1469
spy,recovery_2023,1.0,1.0,1.0,1.0,0.0714,0.0736
bench_60_40,full,0.5835,0.5435,0.569,0.9697,0.0122,0.0055
bench_60_40,holdout_2016,0.6029,0.5887,0.5933,0.9696,0.0133,0.0073
bench_60_40,holdout_2020,0.6185,0.6228,0.6048,0.9719,-0.0038,-0.0046
bench_60_40,holdout_2021,0.6253,0.6501,0.6234,0.9618,-0.0231,-0.0286
bench_60_40,bear_2022,0.6029,0.6854,0.6401,0.9705,-0.1441,-0.142
bench_60_40,recovery_2023,0.6478,0.6328,0.6145,0.9527,-0.0054,-0.0032
