portfolio,state,n_weeks,label,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,worst_4w,worst_13w,avg_sector,avg_defense,avg_bil_sleeve,avg_BIL
improved_phase7_larger_sector_calm,neutral_mixed,493,improved_phase7_larger_sector_calm,0.122289,0.084095,1.454179,-0.109574,1.116043,-0.026234,-0.084908,-0.0842,0.1323,0.1779,0.191,0.2204
improved_phase7_larger_sector_calm,calm_trend,295,improved_phase7_larger_sector_calm,0.042595,0.090598,0.470154,-0.139129,0.306155,-0.030849,-0.081318,-0.09188,0.2601,0.191,0.0284,0.0655
improved_phase7_larger_sector_calm,stressed_panic,229,improved_phase7_larger_sector_calm,0.038375,0.076698,0.500332,-0.124495,0.308241,-0.023689,-0.114112,-0.103786,0.0221,0.1555,0.4988,0.5252
improved_phase7_larger_sector_calm,recovery_fragile,49,improved_phase7_larger_sector_calm,0.0797,0.060942,1.307808,-0.028583,2.788424,-0.016891,-0.027939,-0.018976,0.0265,0.2433,0.1063,0.1482
improved_phase7_larger_sector_calm,recovery_confirmed,44,improved_phase7_larger_sector_calm,0.04892,0.078889,0.620105,-0.052748,0.927415,-0.023818,-0.034442,-0.040512,0.1531,0.1762,0.05,0.0732
improved_phase7_expression_boost,neutral_mixed,493,improved_phase7_expression_boost,0.120358,0.082076,1.466423,-0.107136,1.123407,-0.025753,-0.081917,-0.081188,0.0945,0.1963,0.1903,0.2216
improved_phase7_expression_boost,calm_trend,295,improved_phase7_expression_boost,0.043718,0.08645,0.505702,-0.137089,0.318901,-0.029235,-0.07438,-0.085717,0.1849,0.2252,0.0283,0.0748
improved_phase7_expression_boost,stressed_panic,229,improved_phase7_expression_boost,0.038133,0.07645,0.498799,-0.123828,0.307955,-0.023695,-0.113472,-0.103013,0.0159,0.1583,0.4988,0.524
improved_phase7_expression_boost,recovery_fragile,49,improved_phase7_expression_boost,0.076372,0.060544,1.261422,-0.030682,2.489144,-0.016942,-0.027438,-0.018584,0.0194,0.2475,0.1063,0.1489
improved_phase7_expression_boost,recovery_confirmed,44,improved_phase7_expression_boost,0.044353,0.077383,0.573166,-0.052775,0.840427,-0.023148,-0.03395,-0.043581,0.1068,0.2016,0.0475,0.069
improved_phase7_max_sector_rerisk,neutral_mixed,493,improved_phase7_max_sector_rerisk,0.122354,0.084011,1.45641,-0.109524,1.117143,-0.026162,-0.085011,-0.084285,0.1295,0.1783,0.1908,0.2201
improved_phase7_max_sector_rerisk,calm_trend,295,improved_phase7_max_sector_rerisk,0.042934,0.090675,0.473487,-0.139263,0.308291,-0.030866,-0.081283,-0.092019,0.2598,0.1905,0.0283,0.0653
improved_phase7_max_sector_rerisk,stressed_panic,229,improved_phase7_max_sector_rerisk,0.038465,0.076709,0.501444,-0.124274,0.309519,-0.023719,-0.114129,-0.103575,0.0187,0.1577,0.4988,0.5241
improved_phase7_max_sector_rerisk,recovery_fragile,49,improved_phase7_max_sector_rerisk,0.078375,0.060939,1.286128,-0.029425,2.663552,-0.01701,-0.027868,-0.019007,0.0232,0.243,0.1066,0.1489
improved_phase7_max_sector_rerisk,recovery_confirmed,44,improved_phase7_max_sector_rerisk,0.049895,0.078481,0.635762,-0.053163,0.93853,-0.023693,-0.034436,-0.040081,0.1534,0.1775,0.0492,0.0726
