cik10,company_name,trailing_1y_cagr,cagr_change
0001327567,PALO ALTO NETWORKS INC,0.9120638605479303,-0.1632631309759971
0001361113,VARONIS SYSTEMS INC,0.9126664231498607,-0.16266056837406673
0001107843,"QUALYS, INC.",0.9690714507548879,-0.10625554076903954
0000851310,HARMONIC INC.,0.9866279914205431,-0.08869900010338427
0001713683,"ZSCALER, INC.",1.0263923534362966,-0.048934638087630766
0001393052,VEEVA SYSTEMS INC,1.0286083295315671,-0.0467186619923603
0001104485,"NORTHERN OIL & GAS, INC.",1.0573896634380193,-0.01793732808590809
0001031308,BENTLEY SYSTEMS INC,1.064640390568313,-0.010686600955614356
0001792849,"HIGHPEAK ENERGY, INC.",1.070738689162451,-0.004588302361476337
0001528129,"VITAL ENERGY, INC.",1.0753269915239274,0.0
0001855747,"BLEND LABS, INC.",1.0753269915239274,0.0
0001070412,CNX RESOURCES CORP,1.0753269915239274,0.0
0001013857,PEGASYSTEMS INC,1.0753269915239274,0.0
0000785786,PLEXUS CORP,1.0753269915239274,0.0
0001475115,"EVENTBRITE, INC.",1.0753269915239279,4.440892098500626e-16
0001493761,TURTLE BEACH CORP,1.0753269915239279,4.440892098500626e-16
0001520006,MATADOR RESOURCES CO,1.0753269915239279,4.440892098500626e-16
0001114995,IMPINJ INC,1.0753269915239279,4.440892098500626e-16
0000033213,EQT CORP,1.0753269915239279,4.440892098500626e-16
0001621434,"BLACK STONE MINERALS, L.P.",1.0753269915239283,8.881784197001252e-16
0001679268,"MAMMOTH ENERGY SERVICES, INC.",1.0753269915239287,1.3322676295501878e-15
0001171486,NATURAL RESOURCE PARTNERS LP,1.0753269915239292,1.7763568394002505e-15
0001819974,"SKYWATER TECHNOLOGY, INC",1.0753269915239292,1.7763568394002505e-15
0001615165,"VERITONE, INC.",1.0753269915239292,1.7763568394002505e-15
0000874499,GULFPORT ENERGY CORP,1.0753269915239292,1.7763568394002505e-15
0000917273,RAMBUS INC,1.0870490082626336,0.011722016738706209
