decision_at,cik10,company_name,score,intended_weight,current_total_portfolio_target_weight
2026-04-01 00:00:00+00:00,0001361113,VARONIS SYSTEMS INC,0.9909872496526902,0.1,0.05
2026-04-01 00:00:00+00:00,0001393052,VEEVA SYSTEMS INC,0.989385422383064,0.1,0.05
2026-04-01 00:00:00+00:00,0000917273,RAMBUS INC,0.9755671902268762,0.1,0.05
2026-04-01 00:00:00+00:00,0001327567,PALO ALTO NETWORKS INC,0.9581151832460733,0.1,0.05
2026-04-01 00:00:00+00:00,0000851310,HARMONIC INC.,0.9534777944222792,0.1,0.05
2026-04-01 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",0.949367088607595,0.1,0.05
2026-04-01 00:00:00+00:00,0001713683,"ZSCALER, INC.",0.94795544547113,0.1,0.05
2026-04-01 00:00:00+00:00,0001792849,"HIGHPEAK ENERGY, INC.",0.9367088607594936,0.1,0.05
2026-04-01 00:00:00+00:00,0001031308,BENTLEY SYSTEMS INC,0.9344239601718504,0.1,0.05
2026-04-01 00:00:00+00:00,0001107843,"QUALYS, INC.",0.929618478362972,0.1,0.05
