candidate,cagr_full_recent,cagr_trailing_1y,cagr_ytd,sharpe_zero_rf_full_recent,sharpe_zero_rf_trailing_1y,sharpe_zero_rf_ytd,max_drawdown_full_recent,max_drawdown_trailing_1y,max_drawdown_ytd,trailing_1y_200bps_cagr
breadth10__uncapped__13w__50,0.3917737974966429,1.0753269915239274,1.1363445654211493,1.5601687597772858,2.7088730394231972,2.5559102613087323,-0.23256296706298563,-0.10669251571766492,-0.10669251571766492,0.9548443284536201
breadth10__cap_1.50x__13w__50,0.3913324975367021,1.0729937571787493,1.1323679942907212,1.5592284758385817,2.7064910027023172,2.5519496260826235,-0.23256296706298563,-0.1068108507887442,-0.10681085078874408,0.9526923679611894
breadth10__uncapped__11w__50,0.38164172238577887,1.0626350033675274,1.114748863338428,1.5305596813275824,2.686619261977624,2.52269462878124,-0.24682933026556553,-0.11226041065513526,-0.11226041065513515,0.9430575406810116
breadth10__cap_1.50x__11w__50,0.3813357337180592,1.061015090082464,1.111998803559453,1.5300552229235833,2.6856165905549685,2.5207493600881103,-0.24682933026556553,-0.11207105117744498,-0.11207105117744498,0.9414123947857309
breadth10__cap_1.00x__13w__50,0.39187303967835296,1.0584442655651198,1.1076373323840172,1.5662586761608315,2.7088143524860797,2.5488030925344387,-0.22795031674286925,-0.10106282310488035,-0.10106282310488024,0.9391198559041536
breadth20__uncapped__11w__50,0.4093476771616644,1.0510082013109465,1.0950419751651652,1.6246274897864534,2.691874564272001,2.5243054688265727,-0.21394675043925337,-0.10076752452473337,-0.10076752452473325,0.9320198735415857
breadth20__cap_1.50x__11w__50,0.4086746589588126,1.0475360879501023,1.0891710875798903,1.6231530780692407,2.6879437513162676,2.51787582718497,-0.21394675043925337,-0.10066966980927927,-0.10066966980927927,0.9287129043100903
breadth10__cap_1.00x__11w__50,0.3777150753767089,1.0470267330472538,1.08831038447043,1.5281173719674521,2.68881628299499,2.5187503722656324,-0.24338258230761967,-0.10614455568540626,-0.10614455568540626,0.9275929216875927
breadth10__uncapped__13w__40,0.3908177742057981,1.0444986799418357,1.084040584127171,1.5606669614387365,2.662932055372263,2.4853049672407197,-0.22825097884779566,-0.11212741309429386,-0.11212741309429375,0.9278741044096308
breadth10__cap_1.50x__13w__40,0.39046124235000534,1.0426402117646405,1.080903899982797,1.5598291838648668,2.6606742134458425,2.4816754564459376,-0.22825097884779566,-0.11222711586351997,-0.11222711586351997,0.9261618370864508
breadth10__uncapped__11w__40,0.3827068328805847,1.0344910467136783,1.0671720199599881,1.5372067421669986,2.645731187806063,2.459487317953775,-0.23975335138687515,-0.11655683700070996,-0.11655683700070985,0.9185564614103012
breadth10__cap_1.50x__11w__40,0.38245807013852695,1.0331929905712278,1.0649880368954476,1.5367159979793978,2.644558631884538,2.4574478542608453,-0.23975335138687515,-0.11641184415602235,-0.11641184415602235,0.9172429362649142
breadth10__cap_1.00x__13w__40,0.39084856289086245,1.031037351478556,1.0613631893230746,1.5646728656398157,2.6598751091672157,2.475502630018184,-0.22457364362116272,-0.10768368610530699,-0.10768368610530699,0.9153541864777626
breadth20__uncapped__11w__40,0.40475762743230237,1.0251583985035224,1.0514901772529197,1.6106397331179185,2.646429596370139,2.4561105756109853,-0.21361136360545063,-0.10743553043753151,-0.10743553043753151,0.9097152841903735
breadth20__cap_1.50x__11w__40,0.4042170146061115,1.0223951938477067,1.0468561895463084,1.6093638446648393,2.642912813699364,2.4504820319915037,-0.21361136360545063,-0.10736362078767536,-0.10736362078767514,0.9070857412008804
breadth10__cap_1.00x__11w__40,0.37953131057338463,1.022020540722266,1.0462282032643206,1.5345512667101175,2.6444788994456547,2.4522512271461534,-0.2369726061269397,-0.11172114242905984,-0.11172114242905984,0.906227724703289
breadth20__uncapped__13w__50,0.3876258845918239,0.9813038878434359,0.9784358506263222,1.5480341475636508,2.5197378805878468,2.2808504143282615,-0.21394675043925315,-0.13190570407027857,-0.13190570407027846,0.8665442017352438
breadth20__cap_1.50x__13w__50,0.3873034795910195,0.9796714602266632,0.9757367860912485,1.5478034865954342,2.5196803967944237,2.279914941954937,-0.21394675043925315,-0.13104099322485863,-0.13104099322485852,0.864956294681815
breadth15__uncapped__13w__50,0.3699572703100764,0.978971341108209,0.9745796527943944,1.4832999807542149,2.5069277889710793,2.2644695421267764,-0.23738613236748107,-0.137584448639274,-0.1375844486392741,0.8644107261005216
breadth15__uncapped__11w__50,0.3782287090731764,0.9789713411082082,0.9745796527943935,1.508229831822009,2.506927788971076,2.2644695421267715,-0.24725314422387368,-0.13758444863927421,-0.13758444863927421,0.8644107261005209
breadth15__cap_1.50x__13w__50,0.36958890180981063,0.9770844440041717,0.971462390453653,1.4829445885362995,2.506665030011092,2.26314507466756,-0.23738613236748107,-0.13675759322297276,-0.13675759322297265,0.8625801226938579
breadth15__cap_1.50x__11w__50,0.3778581164615764,0.9770844440041704,0.9714623904536506,1.5078889469705823,2.5066650300110895,2.263145074667555,-0.24725314422387368,-0.13675759322297298,-0.13675759322297298,0.8625801226938568
breadth20__uncapped__13w__40,0.38739446294455915,0.9697443976563613,0.959354781880138,1.5488810568534253,2.50679501983961,2.2593291872244037,-0.21361136360545085,-0.1323216575081534,-0.1323216575081535,0.8576852074638917
breadth15__cap_1.00x__13w__50,0.3636273721251426,0.9693323095335695,0.9586759075592568,1.4710148368508942,2.512059133325151,2.265341911241887,-0.23587816027458763,-0.13088724154839182,-0.13088724154839182,0.8553535419480613
breadth15__cap_1.00x__11w__50,0.378510768438707,0.9693323095335693,0.9586759075592572,1.5184268477085143,2.512059133325152,2.2653419112418867,-0.23978276964680312,-0.1308872415483917,-0.13088724154839138,0.8553535419480609
breadth20__cap_1.00x__11w__50,0.3925639181994587,0.9687901778489889,0.9577829413513037,1.5657904603331978,2.5166197088110005,2.270461231701749,-0.21253357924493022,-0.12677184930197571,-0.1267718493019755,0.8546529910682066
breadth20__cap_1.00x__13w__50,0.378807719859944,0.9687901778489882,0.9577829413513028,1.528635255007669,2.5166197088109987,2.2704612317017476,-0.21253357924493088,-0.12677184930197571,-0.1267718493019755,0.854652991068207
breadth20__cap_1.50x__13w__40,0.3871344385487121,0.9684352087194741,0.9571983452851653,1.5486436189645625,2.5065478125306164,2.258326220468519,-0.21361136360545085,-0.13163198406624932,-0.13163198406624932,0.8564133751292808
breadth15__uncapped__11w__40,0.37984610499963734,0.9678699130185111,0.9562675067327726,1.5164183840365852,2.4962227159190595,2.2458431884246917,-0.2402118628266624,-0.13688692070707187,-0.13688692070707187,0.8559792306769085
breadth15__uncapped__13w__40,0.373226773495434,0.9678699130185104,0.9562675067327726,1.4965970632280843,2.496222715919058,2.24584318842469,-0.23217739288345163,-0.1368869207070722,-0.13688692070707198,0.8559792306769085
