candidate,rule,cap,fold,validation_start,validation_end,objective,observations,start,end,total_return,cagr,sharpe,max_drawdown,ending_value_10000
static__cap_05pct,static,0.05,1,2024-02-02,2024-07-26,-0.2599671001315405,26,2024-02-02,2024-07-26,-0.03988590115563739,-0.07818091720027753,-0.5222132722499595,-0.1024657297375462,9601.140988443625
static__cap_05pct,static,0.05,2,2024-08-02,2025-01-24,0.3496545445391352,26,2024-08-02,2025-01-24,0.07255832933168493,0.15038136981877503,0.9200695259800095,-0.06148841354928447,10725.58329331685
static__cap_10pct,static,0.1,1,2024-02-02,2024-07-26,-0.2572829030031505,26,2024-02-02,2024-07-26,-0.0386825734431373,-0.07586880539809093,-0.5259221770361958,-0.09986710669202115,9613.174265568627
static__cap_10pct,static,0.1,2,2024-08-02,2025-01-24,0.35117630591019316,26,2024-08-02,2025-01-24,0.07135035277778257,0.14779157839707913,0.9317456727810149,-0.059103381364279395,10713.503527777826
static__cap_15pct,static,0.15,1,2024-02-02,2024-07-26,-0.25430358859199576,26,2024-02-02,2024-07-26,-0.037512724059973857,-0.07361824365354797,-0.5281984830702334,-0.09727144834177881,9624.872759400261
static__cap_15pct,static,0.15,2,2024-08-02,2025-01-24,0.35123270258913253,26,2024-08-02,2025-01-24,0.07005023562112234,0.14500750675281937,0.9383385217405665,-0.05671886919765701,10700.502356211224
static__cap_20pct,static,0.2,1,2024-02-02,2024-07-26,-0.25094514205172613,26,2024-02-02,2024-07-26,-0.03637647249248521,-0.07142969723397385,-0.5287042068017832,-0.0946787862346129,9636.235275075147
static__cap_20pct,static,0.2,2,2024-08-02,2025-01-24,0.3495521369975556,26,2024-08-02,2025-01-24,0.06865812004397909,0.1420301775359316,0.9387576200345822,-0.0543348910940431,10686.58120043979
gated__cap_05pct,gated,0.05,1,2024-02-02,2024-07-26,-0.26745263821588494,26,2024-02-02,2024-07-26,-0.0412794476627979,-0.08085490252625016,-0.5412789633102738,-0.10255598972413271,9587.20552337202
gated__cap_05pct,gated,0.05,2,2024-08-02,2025-01-24,0.34222581995445334,26,2024-08-02,2025-01-24,0.07159794240026907,0.14832215015649042,0.8985915062904202,-0.06148841354928425,10715.979424002691
gated__cap_10pct,gated,0.1,1,2024-02-02,2024-07-26,-0.27260826384050935,26,2024-02-02,2024-07-26,-0.04146555696862886,-0.08121172152253908,-0.5654904406082497,-0.10004786433181567,9585.344430313711
gated__cap_10pct,gated,0.1,2,2024-08-02,2025-01-24,0.3364337761401269,26,2024-08-02,2025-01-24,0.06946312165499324,0.1437513685800429,0.888936392968895,-0.059103381364279506,10694.631216549933
gated__cap_15pct,gated,0.15,1,2024-02-02,2024-07-26,-0.27783141961004454,26,2024-02-02,2024-07-26,-0.04168089384760931,-0.08162449078328293,-0.5897418367287072,-0.09754293928916957,9583.191061523907
gated__cap_15pct,gated,0.15,2,2024-08-02,2025-01-24,0.3295026362858617,26,2024-08-02,2025-01-24,0.06726984649061207,0.13906492522809466,0.8751885826263823,-0.05671886919765712,10672.698464906121
gated__cap_20pct,gated,0.2,1,2024-02-02,2024-07-26,-0.2830364881987584,26,2024-02-02,2024-07-26,-0.04192543732461984,-0.0820931323543791,-0.6136909351140075,-0.09504124413175474,9580.745626753802
gated__cap_20pct,gated,0.2,2,2024-08-02,2025-01-24,0.32138676231545266,26,2024-08-02,2025-01-24,0.06501839014218769,0.13426417134105706,0.8571601460856685,-0.05433489109404299,10650.183901421877
covariance_scaled__cap_05pct,covariance_scaled,0.05,1,2024-02-02,2024-07-26,-0.2744247793651198,26,2024-02-02,2024-07-26,-0.042838322453882305,-0.0838415230371018,-0.5535345486877089,-0.10439923831218156,9571.616775461176
covariance_scaled__cap_05pct,covariance_scaled,0.05,2,2024-08-02,2025-01-24,0.3391729108795704,26,2024-08-02,2025-01-24,0.0717651616995354,0.1486805618328313,0.8886501844513124,-0.06334039413217796,10717.651616995354
covariance_scaled__cap_10pct,covariance_scaled,0.1,1,2024-02-02,2024-07-26,-0.28649914398612175,26,2024-02-02,2024-07-26,-0.04456779268927502,-0.08714929723335585,-0.5899324281743508,-0.10373347941835642,9554.32207310725
covariance_scaled__cap_10pct,covariance_scaled,0.1,2,2024-08-02,2025-01-24,0.3312895513283095,26,2024-08-02,2025-01-24,0.0698553319253854,0.1445904312491766,0.8724105117931938,-0.06280701573833114,10698.553319253853
covariance_scaled__cap_15pct,covariance_scaled,0.15,1,2024-02-02,2024-07-26,-0.2986032799927184,26,2024-02-02,2024-07-26,-0.04631094372368916,-0.09047718393879967,-0.626364358222312,-0.1030700129966815,9536.890562763108
covariance_scaled__cap_15pct,covariance_scaled,0.15,2,2024-08-02,2025-01-24,0.32330587316385656,26,2024-08-02,2025-01-24,0.0679445645567549,0.14050559296631682,0.8557487543429012,-0.062273816776371116,10679.44564556755
covariance_scaled__cap_20pct,covariance_scaled,0.2,1,2024-02-02,2024-07-26,-0.3106782084091215,26,2024-02-02,2024-07-26,-0.04806772313413854,-0.09382494026097687,-0.6625953870030692,-0.1024088427947547,9519.322768658614
covariance_scaled__cap_20pct,covariance_scaled,0.2,2,2024-08-02,2025-01-24,0.3152220970644622,26,2024-08-02,2025-01-24,0.06603287101878363,0.1364260820925507,0.8386656549102057,-0.06174079751127992,10660.328710187836
