target,model,subperiod,n_oos,brier,auc,pearson_ic,spearman_ic,positive_spearman_ic_rate,top_minus_bottom_forward_return_spread,top_decile_precision
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,2010_2015,10695,0.1969698484108663,0.546366613396,-0.03802834785658933,-0.03909650619412602,0.46645367412140576,-0.001566430498483866,0.2787539936102236
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,2016_2020,9135,0.19216569771210537,0.5434492382019577,-0.06557814260233198,-0.07786613368749493,0.38697318007662834,-0.005103762761771349,0.2567049808429119
target_etf_forward_risk_adjusted_top_quantile_4w,decision_tree_depth3,2021_2026,9520,0.1936667497764949,0.5114762050653594,-0.0836005189718103,-0.06324187150925312,0.40441176470588236,-0.009116689931738028,0.2977941176470588
target_etf_forward_risk_adjusted_top_quantile_4w,hist_gradient_depth3,2010_2015,10695,0.1948595172252959,0.5640789973975688,-0.03360217972807469,-0.025686595017663922,0.46325878594249204,-0.0009827021451315216,0.3075079872204473
target_etf_forward_risk_adjusted_top_quantile_4w,hist_gradient_depth3,2016_2020,9135,0.18946328127355727,0.5743485667848198,-0.01900812840369253,-0.038668074019160954,0.4482758620689655,0.004749441565540873,0.3314176245210728
target_etf_forward_risk_adjusted_top_quantile_4w,hist_gradient_depth3,2021_2026,9520,0.19068548666507276,0.5542340351251738,-0.04128754956655344,-0.038438872583924685,0.46691176470588236,-0.0056580908452026355,0.32996323529411764
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,2010_2015,10695,0.1933544072322725,0.5670788632070384,-0.035348178258212216,-0.04067767101031525,0.43769968051118213,0.0006162180878122307,0.3035143769968051
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,2016_2020,9135,0.1903948503562799,0.5514547580430348,-0.09385281892484794,-0.12043637378322977,0.3716475095785441,-0.004925466880730662,0.2921455938697318
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_base,2021_2026,9520,0.19064137084030774,0.5456951422160117,-0.06123791186303699,-0.05514705882352941,0.47058823529411764,-0.00706926844585247,0.3400735294117647
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,2010_2015,10695,0.19459107427791356,0.5682751776447408,-0.0243448569848575,-0.023931884691140475,0.4504792332268371,0.0010368529072390567,0.31389776357827476
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,2016_2020,9135,0.19009566710941594,0.5671020031349445,-0.03825472224453926,-0.04971935134206939,0.4329501915708812,-0.0030963409095487128,0.2681992337164751
target_etf_forward_risk_adjusted_top_quantile_4w,logistic_l2_interactions,2021_2026,9520,0.1914792267665467,0.5417854842257416,-0.07451694446954289,-0.05962576206953371,0.48161764705882354,-0.012566179628640399,0.33088235294117646
target_etf_forward_risk_adjusted_top_quantile_4w,naive_historical_class_rate,2010_2015,10695,0.19401819396255374,0.49977857210641186,4.888091475144593e-18,,0.0,-0.0025712016321283813,0.1988817891373802
target_etf_forward_risk_adjusted_top_quantile_4w,naive_historical_class_rate,2016_2020,9135,0.19104941821265567,0.5,-2.7053150371640444e-18,,0.0,0.005236819360968385,0.19923371647509577
target_etf_forward_risk_adjusted_top_quantile_4w,naive_historical_class_rate,2021_2026,9520,0.1910346496766568,0.49999999999999994,-4.8400675773724435e-18,,0.0,-0.0032682010858287387,0.2977941176470588
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,2010_2015,10695,0.19165110777290556,0.5748216748438176,-0.014882003119819421,-0.013312965610976753,0.476038338658147,0.0010307675990559521,0.32987220447284343
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,2016_2020,9135,0.1886463703034335,0.5762489057618313,-0.051940720533067114,-0.0665030475090545,0.41379310344827586,-0.002574194953529225,0.328544061302682
target_etf_forward_risk_adjusted_top_quantile_4w,random_forest_depth4,2021_2026,9520,0.190394047285734,0.5404495809211693,-0.08378099913792922,-0.06582549398302506,0.41911764705882354,-0.011506666009409035,0.3079044117647059
target_etf_forward_risk_adjusted_top_quantile_4w,simple_momentum_rank,2010_2015,10695,0.3307446299873397,0.5246211460664375,0.03405157044011075,0.04839820331269307,0.5750798722044729,0.0012624902585768667,0.2827476038338658
target_etf_forward_risk_adjusted_top_quantile_4w,simple_momentum_rank,2016_2020,9135,0.33348341768710343,0.5181255526083113,-0.011444144620681577,0.005987529111261367,0.5325670498084292,-9.018160796329269e-06,0.2595785440613027
target_etf_forward_risk_adjusted_top_quantile_4w,simple_momentum_rank,2021_2026,9520,0.33744893946581495,0.5077457264957266,-0.006557187498309691,-0.009613404185203489,0.4963235294117647,-0.0019095661868430438,0.26378676470588236
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,2010_2015,10695,0.19402157799106146,0.49925379610952,2.728889419462865e-18,,0.0,-0.0025712016321283813,0.1988817891373802
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,2016_2020,9135,0.191049418077536,0.49999999999999994,-8.797806300171327e-18,,0.0,0.005236819360968385,0.19923371647509577
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,2021_2026,9520,0.19103539267517858,0.5,-1.3865295027040466e-18,,0.0,-0.0032682010858287387,0.2977941176470588
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,2010_2015,10695,0.2023487855320395,0.5392807856193171,-0.057502996883136114,-0.0584857061346048,0.4249201277955272,-0.003875082464885654,0.3059105431309904
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,2016_2020,9135,0.19216997429640376,0.5666899033482025,-0.06966469606876124,-0.10403295262411051,0.3486590038314176,-0.010919187204696012,0.26340996168582376
