target,model,bucket,n,avg_prediction,actual_rate,avg_forward_return
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,0,2935,0.2589685382405487,0.2575809199318569,0.011812460255544423
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,1,2935,0.2608536715102606,0.2575809199318569,0.005656748111509934
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,2,2935,0.26124408326570286,0.2572402044293015,-0.0016829242967734907
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,3,2935,0.2616736965686056,0.2565587734241908,0.008569501434111657
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,4,2935,0.2622369632939226,0.2592844974446337,0.00622227714446504
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,5,2935,0.2628472606671078,0.2572402044293015,0.004464531899169733
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,6,2935,0.2634608470589144,0.2606473594548552,0.0031908537051871994
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,7,2935,0.26401535511526847,0.2616695059625213,-0.001622799884255544
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,8,2935,0.2643485263016126,0.2643952299829642,0.013125928413301699
target_etf_forward_risk_adjusted_top_quantile_4w,state_only_lag1_rate,9,2935,0.2645639567501155,0.2620102214650767,0.00508077340129545
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,0,2921,0.08707678481045286,0.25265320095857585,0.019518657732557284
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,1,2921,0.1613937227375049,0.19856213625470728,0.011478172263770585
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,2,2921,0.18022608681983734,0.21465251626155427,0.016190413570564447
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,3,2921,0.21499365586409613,0.25368024649092774,0.025585351211909576
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,4,2921,0.24490218192006574,0.24306744265662444,-0.0014749772836738816
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,5,2921,0.28182559254571615,0.24169804861348854,0.010954459781133909
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,6,2921,0.2970213115258034,0.26258130777131117,0.006787033248554442
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,7,2921,0.32043173386099755,0.3382403286545704,0.010804851236209154
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,8,2921,0.3481626179280642,0.2745635056487504,0.005517981110111388
target_etf_forward_risk_adjusted_top_quantile_8w,decision_tree_depth3,9,2921,0.4278583455168008,0.3146182814104759,0.00635047046145788
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,0,2921,0.11272004611686966,0.1766518315645327,0.007320043572781432
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,1,2921,0.16289411654197625,0.20232796987333104,0.011924747051013394
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,2,2921,0.1910809800840026,0.2283464566929134,0.01572195698752965
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,3,2921,0.21530783346815824,0.23382403286545703,0.016704113903766214
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,4,2921,0.23798225845645843,0.2704553235193427,0.014510535954066725
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,5,2921,0.25988936126834095,0.2482026703183841,0.0128883270683107
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,6,2921,0.2838795000248695,0.2766175967134543,0.012200381554097183
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,7,2921,0.31292366270862076,0.29613146182814104,0.009581629371851814
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,8,2921,0.35227750317965634,0.30092434097911674,0.0062053551646880645
target_etf_forward_risk_adjusted_top_quantile_8w,hist_gradient_depth3,9,2921,0.46287972960991497,0.36083533036631293,0.0046553227044896055
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,0,2921,0.1336561139203117,0.20403971242725094,0.012721829834201616
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,1,2921,0.17650321617877213,0.19958918178705923,0.015662141342542985
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,2,2921,0.20140977487909975,0.23416638137624102,0.01447343760896504
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,3,2921,0.22267660683753404,0.250256761383088,0.012889897607292132
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,4,2921,0.24210969403297808,0.2766175967134543,0.01640621518915295
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,5,2921,0.26180954016318536,0.26258130777131117,0.01224243293356445
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,6,2921,0.2834494493172822,0.2420403971242725,0.009216084202884627
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,7,2921,0.3088016044460889,0.2629236562820952,0.006314740656806601
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,8,2921,0.34418669128747253,0.28414926395070184,0.005709096576489307
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_base,9,2921,0.43124283813540915,0.3779527559055118,0.0060765373806950735
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,0,2921,0.11531966892254907,0.19856213625470728,0.005910059039593116
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,1,2921,0.17144917260977524,0.19787743923313933,0.01220119645436583
target_etf_forward_risk_adjusted_top_quantile_8w,logistic_l2_interactions,2,2921,0.1994201634416355,0.21499486477233823,0.01710033685830344
