rule_name,target,market_state,n_state_obs,n_events,event_frequency,precision,baseline_precision,precision_lift,avg_forward_return,baseline_avg_forward_return
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,calm_trend,8906,221,0.02481473164158994,0.2081447963800905,0.25971255333483045,-0.051567756954739946,0.005744245801844414,0.0014150441011628431
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,neutral_mixed,12674,651,0.051364999210983114,0.2073732718894009,0.2599021619062648,-0.052528890016863894,0.005071986747781321,0.007864108633122808
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,recovery_confirmed,1395,24,0.017204301075268817,0.3333333333333333,0.25806451612903225,0.07526881720430106,0.012332544123202144,0.005740015900132737
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,recovery_fragile,1220,38,0.03114754098360656,0.21052631578947367,0.2581967213114754,-0.047670405522001746,-0.002451784363240382,0.004480230484619026
rule_int_mom13_x_lowvol13__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,stressed_panic,5162,698,0.13521890740023246,0.19484240687679083,0.2580395195660597,-0.06319711268926886,0.002559335207493564,0.006686765824965065
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,calm_trend,8906,221,0.02481473164158994,0.248868778280543,0.25971255333483045,-0.010843775054287463,0.004639788457774471,0.00410352140722696
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,neutral_mixed,12569,649,0.051634974938340364,0.16024653312788906,0.25992521282520487,-0.09967867969731581,0.008125046677177252,0.014527301328741162
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,recovery_confirmed,1395,24,0.017204301075268817,0.5,0.25806451612903225,0.24193548387096775,0.03834583812277375,0.019242971263184132
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,recovery_fragile,1220,38,0.03114754098360656,0.4473684210526316,0.2581967213114754,0.18917169974115616,0.012484040750333948,-0.00022790410775056337
rule_int_mom13_x_lowvol13__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,stressed_panic,5127,698,0.13614199336844157,0.14613180515759314,0.2580456407255705,-0.11191383556797738,0.003677159613907287,0.015539357936034136
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,calm_trend,8906,221,0.02481473164158994,0.3212669683257919,0.25971255333483045,0.061554414990961426,0.005744245801844414,0.0014150441011628431
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,neutral_mixed,12671,651,0.051377160445110884,0.37327188940092165,0.2599636966301002,0.11330819277082144,0.005071986747781321,0.007886207812807192
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,recovery_confirmed,1395,24,0.017204301075268817,0.4166666666666667,0.25806451612903225,0.15860215053763443,0.012332544123202144,0.005740015900132737
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,recovery_fragile,1217,38,0.031224322103533278,0.3684210526315789,0.25883319638455216,0.10958785624702677,-0.002451784363240382,0.004723361628163968
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,stressed_panic,5161,698,0.135245107537299,0.3151862464183381,0.25808951753536136,0.05709672888297673,0.002559335207493564,0.006705046995841937
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,calm_trend,8906,221,0.02481473164158994,0.3438914027149321,0.25971255333483045,0.08417884938010167,0.004639788457774471,0.00410352140722696
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,neutral_mixed,12566,649,0.051647302244150886,0.35130970724191063,0.2599872672290307,0.09132244001287992,0.008125046677177252,0.014558561184797762
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,recovery_confirmed,1395,24,0.017204301075268817,0.625,0.25806451612903225,0.36693548387096775,0.03834583812277375,0.019242971263184132
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,recovery_fragile,1217,38,0.031224322103533278,0.5,0.25883319638455216,0.24116680361544784,0.012484040750333948,0.0002025645882895124
rule_int_mom13_x_lowvol13__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,stressed_panic,5126,698,0.13616855247756535,0.2851002865329513,0.25809598127194694,0.027004305261004335,0.003677159613907287,0.01555455556525306
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,calm_trend,8906,154,0.01729171345160566,0.14935064935064934,0.25971255333483045,-0.11036190398418111,0.0014978952815017546,0.0014150441011628431
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,neutral_mixed,12674,551,0.04347483036136973,0.1996370235934664,0.2599021619062648,-0.060265138312798394,0.006667240179370724,0.007864108633122808
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,recovery_confirmed,1395,48,0.034408602150537634,0.3333333333333333,0.25806451612903225,0.07526881720430106,0.00423672843002253,0.005740015900132737
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,recovery_fragile,1220,44,0.036065573770491806,0.13636363636363635,0.2581967213114754,-0.12183308494783907,-0.0037166307358775176,0.004480230484619026
rule_int_mom26_x_lowvol26__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,stressed_panic,5162,595,0.11526540100736149,0.16134453781512606,0.2580395195660597,-0.09669498175093363,0.004461514874445929,0.006686765824965065
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,calm_trend,8906,154,0.01729171345160566,0.2012987012987013,0.25971255333483045,-0.058413852036129144,0.0006453248731904866,0.00410352140722696
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,neutral_mixed,12569,551,0.04383801416182671,0.16333938294010888,0.25992521282520487,-0.09658582988509598,0.010526080265733569,0.014527301328741162
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,recovery_confirmed,1395,48,0.034408602150537634,0.4791666666666667,0.25806451612903225,0.22110215053763443,0.018158123603627976,0.019242971263184132
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,recovery_fragile,1220,44,0.036065573770491806,0.4090909090909091,0.2581967213114754,0.1508941877794337,0.008477428172377451,-0.00022790410775056337
rule_int_mom26_x_lowvol26__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,stressed_panic,5127,595,0.11605227228398673,0.12100840336134454,0.2580456407255705,-0.13703723736422596,0.009029632275546231,0.015539357936034136
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,calm_trend,8906,154,0.01729171345160566,0.23376623376623376,0.25971255333483045,-0.025946319568596693,0.0014978952815017546,0.0014150441011628431
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,neutral_mixed,12671,551,0.04348512351037803,0.38656987295825773,0.2599636966301002,0.12660617632815752,0.006667240179370724,0.007886207812807192
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,recovery_confirmed,1395,48,0.034408602150537634,0.4166666666666667,0.25806451612903225,0.15860215053763443,0.00423672843002253,0.005740015900132737
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,recovery_fragile,1217,44,0.036154478225143796,0.25,0.25883319638455216,-0.008833196384552156,-0.0037166307358775176,0.004723361628163968
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_4w,target_etf_forward_risk_adjusted_top_quantile_4w,stressed_panic,5161,595,0.1152877349350901,0.31092436974789917,0.25808951753536136,0.05283485221253781,0.004461514874445929,0.006705046995841937
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,calm_trend,8906,154,0.01729171345160566,0.2662337662337662,0.25971255333483045,0.006521212898935758,0.0006453248731904866,0.00410352140722696
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,neutral_mixed,12566,551,0.04384848002546554,0.397459165154265,0.2599872672290307,0.1374718979252343,0.010526080265733569,0.014558561184797762
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,recovery_confirmed,1395,48,0.034408602150537634,0.4791666666666667,0.25806451612903225,0.22110215053763443,0.018158123603627976,0.019242971263184132
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,recovery_fragile,1217,44,0.036154478225143796,0.5227272727272727,0.25883319638455216,0.26389407634272055,0.008477428172377451,0.0002025645882895124
rule_int_mom26_x_lowvol26__forward_risk_adjusted_top_quantile_8w,target_etf_forward_risk_adjusted_top_quantile_8w,stressed_panic,5126,595,0.11607491221225127,0.2991596638655462,0.25809598127194694,0.04106368259359927,0.009029632275546231,0.01555455556525306
rule_int_mom13_x_drawdown_repair__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,calm_trend,8906,603,0.06770716370985852,0.26865671641791045,0.25971255333483045,0.008944163083079992,0.0007957592779574591,0.0014150441011628431
rule_int_mom13_x_drawdown_repair__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,neutral_mixed,12674,1208,0.09531323970332965,0.2326158940397351,0.2599021619062648,-0.027286267866529712,0.003653221941751597,0.007864108633122808
rule_int_mom13_x_drawdown_repair__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,recovery_confirmed,1395,40,0.02867383512544803,0.325,0.25806451612903225,0.06693548387096776,0.00925854769394246,0.005740015900132737
rule_int_mom13_x_drawdown_repair__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,recovery_fragile,1220,67,0.05491803278688524,0.16417910447761194,0.2581967213114754,-0.09401761683386348,0.0020516245807669746,0.004480230484619026
rule_int_mom13_x_drawdown_repair__forward_top_quantile_4w,target_etf_forward_top_quantile_4w,stressed_panic,5162,849,0.1644711352189074,0.2037691401648999,0.2580395195660597,-0.05427037940115981,0.0005964705260870459,0.006686765824965065
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,calm_trend,8906,603,0.06770716370985852,0.27197346600331673,0.25971255333483045,0.012260912668486279,0.004736166941541587,0.00410352140722696
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,neutral_mixed,12569,1208,0.0961094756941682,0.21688741721854304,0.25992521282520487,-0.04303779560666182,0.008600302497430351,0.014527301328741162
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,recovery_confirmed,1395,40,0.02867383512544803,0.575,0.25806451612903225,0.3169354838709677,0.033720223713202366,0.019242971263184132
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,recovery_fragile,1220,67,0.05491803278688524,0.40298507462686567,0.2581967213114754,0.14478835331539025,0.012155922189928007,-0.00022790410775056337
rule_int_mom13_x_drawdown_repair__forward_top_quantile_8w,target_etf_forward_top_quantile_8w,stressed_panic,5127,848,0.16539886873415252,0.13443396226415094,0.2580456407255705,-0.12361167846141957,-0.00020294411706444303,0.015539357936034136
