Date,net_return,wealth,outer_turnover,outer_cost,growth_weight_end,drawdown
2023-01-06,0.018688477627205824,1.0186884776272058,0.0,0.0,0.0823853191965779,0.0
2023-01-13,0.005462464312368187,1.0242530270816652,0.0,0.0,0.08165271319667529,0.0
2023-01-20,0.026109131198208013,1.050995383745902,0.0,0.0,0.08013784264341436,0.0
2023-01-27,0.01490486735194163,1.0666603305281377,0.0,0.0,0.08164009381001665,0.0
2023-02-03,-0.010057107590183745,1.0559328128218353,0.0,0.0,0.0816642585966288,-0.010057107590183745
2023-02-10,-0.0030501010304860854,1.0527121110613233,0.0,0.0,0.07923453112978925,-0.013076533426445214
2023-02-17,-0.02500201116266898,1.0263921911094913,0.0,0.0,0.08127074378351765,-0.037751604954417206
2023-02-24,0.027766650002846394,1.0548916638456831,0.0,0.0,0.08060066232791706,-0.011033190553385919
2023-03-03,-0.037208196574117225,1.0156410474529154,0.0,0.0,0.07495349035209461,-0.047830862004553
2023-03-10,0.021387865153028374,1.0373634412197188,0.0,0.0,0.07130283638822102,-0.027465996878231258
2023-03-17,0.021627753571259678,1.0597992820902529,0.0,0.0,0.07135672472854122,-0.006432271119042876
2023-03-24,0.039109460552068764,1.1012474603062723,0.0,0.0,0.07373175113887742,0.0
2023-03-31,-0.019512739426817416,1.0797591055688716,0.0,0.0,0.07209206220668958,-0.019512739426817416
2023-04-07,-0.013746956003124033,1.0649157046506437,0.0,0.0,0.06160986279768135,-0.032991454659540564
2023-04-14,-0.006209825685788761,1.0583027637547042,0.0,0.0,0.06190341616897836,-0.03899640916277303
2023-04-21,0.012436250791094894,1.0714640823376667,0.0,0.0,0.05582374370978715,-0.027045127495978538
2023-04-28,-0.0015308111123094603,1.0698238732139838,0.0,0.0,0.0549785816193918,-0.0285345376265832
2023-05-05,-0.005222087726031721,1.0642371590966573,0.0,0.0,0.057327457116381576,-0.03360761549390723
2023-05-12,0.03030458041728812,1.0964884196675682,0.0,0.0,0.0566694725463665,-0.004321499762987457
2023-05-19,0.02976560063982392,1.1291260560735847,0.0,0.0,0.055602428650098575,0.0
2023-05-26,0.012037469680018509,1.1427178767384893,0.0,0.0,0.057993702423067804,0.0
2023-06-02,-0.0034476747853036116,1.1387781571281423,0.0,0.0,0.05733524539901429,-0.0034476747853036116
2023-06-09,0.038130188831194456,1.182199983296278,0.0,0.0,0.056249139518336856,0.0
2023-06-16,-0.0265019363391934,1.1508693945987645,0.0,0.0,0.053655479245731066,-0.0265019363391934
2023-06-23,0.02975892953510284,1.1851180358167357,0.0,0.0,0.05495784883876257,0.0
2023-06-30,-0.018148786261169003,1.1636095818904413,0.0,0.0,0.056636849293930855,-0.018148786261169003
2023-07-07,0.030698687191308194,1.1993308684577049,0.0,0.0,0.055933184853848024,0.0
2023-07-14,-0.0055114199296297794,1.192720852407067,0.0,0.0,0.05475216755519335,-0.0055114199296297794
2023-07-21,0.015385518139525045,1.2110714807171656,0.0,0.0,0.05456942898182264,0.0
2023-07-28,-0.03322595658054339,1.1708324722829226,0.0,0.0,0.05514658882508288,-0.03322595658054339
2023-08-04,-0.019897697603663,1.147535601804888,0.0,0.0,0.055015700105866254,-0.0524625341475744
2023-08-11,-0.01911350424134506,1.1256021752126957,0.0,0.0,0.05291097009105084,-0.07057329551997804
2023-08-18,0.018744235517121233,1.1467007274834664,0.0,0.0,0.05217210080795129,-0.05315190247530266
2023-08-25,0.032684721667069594,1.1841803215966897,0.0,0.0,0.051963219431655105,-0.02220443594671362
2023-09-01,-0.018916002337549864,1.1617803638652862,0.0,0.0,0.05135710344264665,-0.040700419121991516
2023-09-08,-0.015329936966189561,1.1439703441186746,0.0,0.0,0.05211166980511546,-0.055406421228543334
2023-09-15,-0.02491774687940429,1.1154651806463804,0.0,0.0,0.05147806329000286,-0.07894356492828114
2023-09-22,-0.0039020099862960844,1.1111126243721328,0.0,0.0,0.05256612614267721,-0.08253753633587324
2023-09-29,0.01017051888522702,1.1224132163019236,0.0,0.0,0.052528995238647624,-0.0732064670226904
2023-10-06,0.009468999902815911,1.1330413469380058,0.0,0.0,0.0532447346438714,-0.06443065914899782
2023-10-13,-0.02217949607192682,1.1079110608342637,0.0,0.0,0.053909837319835584,-0.08518111566941777
2023-10-20,-0.0182365740904733,1.0877065586877048,0.0,0.0,0.05404889699390241,-0.10186427803287657
2023-10-27,0.06210279855946821,1.1552561799936998,0.0,0.0,0.052429557374512416,-0.04608753621248962
2023-11-03,0.03952850777336603,1.2009217328848099,0.0,0.0,0.04874933990547739,-0.008380799972554365
2023-11-10,0.018650219151735037,1.2233191863871928,0.0,0.0,0.048921807024008016,0.0
2023-11-17,0.008388098292397617,1.2335805079655844,0.0,0.0,0.04850916027993922,0.0
2023-11-24,0.005385651658171842,1.2402241428737977,0.0,0.0,0.048097655835335956,0.0
2023-12-01,0.003634741920997664,1.2447320375573345,0.0,0.0,0.04603498446687946,0.0
2023-12-08,0.028914637441091573,1.280723013134616,0.0,0.0,0.04719914856037947,0.0
