weeks,start,end,cagr,total_return,sharpe_zero_rf,annual_volatility,max_drawdown,win_rate,best_week,worst_week,scenario,mode,growth_allocation,cost_bps,window,ending_growth_weight,annual_outer_turnover,incumbent_cagr,incumbent_sharpe,incumbent_max_drawdown,cagr_change_vs_incumbent,drawdown_change_vs_incumbent
188,2023-01-06,2026-08-07,0.41800008601656646,2.534825723542166,1.777818130179198,0.20927648950364605,-0.15825384743697157,0.6170212765957447,0.08519601087201778,-0.080216316150858,base,buy_and_drift,0.0,50,full_recent,0.0,0.0,0.41800008601656646,1.777818130179198,-0.15825384743697157,0.0,0.0
157,2023-08-11,2026-08-07,0.4165932207977048,1.861831358300404,1.7096851524165342,0.21810245525612817,-0.15825384743697135,0.6305732484076433,0.08519601087201778,-0.080216316150858,base,buy_and_drift,0.0,50,since_incumbent_holdout_start,0.0,0.0,0.4165932207977048,1.7096851524165342,-0.15825384743697135,0.0,0.0
105,2024-08-09,2026-08-07,0.5287966002399298,1.3563760676733447,1.9218826614680395,0.2360212601428647,-0.15825384743697157,0.6571428571428571,0.08519601087201778,-0.080216316150858,base,buy_and_drift,0.0,50,trailing_2y,0.0,0.0,0.5287966002399298,1.9218826614680395,-0.15825384743697157,0.0,0.0
53,2025-08-08,2026-08-07,0.6875363817532016,0.7046035845885386,2.111492388856728,0.26534271619814376,-0.1582538474369718,0.660377358490566,0.08519601087201778,-0.080216316150858,base,buy_and_drift,0.0,50,trailing_1y,0.0,0.0,0.6875363817532016,2.111492388856728,-0.1582538474369718,0.0,0.0
188,2023-01-06,2026-08-07,0.41338418105164876,2.49340156422868,1.760840635752358,0.20945440484160058,-0.1530369597583111,0.6117021276595744,0.08320047166137279,-0.07668882923710074,base,buy_and_drift,0.05,50,full_recent,0.03873506219531778,0.0,0.41800008601656646,1.777818130179198,-0.15825384743697157,-0.004615904964917705,0.0052168876786604645
157,2023-08-11,2026-08-07,0.4153356403209312,1.8541676023689666,1.7038211012195918,0.2183654742178831,-0.153036959758311,0.6242038216560509,0.08320047166137279,-0.07668882923710074,base,buy_and_drift,0.05,50,since_incumbent_holdout_start,0.03873506219531778,0.0,0.4165932207977048,1.7096851524165342,-0.15825384743697135,-0.001257580476773601,0.0052168876786603535
105,2024-08-09,2026-08-07,0.5347917341245172,1.375071986122403,1.929035880194646,0.23735573397136941,-0.153036959758311,0.6476190476190476,0.08320047166137279,-0.07668882923710074,base,buy_and_drift,0.05,50,trailing_2y,0.03873506219531778,0.0,0.5287966002399298,1.9218826614680395,-0.15825384743697157,0.005995133884587389,0.005216887678660576
53,2025-08-08,2026-08-07,0.7075349873528114,0.7251952649721849,2.159124967896893,0.2649443502904026,-0.1525261875641195,0.660377358490566,0.08320047166137279,-0.07668882923710074,base,buy_and_drift,0.05,50,trailing_1y,0.03873506219531778,0.0,0.6875363817532016,2.111492388856728,-0.1582538474369718,0.019998605599609753,0.0057276598728522865
188,2023-01-06,2026-08-07,0.40872850924953297,2.4519774049151923,1.7399840997209046,0.2101423854623666,-0.1606681718858325,0.6223404255319149,0.08120420311437715,-0.07458984061694507,base,buy_and_drift,0.1,50,full_recent,0.0783997755436889,0.0,0.41800008601656646,1.777818130179198,-0.15825384743697157,-0.009271576767033496,-0.002414324448860916
157,2023-08-11,2026-08-07,0.4140525149079688,1.8463623334035821,1.6944712683068541,0.21913435294952624,-0.1606681718858326,0.6305732484076433,0.08120420311437715,-0.07458984061694507,base,buy_and_drift,0.1,50,since_incumbent_holdout_start,0.0783997755436889,0.0,0.4165932207977048,1.7096851524165342,-0.15825384743697135,-0.0025407058897359835,-0.002414324448861249
