Date,net_return,wealth,outer_turnover,outer_cost,growth_weight_end,drawdown
2023-01-06,-0.03598616647842412,0.9640138335215759,0.0,0.0,0.3535614879292143,0.0
2023-01-13,0.0028201914027152775,0.9667325370469719,0.0,0.0,0.35134076050044993,0.0
2023-01-20,0.020518598302790236,0.986568533640876,0.0,0.0,0.3467114561914897,0.0
2023-01-27,0.024338063907276775,1.010579701661536,0.0,0.0,0.34995811166819685,0.0
2023-02-03,-0.00997149718880641,1.0005027090073533,0.0,0.0,0.35003142558221023,-0.00997149718880641
2023-02-10,-0.011718258006629179,0.9887785601268737,0.0,0.0,0.34259582573238945,-0.021572906618664733
2023-02-17,-0.01783537619657427,0.9711433225319038,0.0,0.0,0.34883595480499074,-0.03902352191004166
2023-02-24,0.02529873621106482,0.9957120212717756,0.0,0.0,0.34679251630530894,-0.014712031485805577
2023-03-03,-0.05673878652068609,0.9392165294607555,0.0,0.0,0.3291723707061117,-0.07061607519273283
2023-03-10,0.007716441722098288,0.9464639390747709,0.0,0.0,0.31738812185204557,-0.06344453829950258
2023-03-17,0.021832347250026585,0.9671274684522793,0.0,0.0,0.3175643971385606,-0.042997334240748364
2023-03-24,0.0482789994841899,1.0138194150028328,0.0,0.0,0.3252638969660395,0.0
2023-03-31,-0.02138546636287708,0.992138414005258,0.0,0.0,0.31863909149201425,-0.02138546636287708
2023-04-07,-0.06378825328316684,0.9288516375607312,0.08136090850798577,0.00040680454253992887,0.36104929039441264,-0.08380957810111
2023-04-14,-0.0046988513819922195,0.9244871017599132,0.0,0.0,0.36221886368557904,-0.08811462073121767
2023-04-21,-0.019395708467160544,0.9065560194525277,0.0,0.0,0.33724793797429947,-0.10580128370298114
2023-04-28,-0.0036783258790551443,0.9032214109853622,0.0,0.0,0.33285797426042135,-0.10909043798215434
2023-05-05,0.00727495599316863,0.9097923070023685,0.0,0.0,0.3427726879422546,-0.1026091101245814
2023-05-12,0.026723776042293812,0.9341053928597016,0.0,0.0,0.34002019636914965,-0.07862743696115593
2023-05-19,0.02394145893714472,0.9564692387658176,0.0,0.0,0.3355154759894675,-0.05656843357734964
2023-05-26,0.027041702880398644,0.982333795734764,0.0,0.0,0.34483246386250554,-0.03105643747015918
2023-06-02,-0.006893004091081623,0.9755625648619565,0.0,0.0,0.3420999814618243,-0.037735369410704545
2023-06-09,0.0321895760152926,1.0069655102012542,0.0,0.0,0.33755116388006406,-0.006760478937522962
2023-06-16,-0.03988168008573967,0.9668060338660343,0.0,0.0,0.3264736543353146,-0.04637253976504996
2023-06-23,0.036964689051015354,1.0025437182805377,0.0,0.0,0.33207439192419963,-0.011121997226955505
2023-06-30,-0.005332104179701758,0.9971980507299603,0.0,0.0,0.33780986416778996,-0.01639479775875674
2023-07-07,0.03194876630273202,1.0290572982102717,0.06219013583221006,0.00031095067916105026,0.40046630553333806,0.0
2023-07-14,-0.013174701026521407,1.0154997759671915,0.0,0.0,0.39505473802335506,-0.013174701026521407
2023-07-21,0.014165463115664911,1.0298848005876207,0.0,0.0,0.39420988974059457,0.0
2023-07-28,-0.02954741875069855,0.9994543631196786,0.0,0.0,0.39686922394721413,-0.02954741875069855
2023-08-04,-0.020739023554722458,0.9787266555410694,0.0,0.0,0.39626742558424244,-0.049673657691969075
2023-08-11,-0.03266473587371066,0.9467568078452602,0.0,0.0,0.3864463314244093,-0.08071581665729044
2023-08-18,0.013734230848939655,0.9597597844020123,0.0,0.0,0.38293304238753306,-0.06809015546748265
2023-08-25,0.03470414313342807,0.9930674253336078,0.0,0.0,0.3806555195713924,-0.0357490228353754
2023-09-01,-0.02288362375573605,0.970342444008196,0.0,0.0,0.3777430673700579,-0.05781457940291146
2023-09-08,-0.010352378514341343,0.9602970917392921,0.0,0.0,0.3813652517716573,-0.06756843950762637
2023-09-15,-0.02903586907246969,0.9324140311128766,0.0,0.0,0.3783261799496453,-0.09464240021712167
2023-09-22,0.0033529071285802736,0.9355403287645832,0.0,0.0,0.3835292746315037,-0.09160682026689537
2023-09-29,0.012259294882776661,0.9470093935296381,0.0,0.0,0.38246751708068266,-0.08047056040704403
2023-10-06,0.020688456943709355,0.9666015565929643,0.01753248291931736,8.76624145965868e-05,0.40709547947952374,-0.061446915187551965
2023-10-13,-0.01761436182950904,0.9495754870301691,0.0,0.0,0.4102652839641817,-0.0779789288196403
2023-10-20,-0.017282700314566357,0.9331642584617683,0.0,0.0,0.41092430665820634,-0.09391394267656594
2023-10-27,0.05098131725480415,0.9807382015732518,0.0,0.0,0.4028308698693643,-0.047720481928005265
2023-11-03,0.012545651886731735,0.9930422016422091,0.0,0.0,0.3845360697023048,-0.03577351459540934
2023-11-10,0.019922348314872274,1.0128259342746928,0.0,0.0,0.3854151737117253,-0.016563858698754097
2023-11-17,0.005378809088068648,1.018273731614601,0.0,0.0,0.3833081552789421,-0.011274143444387819
2023-11-24,0.002384672422192091,1.020701980900625,0.0,0.0,0.3811943708599039,-0.008916356161151384
2023-12-01,-0.011426464811207127,1.0090389656331347,0.0,0.0,0.37040537132010515,-0.020240938542438913
2023-12-08,0.03776200958625986,1.047142304726283,0.0,0.0,0.3765347099918648,0.0
