ticker,asset_class,quiet_minute_p10_spread_bps,quiet_minute_p50_range_bps,minute_bars_used,closing_quote_spread_bps,cs_daily_upper_bound_bps,ar_daily_upper_bound_bps,roll_crosscheck_bps,est_full_spread_bps,one_way_cost_bps,one_way_cost_2x_bps,commission_usd,cost_quality,daily_estimator_window,minute_window,measured_date,retired_assumption_bps,notes
BIL,Bonds,0.55,1.08,1905,,0.2,1.42,1.6,0.55,0.27,0.55,0.0,QUIET_MINUTE_PROXY,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
DBA,Commodities,0.0,1.2,1518,,18.26,0.0,,1.2,0.6,1.2,0.0,QUIET_MINUTE_P50_FALLBACK,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
EEM,Equities,2.3,5.46,1905,6.12,14.45,0.0,35.04,2.3,1.15,2.3,0.0,QUIET_MINUTE_PROXY,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
EFA,Equities,0.96,2.87,1904,,15.85,14.18,22.85,0.96,0.48,0.96,0.0,QUIET_MINUTE_PROXY,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
EWJ,Equities,1.08,3.23,1902,,15.04,22.67,46.33,1.08,0.54,1.08,0.0,QUIET_MINUTE_PROXY,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
GLD,Commodities,1.87,3.87,1905,14.69,16.94,15.36,56.75,1.87,0.94,1.87,0.0,QUIET_MINUTE_PROXY,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
HYG,Bonds,0.42,0.81,1898,17.56,6.51,12.09,16.62,0.42,0.25,0.5,0.0,QUIET_MINUTE_PROXY,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
IAU,Commodities,1.32,3.28,1903,18.25,16.69,14.47,54.77,1.32,0.66,1.32,0.0,QUIET_MINUTE_PROXY,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
IEF,Bonds,0.0,0.54,1842,1.07,6.98,0.0,,0.54,0.27,0.54,0.0,QUIET_MINUTE_P50_FALLBACK,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
IWM,Equities,2.7,5.12,1905,1.35,37.36,31.5,53.07,1.35,0.67,1.35,0.0,MEASURED_QUOTE,2024-01-01..2025-12-31,last 5 sessions to 2026-07-21,2026-07-21,10.0,"one_way=max(floor 0.25bp, min(quiet-minute P10, valid close quote)/2); superseded by live fills in R46"
