decision_at,family,breadth,market_cap_floor,candidate,cik10,company_name,sector,score,market_cap,intended_weight
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000789460,WORLD FUEL SERVICES CORP,energy,1.0,1692248342.3559492,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.9710144927536232,236379970.334232,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001596961,"RUMBLEON, INC.",technology,0.96011396011396,103651311.75880814,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000719733,KEY TRONIC CORP,technology,0.9544159544159544,46598900.6089344,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001719489,"KALEYRA, INC.",technology,0.9487179487179488,34003325.6703,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.9430199430199432,35295888.791157246,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001694426,"DELEK US HOLDINGS, INC.",energy,0.9420289855072465,1881692532.0,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001177394,TD SYNNEX CORP,technology,0.9373219373219372,9049583600.280945,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000746838,UNISYS CORP,technology,0.9316239316239316,346394384.4406142,0.1
2023-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000918965,"SCANSOURCE, INC.",technology,0.9259259259259258,737665194.1854857,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000789460,WORLD FUEL SERVICES CORP,energy,1.0,1585180257.7654953,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000002178,"ADAMS RESOURCES & ENERGY, INC.",energy,0.9736842105263156,97382059.82,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001596961,"RUMBLEON, INC.",technology,0.958656330749354,97082992.84331132,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001810019,"RACKSPACE TECHNOLOGY, INC.",technology,0.9483204134366924,400148875.3450753,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.9473684210526316,177704085.7872548,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000746838,UNISYS CORP,technology,0.9431524547803618,263101395.440197,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001177394,TD SYNNEX CORP,technology,0.9379844961240308,9228434797.30088,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000719733,KEY TRONIC CORP,technology,0.9328165374677002,78238801.9647336,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000918965,"SCANSOURCE, INC.",technology,0.9276485788113696,771632827.2979889,0.1
2023-04-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.9224806201550388,60173097.3037796,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000789460,WORLD FUEL SERVICES CORP,energy,1.0,1284830448.040306,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000002178,"ADAMS RESOURCES & ENERGY, INC.",energy,0.974025974025974,89094177.75,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000719733,KEY TRONIC CORP,technology,0.966265060240964,61019809.3910656,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000746838,UNISYS CORP,technology,0.96144578313253,271690490.46203136,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001596961,"RUMBLEON, INC.",technology,0.9566265060240964,200530142.34988976,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001177394,TD SYNNEX CORP,technology,0.9518072289156628,8869560632.0,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.948051948051948,182733462.16576803,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.9469879518072288,54479517.29476929,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001867072,"KYNDRYL HOLDINGS, INC.",technology,0.9421686746987952,3025765164.9191504,0.1
2023-07-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001340476,DIRTT ENVIRONMENTAL SOLUTIONS LTD,technology,0.9373493975903616,26700257.050972845,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000789460,WORLD KINECT CORP,energy,1.0,1350225748.960762,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000002178,"ADAMS RESOURCES & ENERGY, INC.",energy,0.9736842105263156,85393537.64999999,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001596961,"RUMBLEON, INC.",technology,0.9665071770334928,100912546.15393545,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000719733,KEY TRONIC CORP,technology,0.9617224880382776,48105561.11206961,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000746838,UNISYS CORP,technology,0.9569377990430624,235636704.1068213,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000945983,"CLIMB GLOBAL SOLUTIONS, INC.",technology,0.9521531100478468,49127245.86780739,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001770561,CORONADO GLOBAL RESOURCES INC.,energy,0.9473684210526316,179380557.90334976,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001177394,TD SYNNEX CORP,technology,0.9425837320574162,9362283884.062958,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001810019,"RACKSPACE TECHNOLOGY, INC.",technology,0.937799043062201,507344755.3109922,0.1
2023-10-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000867773,SUNPOWER CORP,technology,0.9330143540669856,360894906.3954501,0.1
2024-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000002178,"ADAMS RESOURCES & ENERGY, INC.",energy,1.0,66665825.38,0.1
2024-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000789460,WORLD KINECT CORP,energy,0.9733333333333334,1371397842.6373196,0.1
2024-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0000719733,KEY TRONIC CORP,technology,0.9609756097560976,46491284.5673976,0.1
2024-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001596961,"RUMBLEON, INC.",technology,0.9560975609756096,135658876.9817171,0.1
2024-01-01 00:00:00+00:00,sales_yield,10,25000000,sales_yield__top10__floor25m,0001810019,"RACKSPACE TECHNOLOGY, INC.",technology,0.951219512195122,432813740.0,0.1
