cik10,company_name,allocation,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,cagr_delta_vs_control
0001810019,"RACKSPACE TECHNOLOGY, INC.",0.3,0.9448166984571409,2.63995683772494,-0.09681795948428329,0.3983241505409396,-0.10619150285380563
0001596961,"RIDENOW GROUP, INC.",0.3,1.0193451206434023,2.294406094589511,-0.1360528284908994,0.424771260228056,-0.0316630806675442
0000023197,COMTECH TELECOMMUNICATIONS CORP /DE/,0.3,1.0243286770068871,2.301995095840444,-0.13605282849089917,0.4196487897163319,-0.0266795243040594
0001500435,"GOPRO, INC.",0.3,1.0531393297887899,2.3694610499096616,-0.13605282849089928,0.415288180804368,0.002131128477843358
0001738177,CAMBIUM NETWORKS CORP,0.3,1.0561385626659647,2.413439968343735,-0.13605282849089928,0.4228909787563031,0.005130361355018209
0000789460,WORLD KINECT CORP,0.3,1.0808646819182162,2.371999922317084,-0.14297316990482034,0.4283249781823315,0.029856480607269642
0001774675,SKILLSOFT CORP.,0.3,1.08953811333344,2.4416630748155534,-0.13437869531353241,0.41637579703034544,0.03852991202249356
0001738827,"KLX ENERGY SERVICES HOLDINGS, INC.",0.3,1.0926832211179853,2.4082899363108923,-0.13605282849089917,0.431357702245895,0.041675019807038804
0001597033,SABRE CORP,0.3,1.0951681348380653,2.4210280797657164,-0.13605282849089928,0.43045396041214,0.04415993352711878
0001770561,CORONADO GLOBAL RESOURCES INC.,0.3,1.0961190445537312,2.3970707169811987,-0.13520536618830326,0.4541441386037841,0.04511084324278469
0001102993,LIVEPERSON INC,0.3,1.0965991650564963,2.436238279987575,-0.1319757223240472,0.4307293296072343,0.04559096374554983
0000101984,UNIVERSAL ELECTRONICS INC,0.3,1.0968186803075257,2.416016527703243,-0.13789665720129907,0.4275461359620596,0.045810478996579196
0001897762,INGRAM MICRO HOLDING CORP,0.3,1.0969429405711866,2.4153884913586516,-0.13744239300122008,0.4307954612737461,0.045934739260240054
0001177394,TD SYNNEX CORP,0.3,1.097998344948945,2.416927694900524,-0.13605282849089906,0.4267170152537252,0.04699014363799847
