scenario,delay_weeks,underlying_cost_bps,allocation,outer_cost_bps,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,full_sharpe,full_drawdown
delay0__under50__w0.30__outer50,0,50.0,0.3,50,1.1017468690927852,2.423216799961963,-0.13605282849089928,0.43171877351951493,1.5288248246109293,-0.25702828383079
delay0__under50__w0.30__outer100,0,50.0,0.3,100,1.1017468690927852,2.423216799961963,-0.13605282849089928,0.43115415781935607,1.527637225980469,-0.2570282838307898
delay0__under50__w0.30__outer200,0,50.0,0.3,200,1.1017468690927852,2.423216799961963,-0.13605282849089928,0.43002317543847446,1.5252171160734658,-0.2570282838307899
delay0__under50__w0.40__outer50,0,50.0,0.4,50,1.1112093633985594,2.2809713682528527,-0.14925539070514926,0.43577768841212317,1.4530776505191196,-0.27202649938033363
delay0__under50__w0.40__outer100,0,50.0,0.4,100,1.1112093633985594,2.2809713682528527,-0.14925539070514926,0.4350256357595872,1.451581255637434,-0.27202649938033363
delay0__under50__w0.40__outer200,0,50.0,0.4,200,1.1112093633985594,2.2809713682528527,-0.14925539070514926,0.43351843044169325,1.448522256029422,-0.2720264993803341
delay0__under50__w0.50__outer50,0,50.0,0.5,50,1.1169436864213562,2.137853578511202,-0.1623429237250139,0.43813487916178007,1.371843248953275,-0.288013507638192
delay0__under50__w0.50__outer100,0,50.0,0.5,100,1.1169436864213562,2.137853578511202,-0.1623429237250139,0.43719687623520676,1.37007690121317,-0.2880135076381919
delay0__under50__w0.50__outer200,0,50.0,0.5,200,1.1169436864213562,2.137853578511202,-0.1623429237250139,0.43531605221496394,1.3664600407376277,-0.2880135076381922
delay0__under100__w0.30__outer50,0,100.0,0.3,50,1.0976855569146688,2.4174734128536985,-0.13605282849089928,0.42860650201898487,1.5209226100647735,-0.2573436837106694
delay0__under100__w0.30__outer100,0,100.0,0.3,100,1.0976855569146688,2.4174734128536985,-0.13605282849089928,0.42804232297438527,1.5197186260283229,-0.2573436837106696
delay0__under100__w0.30__outer200,0,100.0,0.3,200,1.0976855569146688,2.4174734128536985,-0.13605282849089928,0.42691221279766767,1.5172659424725932,-0.2573436837106693
delay0__under100__w0.40__outer50,0,100.0,0.4,50,1.1057691633034263,2.27381600950636,-0.14925539070514937,0.43162145875076185,1.443195726147772,-0.272437498349379
delay0__under100__w0.40__outer100,0,100.0,0.4,100,1.1057691633034263,2.27381600950636,-0.14925539070514937,0.4308701846083358,1.4416749949292234,-0.272437498349379
delay0__under100__w0.40__outer200,0,100.0,0.4,200,1.1057691633034263,2.27381600950636,-0.14925539070514937,0.4293645337269467,1.4385677155924987,-0.272437498349379
delay0__under100__w0.50__outer50,0,100.0,0.5,50,1.1101239548281976,2.1295415526738193,-0.1623429237250139,0.4329373447511269,1.3603198041486306,-0.2885147028409243
