portfolio,state,delta_vs_ggg1
improved_phase7_larger_sector_calm,neutral_mixed,0.0102
improved_phase7_larger_sector_calm,calm_trend,0.0017
improved_phase7_larger_sector_calm,stressed_panic,0.0026
improved_phase7_larger_sector_calm,recovery_fragile,0.013
improved_phase7_larger_sector_calm,recovery_confirmed,0.0232
improved_phase7_expression_boost,neutral_mixed,0.0082
improved_phase7_expression_boost,calm_trend,0.0029
improved_phase7_expression_boost,stressed_panic,0.0023
improved_phase7_expression_boost,recovery_fragile,0.0097
improved_phase7_expression_boost,recovery_confirmed,0.0186
improved_phase7_max_sector_rerisk,neutral_mixed,0.0102
improved_phase7_max_sector_rerisk,calm_trend,0.0021
improved_phase7_max_sector_rerisk,stressed_panic,0.0027
improved_phase7_max_sector_rerisk,recovery_fragile,0.0117
improved_phase7_max_sector_rerisk,recovery_confirmed,0.0242
improved_phase7_combined_offensive,neutral_mixed,0.0097
improved_phase7_combined_offensive,calm_trend,0.0017
improved_phase7_combined_offensive,stressed_panic,0.0026
improved_phase7_combined_offensive,recovery_fragile,0.0123
improved_phase7_combined_offensive,recovery_confirmed,0.0243
improved_phase7_stretch_target,neutral_mixed,0.0112
improved_phase7_stretch_target,calm_trend,0.0013
improved_phase7_stretch_target,stressed_panic,0.0025
improved_phase7_stretch_target,recovery_fragile,0.0128
improved_phase7_stretch_target,recovery_confirmed,0.028
ggg1,neutral_mixed,0.0
ggg1,calm_trend,0.0
ggg1,stressed_panic,0.0
ggg1,recovery_fragile,0.0
ggg1,recovery_confirmed,0.0
phase4b_best,neutral_mixed,0.0086
phase4b_best,calm_trend,0.003
phase4b_best,stressed_panic,0.0024
phase4b_best,recovery_fragile,0.0105
phase4b_best,recovery_confirmed,0.018
phase6_best,neutral_mixed,0.0093
phase6_best,calm_trend,0.0027
phase6_best,stressed_panic,0.0024
phase6_best,recovery_fragile,0.0135
phase6_best,recovery_confirmed,0.0202
