portfolio,full_ann_return,full_sharpe,full_max_dd,holdout_2020_return,holdout_2020_sharpe,avg_BIL,avg_turnover,passes_mandate,bear_ok,disguised_spy,active_vs_p4b,active_vs_p6
improved_phase7_larger_sector_calm,0.0783,0.939,-0.1459,0.0946,0.9686,0.2331,0.0779,True,True,False,0.0007,0.0002
improved_phase7_expression_boost,0.0774,0.9535,-0.1383,0.0957,1.0095,0.2357,0.074,True,True,False,-0.0002,-0.0007
improved_phase7_max_sector_rerisk,0.0784,0.9408,-0.1459,0.0948,0.9697,0.2327,0.0782,True,True,False,0.0008,0.0004
improved_phase7_combined_offensive,0.0781,0.9349,-0.1465,0.0948,0.9681,0.233,0.0786,True,True,False,0.0005,0.0
improved_phase7_stretch_target,0.0788,0.9258,-0.1528,0.0949,0.9471,0.2291,0.0815,True,True,False,0.0012,0.0007
