portfolio,classification,reason,full_ann_return,full_sharpe,full_max_dd,holdout_2020_return,holdout_2020_sharpe,bear_2022_return,beats_phase4b,beats_phase6,beats_ggg1,mandate_ok,bear_ok
improved_phase7_larger_sector_calm,KEEP_AS_AGGRESSIVE_SHADOW,Beats both Phase4B and Phase6 with acceptable risk,0.0783,0.939,-0.1459,0.0946,0.9686,-0.0166,True,True,True,True,True
improved_phase7_expression_boost,KEEP_AS_AGGRESSIVE_SHADOW,Beats GGG1; holdout vs Phase4B mixed,0.0774,0.9535,-0.1383,0.0957,1.0095,-0.0162,False,False,True,True,True
improved_phase7_max_sector_rerisk,KEEP_AS_AGGRESSIVE_SHADOW,Beats both Phase4B and Phase6 with acceptable risk,0.0784,0.9408,-0.1459,0.0948,0.9697,-0.0183,True,True,True,True,True
improved_phase7_combined_offensive,KEEP_AS_AGGRESSIVE_SHADOW,Beats both Phase4B and Phase6 with acceptable risk,0.0781,0.9349,-0.1465,0.0948,0.9681,-0.0176,True,True,True,True,True
improved_phase7_stretch_target,KEEP_AS_AGGRESSIVE_SHADOW,Beats both Phase4B and Phase6 with acceptable risk,0.0788,0.9258,-0.1528,0.0949,0.9471,-0.0194,True,True,True,True,True
