cik10,ticker,company_name,provider_end_date,raw_last_price_date,last_price_date,last_close,last_adjusted_close,last_volume,last_5_session_return,last_21_session_return,final_dividend,final_split_factor,sec_completion_filing_date,sec_completion_accession,sec_completion_items,sec_nearby_25_nse,sec_25_nse_accessions,terminal_reason,terminal_return_available,provisional_backtest_rule
0000880177,PSMI,PEREGRINE SEMICONDUCTOR CORP,2014-12-12,2014-12-12,2014-12-12,12.45,12.45,500.0,0.000803858520900258,-0.0024038461538462563,0.0,1.0,2014-12-15,0000880177-14-000171,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-14-000213,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0000913885,TQNT,TRIQUINT SEMICONDUCTOR INC,2014-12-31,2014-12-31,2014-12-31,27.55,27.55,21747585.0,0.012123438648052876,0.1536850921273032,0.0,1.0,2015-01-02,0001193125-15-000585,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-14-000220,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0001349454,TRLA,"TRULIA, INC.",2017-09-28,2015-02-17,2015-02-17,48.36,48.36,4639840.0,0.06991150442477867,0.17094430992736087,0.0,1.0,2015-02-17,0001193125-15-050830,1.01|2.01|2.03|2.05|3.01|3.03|5.01|5.02|5.03,True,0000876661-15-000080,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0001003214,SIMG,SILICON IMAGE INC,2015-03-10,2015-03-10,2015-03-10,7.28,7.28,400.0,-0.00137174211248281,0.0013755158184320937,0.0,1.0,2015-03-11,0001193125-15-087452,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-15-000053,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0001540400,EOPN,E2OPEN INC,2015-03-25,2015-03-25,2015-03-25,8.59,8.59,116946.0,-0.0011627906976744429,0.003504672897196137,0.0,1.0,2015-03-26,0001193125-15-106451,2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-15-000066,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0001357326,RVBD,"RIVERBED TECHNOLOGY, INC.",2015-04-24,2015-04-24,2015-04-24,20.99,20.99,12113592.0,0.003825920612147149,0.005268199233716464,0.0,1.0,2015-04-24,0001193125-15-145651,1.02|2.01|3.01|3.03|5.01|5.02|5.03|8.01|9.01,True,0001354457-15-000074,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0000350917,ELX,EMULEX CORP /DE/,2015-05-05,2015-05-05,2015-05-05,7.99,7.99,1000.0,-0.0012499999999999734,0.0,0.0,1.0,2015-05-05,0001193125-15-171985,2.01|3.01|3.03|5.01|5.02|5.03,True,0000876661-15-000196,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0001173752,ARUN,"ARUBA NETWORKS, INC.",2015-05-18,2015-05-18,2015-05-18,24.67,24.67,1861165.0,0.00040551500405516805,0.0040700040700041296,0.0,1.0,2015-05-19,0001193125-15-192854,2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-15-000085,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0001101169,VIAS,VIASYSTEMS GROUP INC,2015-05-29,2015-05-29,2015-05-29,18.27,18.27,27883.0,-0.003273322422258529,0.03454133635334089,0.0,1.0,2015-06-02,0001193125-15-210743,1.02|2.01|3.01|3.03|5.01|5.02|5.03|9.01,True,0001354457-15-000100,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
0001524471,XLS,EXELIS INC.,2015-05-29,2015-05-29,2015-05-29,24.66,24.66,0.0,0.002031694433157316,0.009001636661211121,0.0,1.0,2015-06-03,0001193125-15-212166,1.02|2.01|2.03|3.01|3.03|5.01|5.02|5.03|9.01,True,0000876661-15-000241,merger_or_acquisition_completion,True,liquidate_at_last_tradable_close_then_cash
