security_id,permanent_id_source,ticker,first_observed_date,last_observed_date,delisting_date,knowledge_at_utc
yahoo-ticker:BIL,synthetic_ticker_id_not_permanent,BIL,2007-05-30,2026-08-21,,2026-08-21T21:37:08.807474+00:00
yahoo-ticker:DBA,synthetic_ticker_id_not_permanent,DBA,2007-01-05,2026-08-21,,2026-08-21T21:37:09.277544+00:00
yahoo-ticker:EEM,synthetic_ticker_id_not_permanent,EEM,2003-04-14,2026-08-21,,2026-08-21T21:37:09.721018+00:00
yahoo-ticker:EFA,synthetic_ticker_id_not_permanent,EFA,2001-08-27,2026-08-21,,2026-08-21T21:37:10.260212+00:00
yahoo-ticker:EWJ,synthetic_ticker_id_not_permanent,EWJ,1996-03-18,2026-08-21,,2026-08-21T21:37:10.849727+00:00
yahoo-ticker:GLD,synthetic_ticker_id_not_permanent,GLD,2004-11-18,2026-08-21,,2026-08-21T21:37:11.277578+00:00
yahoo-ticker:HYG,synthetic_ticker_id_not_permanent,HYG,2007-04-11,2026-08-21,,2026-08-21T21:37:11.720943+00:00
yahoo-ticker:IAU,synthetic_ticker_id_not_permanent,IAU,2005-01-28,2026-08-21,,2026-08-21T21:37:12.169225+00:00
yahoo-ticker:IEF,synthetic_ticker_id_not_permanent,IEF,2002-07-30,2026-08-21,,2026-08-21T21:37:12.718378+00:00
yahoo-ticker:IWM,synthetic_ticker_id_not_permanent,IWM,2000-05-26,2026-08-21,,2026-08-21T21:37:13.236128+00:00
yahoo-ticker:LQD,synthetic_ticker_id_not_permanent,LQD,2002-07-30,2026-08-21,,2026-08-21T21:37:13.765168+00:00
yahoo-ticker:MBB,synthetic_ticker_id_not_permanent,MBB,2007-03-16,2026-08-21,,2026-08-21T21:37:14.191583+00:00
yahoo-ticker:PDBC,synthetic_ticker_id_not_permanent,PDBC,2014-11-07,2026-08-21,,2026-08-21T21:37:14.547234+00:00
yahoo-ticker:QQQ,synthetic_ticker_id_not_permanent,QQQ,1999-03-10,2026-08-21,,2026-08-21T21:37:15.021570+00:00
yahoo-ticker:SHY,synthetic_ticker_id_not_permanent,SHY,2002-07-30,2026-08-21,,2026-08-21T21:37:15.571109+00:00
yahoo-ticker:SLV,synthetic_ticker_id_not_permanent,SLV,2006-04-28,2026-08-21,,2026-08-21T21:37:16.055100+00:00
yahoo-ticker:SPY,synthetic_ticker_id_not_permanent,SPY,1993-01-29,2026-08-21,,2026-08-21T21:37:16.662509+00:00
yahoo-ticker:TIP,synthetic_ticker_id_not_permanent,TIP,2003-12-05,2026-08-21,,2026-08-21T21:37:17.185761+00:00
yahoo-ticker:TLT,synthetic_ticker_id_not_permanent,TLT,2002-07-30,2026-08-21,,2026-08-21T21:37:17.735057+00:00
yahoo-ticker:USO,synthetic_ticker_id_not_permanent,USO,2006-04-10,2026-08-21,,2026-08-21T21:37:18.129682+00:00
yahoo-ticker:UUP,synthetic_ticker_id_not_permanent,UUP,2007-03-01,2026-08-21,,2026-08-21T21:37:18.695295+00:00
yahoo-ticker:VEA,synthetic_ticker_id_not_permanent,VEA,2007-07-26,2026-08-21,,2026-08-21T21:37:19.197473+00:00
yahoo-ticker:VNQ,synthetic_ticker_id_not_permanent,VNQ,2004-09-29,2026-08-21,,2026-08-21T21:37:19.776070+00:00
yahoo-ticker:VTV,synthetic_ticker_id_not_permanent,VTV,2004-01-30,2026-08-21,,2026-08-21T21:37:20.582183+00:00
yahoo-ticker:VUG,synthetic_ticker_id_not_permanent,VUG,2004-01-30,2026-08-21,,2026-08-21T21:37:21.115975+00:00
yahoo-ticker:VWO,synthetic_ticker_id_not_permanent,VWO,2005-03-10,2026-08-21,,2026-08-21T21:37:21.628951+00:00
yahoo-ticker:XLB,synthetic_ticker_id_not_permanent,XLB,1998-12-22,2026-08-21,,2026-08-21T21:37:22.166170+00:00
yahoo-ticker:XLE,synthetic_ticker_id_not_permanent,XLE,1998-12-22,2026-08-21,,2026-08-21T21:37:22.708506+00:00
yahoo-ticker:XLF,synthetic_ticker_id_not_permanent,XLF,1998-12-22,2026-08-21,,2026-08-21T21:37:23.270792+00:00
yahoo-ticker:XLI,synthetic_ticker_id_not_permanent,XLI,1998-12-22,2026-08-21,,2026-08-21T21:37:23.851625+00:00
yahoo-ticker:XLK,synthetic_ticker_id_not_permanent,XLK,1998-12-22,2026-08-21,,2026-08-21T21:37:24.363884+00:00
yahoo-ticker:XLP,synthetic_ticker_id_not_permanent,XLP,1998-12-22,2026-08-21,,2026-08-21T21:37:24.860589+00:00
yahoo-ticker:XLU,synthetic_ticker_id_not_permanent,XLU,1998-12-22,2026-08-21,,2026-08-21T21:37:25.562539+00:00
yahoo-ticker:XLV,synthetic_ticker_id_not_permanent,XLV,1998-12-22,2026-08-21,,2026-08-21T21:37:26.168542+00:00
yahoo-ticker:XLY,synthetic_ticker_id_not_permanent,XLY,1998-12-22,2026-08-21,,2026-08-21T21:37:26.713684+00:00
