security_id,ticker,universe,effective_from,effective_to,knowledge_at_utc,source_revision,point_in_time_membership
yahoo-ticker:BIL,BIL,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:08.807474+00:00,yfinance-1.5.2:2026-08-21T21:37:08.807474+00:00,false
yahoo-ticker:DBA,DBA,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:09.277544+00:00,yfinance-1.5.2:2026-08-21T21:37:09.277544+00:00,false
yahoo-ticker:EEM,EEM,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:09.721018+00:00,yfinance-1.5.2:2026-08-21T21:37:09.721018+00:00,false
yahoo-ticker:EFA,EFA,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:10.260212+00:00,yfinance-1.5.2:2026-08-21T21:37:10.260212+00:00,false
yahoo-ticker:EWJ,EWJ,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:10.849727+00:00,yfinance-1.5.2:2026-08-21T21:37:10.849727+00:00,false
yahoo-ticker:GLD,GLD,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:11.277578+00:00,yfinance-1.5.2:2026-08-21T21:37:11.277578+00:00,false
yahoo-ticker:HYG,HYG,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:11.720943+00:00,yfinance-1.5.2:2026-08-21T21:37:11.720943+00:00,false
yahoo-ticker:IAU,IAU,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:12.169225+00:00,yfinance-1.5.2:2026-08-21T21:37:12.169225+00:00,false
yahoo-ticker:IEF,IEF,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:12.718378+00:00,yfinance-1.5.2:2026-08-21T21:37:12.718378+00:00,false
yahoo-ticker:IWM,IWM,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:13.236128+00:00,yfinance-1.5.2:2026-08-21T21:37:13.236128+00:00,false
yahoo-ticker:LQD,LQD,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:13.765168+00:00,yfinance-1.5.2:2026-08-21T21:37:13.765168+00:00,false
yahoo-ticker:MBB,MBB,portfolio_optimizer_free_current_etfs,,,2026-08-21T21:37:14.191583+00:00,yfinance-1.5.2:2026-08-21T21:37:14.191583+00:00,false
