decision_at,company_rows,validated_price_rows,companyfacts_rows,validated_price_coverage,companyfacts_coverage
2023-01-01 00:00:00+00:00,2824,2683,2824,0.9500708215297451,1.0
2023-04-01 00:00:00+00:00,2996,2849,2996,0.9509345794392523,1.0
2023-07-01 00:00:00+00:00,3001,2856,3001,0.951682772409197,1.0
2023-10-01 00:00:00+00:00,2972,2839,2972,0.9552489905787349,1.0
2024-01-01 00:00:00+00:00,2929,2809,2929,0.9590303857972005,1.0
2024-04-01 00:00:00+00:00,2939,2835,2939,0.9646138142225247,1.0
2024-07-01 00:00:00+00:00,2909,2819,2909,0.9690615331729117,1.0
2024-10-01 00:00:00+00:00,2872,2794,2872,0.9728412256267409,1.0
2025-01-01 00:00:00+00:00,2840,2768,2840,0.9746478873239437,1.0
2025-04-01 00:00:00+00:00,2866,2812,2866,0.9811584089323099,1.0
2025-07-01 00:00:00+00:00,2836,2787,2836,0.982722143864598,1.0
2025-10-01 00:00:00+00:00,2797,2755,2797,0.9849839113335717,1.0
2026-01-01 00:00:00+00:00,2760,2722,2760,0.986231884057971,1.0
2026-04-01 00:00:00+00:00,2743,2716,2743,0.990156762668611,1.0
