decision_at,adsh,cik10,company_name_as_filed,sic,sector,form,afs,filing_date,available_at,period,fy,fp,source_quarter,filing_age_days,current_tickers,current_exchanges,identity_status,existing_execution_price,batch_price_available,validated_price_available,batch_price_attempted,companyfacts_cached,single_current_ticker,base_treatment,adverse_selected_return
2023-01-01 00:00:00+00:00,0000950170-22-020325,0000912595,MID AMERICA APARTMENT COMMUNITIES INC.,6798,finance_insurance_real_estate,10-Q,1-LAF,2022-10-27,2022-10-28 00:00:00+00:00,20220930,2022,Q3,2022Q4,65.0,MAA|MAA-PI,NYSE,current_ticker_available,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001039828-22-000090,0001039828,AMERICAN EQUITY INVESTMENT LIFE HOLDING CO,6311,finance_insurance_real_estate,10-Q,1-LAF,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,ANG-PD,NYSE,current_ticker_available,False,False,False,True,True,True,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001040971-22-000044,0001040971,SL GREEN REALTY CORP,6798,finance_insurance_real_estate,10-Q,1-LAF,2022-11-04,2022-11-05 00:00:00+00:00,20220930,2022,Q3,2022Q4,57.0,SLG|SLG-PI,NYSE,current_ticker_available,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001049782-22-000078,0001049782,BROOKLINE BANCORP INC,6035,finance_insurance_real_estate,10-Q,1-LAF,2022-11-04,2022-11-05 00:00:00+00:00,20220930,2022,Q3,2022Q4,57.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001060349-22-000032,0001060349,"GAMCO INVESTORS, INC. ET AL",6211,finance_insurance_real_estate,10-Q,2-ACC,2022-08-02,2022-08-03 00:00:00+00:00,20220630,2022,Q2,2022Q3,151.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-029243,0001091748,"ARGO GROUP INTERNATIONAL HOLDINGS, LTD.",6361,finance_insurance_real_estate,10-Q,1-LAF,2022-11-09,2022-11-10 00:00:00+00:00,20220930,2022,Q3,2022Q4,52.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001312109-22-000206,0001312109,SILVERGATE CAPITAL CORP,6022,finance_insurance_real_estate,10-Q,1-LAF,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2022,Q3,2022Q4,54.0,,,former_or_unmapped,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001390777-22-000101,0001390777,BANK OF NEW YORK MELLON CORP,6022,finance_insurance_real_estate,10-Q,1-LAF,2022-11-07,2022-11-08 00:00:00+00:00,20220930,2022,Q3,2022Q4,54.0,BNY|BNY-PK,NYSE,current_ticker_available,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001411494-22-000041,0001411494,"APOLLO ASSET MANAGEMENT, INC.",6282,finance_insurance_real_estate,10-Q,1-LAF,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001456772-22-000031,0001456772,OFFICE PROPERTIES INCOME TRUST,6500,finance_insurance_real_estate,10-Q,1-LAF,2022-10-27,2022-10-28 00:00:00+00:00,20220930,2022,Q3,2022Q4,65.0,OPI,Nasdaq,current_ticker_available,False,False,False,True,True,True,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001193125-22-284858,0001474464,NEW YORK REIT LIQUIDATING LLC,6798,finance_insurance_real_estate,10-Q,2-ACC,2022-11-15,2022-11-16 00:00:00+00:00,20220930,2022,Q3,2022Q4,46.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001628280-22-027802,0001498828,HOWARD HUGHES CORP,6798,finance_insurance_real_estate,10-Q,1-LAF,2022-11-02,2022-11-03 00:00:00+00:00,20220930,2022,Q3,2022Q4,59.0,,,former_or_unmapped,False,False,False,False,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
2023-01-01 00:00:00+00:00,0001527469-22-000067,0001527469,ATHENE HOLDING LTD,6311,finance_insurance_real_estate,10-Q,1-LAF,2022-11-08,2022-11-09 00:00:00+00:00,20220930,2022,Q3,2022Q4,53.0,ATH-PA|ATH-PB|ATH-PD|ATH-PE|ATHS,NYSE,current_ticker_available,False,False,False,True,True,False,hold_intended_weight_in_cash_for_holding_period,-1.0
