component,source_sleeve,mapping
composite_regime_offense_component,composite_regime_conditioned,state-conditional offense projection; GGG1 recovery_confirmed drops PDBC/DBA
composite_regime_defense_component,composite_regime_conditioned,defense projection to HYG/LQD/GLD/TLT
composite_regime_cash_component,cash_proxy,BIL cash proxy
