version,market_state,sleeve,intended_role,total_final_ETF_contribution,avg_sleeve_weight,offense_contribution,defense_contribution,cash_BIL_contribution,cash_contribution,commodity_contribution,SPY_contribution,lookthrough_offense_drag,lookthrough_cash_drag,lookthrough_defense_drag
improved_phase2b_regime_confidence_boost,recovery_confirmed,composite_selective_signals,offense,0.23107260197421767,0.23107260197421767,0.03568988172877176,0.13711668413244604,0.0,0.0,0.05826603611299986,0.0016431254001086964,0.1953827202454459,0.0,0.1953827202454459
improved_phase2b_combo_abc,recovery_confirmed,composite_selective_signals,offense,0.23081316339815203,0.23081316339815203,0.035626466259491854,0.13692153554121267,0.0,0.0,0.058265161597447525,0.0016431254001086964,0.19518669713866016,0.0,0.1951866971386602
improved_phase2b_regime_confidence_boost,neutral_mixed,composite_selective_signals,offense,0.21306276827500323,0.21306276827500323,0.05005448492946621,0.12573550748594248,0.0,0.0,0.037272775859594584,0.007424258062799609,0.16300828334553702,0.0,0.16300828334553707
improved_phase2b_combo_abc,neutral_mixed,composite_selective_signals,offense,0.21234898622235523,0.21234898622235523,0.04995970356380472,0.1252627263529714,0.0,0.0,0.03712655630557912,0.007447024917023722,0.16238928265855052,0.0,0.16238928265855052
improved_phase2b_regime_confidence_boost,recovery_fragile,composite_selective_signals,offense,0.19013151490391494,0.19013151490391494,0.03176241118210952,0.11954686306976703,0.0,0.0,0.03882224065203841,0.0022786629394324805,0.15836910372180543,0.0,0.15836910372180543
improved_phase2b_combo_abc,recovery_fragile,composite_selective_signals,offense,0.1875103952913514,0.1875103952913514,0.03171797391590758,0.11758376970494222,0.0,0.0,0.038208651670501616,0.0022762679145862676,0.15579242137544383,0.0,0.15579242137544383
improved_phase2b_regime_confidence_boost,calm_trend,composite_selective_signals,offense,0.22255214023706682,0.22255214023706682,0.07133357248031812,0.11316091829108821,0.0,0.0,0.03805764946566049,0.0069789363879827265,0.1512185677567487,0.0,0.1512185677567487
improved_phase2b_combo_abc,calm_trend,composite_selective_signals,offense,0.22214814669947747,0.22214814669947747,0.0712021767992584,0.11293912961877,0.0,0.0,0.03800684028144907,0.006981728514420783,0.15094596990021908,0.0,0.15094596990021908
improved_phaseggg_confirmed_only_robust_offense,calm_trend,composite_selective_signals,offense,0.2077841206670321,0.2077841206670321,0.06872885133543134,0.10570128530750848,0.0,0.0,0.03335398402409228,0.007754450762523708,0.13905526933160078,0.0,0.13905526933160076
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,composite_selective_signals,offense,0.15689723525464627,0.15689723525464627,0.024616843000815954,0.09903625606847336,0.0,0.0,0.03324413618535697,0.0015527677118182916,0.13228039225383031,0.0,0.13228039225383031
improved_phaseggg_confirmed_only_robust_offense,neutral_mixed,composite_selective_signals,offense,0.17395731231030281,0.17395731231030281,0.04224748100159855,0.10126182519538092,0.0,0.0,0.030448006113323343,0.006720517751342649,0.13170983130870426,0.0,0.13170983130870426
improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,composite_selective_signals,offense,0.13289825283276144,0.13289825283276144,0.02185273781660874,0.07627848780237559,0.0,0.0,0.034767027213777106,0.0013886390622905836,0.1110455150161527,0.0,0.1110455150161527
improved_phase2b_regime_confidence_boost,recovery_fragile,dual_momentum_topn,offense,0.14373837251295407,0.14373837251295407,0.05416388023209114,0.03449703723631673,0.029899629693285888,0.029899629693285888,0.025177825351260306,0.021310613579270197,0.08957449228086292,0.029899629693285888,0.05967486258757704
improved_phase2b_combo_abc,recovery_fragile,dual_momentum_topn,offense,0.1423349188054023,0.1423349188054023,0.05399946100867836,0.033783099697164296,0.0296981195567472,0.0296981195567472,0.02485423854281246,0.021263687826505073,0.08833545779672394,0.0296981195567472,0.05863733823997676
improved_phaseggg_confirmed_only_robust_offense,recovery_confirmed,cta_trend_long_only,offense,0.1636967512094114,0.16369675120941143,0.09307655847921546,0.04642061164501778,0.0,0.0,0.024199581085178168,0.01629222738877706,0.07062019273019597,0.0,0.07062019273019596
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,dual_momentum_topn,offense,0.10120617063886612,0.10120617063886612,0.03330917377600521,0.02550185219585495,0.02318470090851354,0.02318470090851354,0.01921044375849243,0.012094382883144293,0.06789699686286091,0.02318470090851354,0.04471229595434738
improved_phaseggg_confirmed_only_robust_offense,recovery_fragile,cta_trend_long_only,offense,0.12086297504143713,0.12086297504143716,0.06844921816092027,0.031653392962004694,0.0,0.0,0.020760363918512173,0.00844049124329628,0.05241375688051689,0.0,0.05241375688051687
