execution_at,cik10,weight
2023-01-13 00:00:00+00:00,0001823945,0.05
2023-01-13 00:00:00+00:00,0001604665,0.05
2023-01-13 00:00:00+00:00,0001210618,0.05
2023-01-13 00:00:00+00:00,0000010254,0.05
2023-01-13 00:00:00+00:00,0001621563,0.05
2023-01-13 00:00:00+00:00,0001025835,0.05
2023-01-13 00:00:00+00:00,0000318300,0.05
2023-01-13 00:00:00+00:00,0000858470,0.05
2023-01-13 00:00:00+00:00,0000866368,0.05
2023-01-13 00:00:00+00:00,0000049938,0.05
2023-01-13 00:00:00+00:00,0001820721,0.05
2023-01-13 00:00:00+00:00,0000090896,0.05
2023-01-13 00:00:00+00:00,0001644406,0.05
2023-01-13 00:00:00+00:00,0001312109,0.05
2023-01-13 00:00:00+00:00,0000097476,0.05
2023-01-13 00:00:00+00:00,0000928658,0.05
2023-01-13 00:00:00+00:00,0001694028,0.05
2023-01-13 00:00:00+00:00,0001316835,0.05
2023-01-13 00:00:00+00:00,0000077877,0.05
2023-01-13 00:00:00+00:00,0001666138,0.05
2023-04-14 00:00:00+00:00,0001821160,0.05
2023-04-14 00:00:00+00:00,0001823945,0.05
2023-04-14 00:00:00+00:00,0000854775,0.05
2023-04-14 00:00:00+00:00,0001725134,0.05
2023-04-14 00:00:00+00:00,0001604665,0.05
2023-04-14 00:00:00+00:00,0001077428,0.05
2023-04-14 00:00:00+00:00,0001210618,0.05
2023-04-14 00:00:00+00:00,0000049938,0.05
2023-04-14 00:00:00+00:00,0001621563,0.05
2023-04-14 00:00:00+00:00,0000318300,0.05
2023-04-14 00:00:00+00:00,0000776867,0.05
2023-04-14 00:00:00+00:00,0001699039,0.05
2023-04-14 00:00:00+00:00,0000858470,0.05
2023-04-14 00:00:00+00:00,0001820721,0.05
2023-04-14 00:00:00+00:00,0001316835,0.05
2023-04-14 00:00:00+00:00,0001668397,0.05
2023-04-14 00:00:00+00:00,0000097476,0.05
2023-04-14 00:00:00+00:00,0000319201,0.05
2023-04-14 00:00:00+00:00,0001575051,0.05
2023-04-14 00:00:00+00:00,0001705873,0.05
2023-07-14 00:00:00+00:00,0000798941,0.05
2023-07-14 00:00:00+00:00,0001821160,0.05
2023-07-14 00:00:00+00:00,0001823945,0.05
2023-07-14 00:00:00+00:00,0001562401,0.05
2023-07-14 00:00:00+00:00,0000037808,0.05
2023-07-14 00:00:00+00:00,0001604665,0.05
2023-07-14 00:00:00+00:00,0001621563,0.05
2023-07-14 00:00:00+00:00,0000821483,0.05
2023-07-14 00:00:00+00:00,0000049938,0.05
2023-07-14 00:00:00+00:00,0000277135,0.05
2023-07-14 00:00:00+00:00,0001058090,0.05
2023-07-14 00:00:00+00:00,0000874499,0.05
2023-07-14 00:00:00+00:00,0000933036,0.05
2023-07-14 00:00:00+00:00,0001694028,0.05
2023-07-14 00:00:00+00:00,0001061219,0.05
2023-07-14 00:00:00+00:00,0000854775,0.05
2023-07-14 00:00:00+00:00,0000898173,0.05
2023-07-14 00:00:00+00:00,0001434588,0.05
2023-07-14 00:00:00+00:00,0001668397,0.05
2023-07-14 00:00:00+00:00,0000732834,0.05
2023-10-13 00:00:00+00:00,0000726854,0.05
2023-10-13 00:00:00+00:00,0001823945,0.05
2023-10-13 00:00:00+00:00,0001758730,0.05
2023-10-13 00:00:00+00:00,0001604665,0.05
2023-10-13 00:00:00+00:00,0000036270,0.05
2023-10-13 00:00:00+00:00,0001621563,0.05
2023-10-13 00:00:00+00:00,0000277135,0.05
2023-10-13 00:00:00+00:00,0000898173,0.05
2023-10-13 00:00:00+00:00,0001562401,0.05
2023-10-13 00:00:00+00:00,0000049938,0.05
2023-10-13 00:00:00+00:00,0001201792,0.05
2023-10-13 00:00:00+00:00,0000075362,0.05
2023-10-13 00:00:00+00:00,0001638290,0.05
2023-10-13 00:00:00+00:00,0001058090,0.05
2023-10-13 00:00:00+00:00,0001061219,0.05
2023-10-13 00:00:00+00:00,0001831651,0.05
2023-10-13 00:00:00+00:00,0001041061,0.05
2023-10-13 00:00:00+00:00,0001069202,0.05
2023-10-13 00:00:00+00:00,0001467373,0.05
2023-10-13 00:00:00+00:00,0000059478,0.05
2024-01-12 00:00:00+00:00,0001758730,0.05
2024-01-12 00:00:00+00:00,0001823945,0.05
2024-01-12 00:00:00+00:00,0001604665,0.05
2024-01-12 00:00:00+00:00,0000764622,0.05
2024-01-12 00:00:00+00:00,0001621563,0.05
2024-01-12 00:00:00+00:00,0001606366,0.05
2024-01-12 00:00:00+00:00,0000898173,0.05
2024-01-12 00:00:00+00:00,0001141391,0.05
2024-01-12 00:00:00+00:00,0001726978,0.05
2024-01-12 00:00:00+00:00,0000277135,0.05
2024-01-12 00:00:00+00:00,0000075362,0.05
2024-01-12 00:00:00+00:00,0000103595,0.05
2024-01-12 00:00:00+00:00,0001856236,0.05
2024-01-12 00:00:00+00:00,0000049938,0.05
2024-01-12 00:00:00+00:00,0001326801,0.05
2024-01-12 00:00:00+00:00,0000845877,0.05
2024-01-12 00:00:00+00:00,0001075531,0.05
2024-01-12 00:00:00+00:00,0000060667,0.05
2024-01-12 00:00:00+00:00,0000004904,0.05
2024-01-12 00:00:00+00:00,0001061219,0.05
2024-04-12 00:00:00+00:00,0001830188,0.05
2024-04-12 00:00:00+00:00,0001758730,0.05
2024-04-12 00:00:00+00:00,0001823945,0.05
2024-04-12 00:00:00+00:00,0001604665,0.05
2024-04-12 00:00:00+00:00,0001559720,0.05
