question,diagnosis,evidence
Why did improved_phase4_sector_20pct_offense improve full return but not Sharpe enough?,"The 20pct overlay added a larger dedicated sector offense budget and reduced BIL in active weeks, lifting full return, but the active sleeve remained high-volatility sector momentum. Incremental volatility and drawdown outweighed enough of the return lift to keep Sharpe near 0.93 rather than 0.95+.","Phase 4 20pct full return=0.076448, Sharpe=0.930141; standalone sector sleeves had materially lower Sharpe than the final portfolio."
Why did 25pct not dominate 20pct?,"The extra 5% budget was funded from already useful defensive/cash/offense sleeves and increased sector volatility. It did not produce enough active-window return to compensate, so return was flat/slightly lower and Sharpe deteriorated.","Phase 4 25pct return=0.076362, Sharpe=0.914853 versus 20pct return=0.076448, Sharpe=0.930141."
Why did balanced/stretched sector sleeves underperform?,Balanced sleeves were safer but diluted the return unlock; stretch sleeves were more concentrated and had poorer active-window evidence. The strongest standalone sector sleeve was not strong enough to support more concentration.,Phase 4 selection rejected balanced/stretch variants; standalone Top3/Top5 sector momentum had Sharpe below equal-sector and large drawdowns.
Which states benefited most?,Recovery_confirmed and calm_trend had visible return lift versus GGG1; neutral_mixed return improved but Sharpe did not dominate Phase 2.,Phase 4 state summary showed sector exposure helped selected non-stressed states while preserving stressed_panic protection.
Which states were harmed?,Weak neutral and inactive/fallback windows were the main drag. Broad neutral activation created more whipsaw than clean Sharpe improvement.,Neutral_mixed Sharpe for 20pct trailed GGG1/Phase2 even though return improved modestly.
Did sector-active weeks truly beat GGG1 / Phase 2 / Phase 3 after costs?,"Yes for the best 20pct sleeve versus GGG1 on the sector_breadth_confirmed gate, but the edge was small and did not scale well to 25pct or stretch.","Phase 4 signal-active table showed positive active delta for 20pct, but a small magnitude."
Was the sector sleeve too active or active in the wrong states?,"The Phase 4 breadth gate was broad, especially in neutral_mixed. Phase 4B should narrow activation to high-quality bull, calm leadership, and separately confirmed neutral/recovery states.","sector_breadth_confirmed fired across a large share of non-stressed weeks, including many neutral weeks."
Was top-3 too concentrated and top-5 too diluted?,"Top3 had higher concentration and turnover without superior standalone Sharpe; Top5 was smoother but not strong enough by itself. Phase 4B tests top5 smoothing, top4 risk-adjusted, and strict top3 only under strong leadership.",Phase 4 Top3 standalone Sharpe trailed Top5 and EqualWeightSector; Phase 4 concentration table showed non-trivial single-sector peaks.
Did turnover or sector whipsaw hurt returns?,"Likely yes. Top3 and defensive-filter designs had meaningful weekly turnover, and the active edge was too small to ignore cost/whipsaw drag.",Phase 4 standalone turnover was highest in concentrated/filtered rotation sleeves.
Did sector exposure mainly duplicate SPY/QQQ?,"Not at the portfolio level. Hidden beta checks were low, although standalone sector ETFs remain equity-like and correlated with SPY.",Phase 4 hidden beta table classified 20pct hidden beta risk as low.
