date,sleeve,ticker,weight
2017-11-10,Top3_Strict_Leadership,XLB,0.3333333333333333
2017-11-10,Top3_Strict_Leadership,XLF,0.3333333333333333
2017-11-10,Top3_Strict_Leadership,XLK,0.3333333333333333
2017-11-17,Top3_Strict_Leadership,XLB,0.3333333333333333
2017-11-17,Top3_Strict_Leadership,XLF,0.3333333333333333
2017-11-17,Top3_Strict_Leadership,XLK,0.3333333333333333
2017-11-24,Top3_Strict_Leadership,XLB,0.3333333333333333
2017-11-24,Top3_Strict_Leadership,XLF,0.3333333333333333
2017-11-24,Top3_Strict_Leadership,XLK,0.3333333333333333
2017-12-01,Top3_Strict_Leadership,XLE,0.3333333333333333
2017-12-01,Top3_Strict_Leadership,XLF,0.3333333333333333
2017-12-01,Top3_Strict_Leadership,XLK,0.3333333333333333
2017-12-08,Top3_Strict_Leadership,XLF,0.3333333333333333
2017-12-08,Top3_Strict_Leadership,XLI,0.3333333333333333
2017-12-08,Top3_Strict_Leadership,XLK,0.3333333333333333
2017-12-15,Top3_Strict_Leadership,XLF,0.3333333333333333
2017-12-15,Top3_Strict_Leadership,XLK,0.3333333333333333
2017-12-15,Top3_Strict_Leadership,XLY,0.3333333333333333
2017-12-22,Top3_Strict_Leadership,XLF,0.3333333333333333
2017-12-22,Top3_Strict_Leadership,XLK,0.3333333333333333
2017-12-22,Top3_Strict_Leadership,XLY,0.3333333333333333
2017-12-29,Top3_Strict_Leadership,XLF,0.3333333333333333
2017-12-29,Top3_Strict_Leadership,XLK,0.3333333333333333
2017-12-29,Top3_Strict_Leadership,XLY,0.3333333333333333
2018-01-05,Top3_Strict_Leadership,XLB,0.3333333333333333
2018-01-05,Top3_Strict_Leadership,XLE,0.3333333333333333
2018-01-05,Top3_Strict_Leadership,XLK,0.3333333333333333
2018-01-12,Top3_Strict_Leadership,BIL,1.0
2018-01-19,Top3_Strict_Leadership,BIL,1.0
2018-01-26,Top3_Strict_Leadership,BIL,1.0
2018-02-02,Top3_Strict_Leadership,BIL,1.0
2018-02-09,Top3_Strict_Leadership,BIL,1.0
