portfolio,window,upside_capture_spy,downside_capture_spy,beta_spy,corr_spy,beta_qqq,corr_qqq,active_return_vs_SPY,active_return_vs_QQQ,active_return_vs_ggg1,active_return_vs_phase2_best,active_return_vs_phase3_best,active_return_vs_phase4_best
improved_phase4b_refined_sector_small_overlay,full,0.04671456467774778,-0.12865288774866,-0.031651486345998826,-0.0718525885579836,-0.024624135236122825,-0.06319261389417663,-0.032133392371535896,-0.0736204496863897,0.0018479469021466244,-0.0006628730613735812,0.0005495119414424821,-0.0032191333433801983
improved_phase4b_refined_sector_small_overlay,holdout_2016,0.06158242398439474,-0.14095850569607857,-0.05877078753138057,-0.12301882421444585,-0.0402787477552191,-0.1000490470011839,-0.05923878178641617,-0.10454209429407557,0.0005792552107346527,-0.0012969593138691948,-0.003054054584455068,-0.0015426214884326495
improved_phase4b_refined_sector_small_overlay,holdout_2020,0.062279755431804106,-0.1302000711556931,-0.0667785889665271,-0.14276520631780584,-0.04611970787795913,-0.11528291122379061,-0.05086477321453109,-0.09773907756086642,-0.004975818566368195,-0.0065017073570283745,-0.008836847269754644,-0.0026096929720069717
improved_phase4b_refined_sector_small_overlay,holdout_2021,0.08973550660116061,-0.1353285818669027,-0.03545685609905816,-0.07430696068876186,-0.026077569757289535,-0.07113122513647156,-0.03799912635213598,-0.0442871053076308,-0.003099635880674745,-0.005882855543585697,-0.0065505595562460606,-0.0027065118745039918
improved_phase4b_refined_sector_small_overlay,bear_2022,0.03095406596892559,0.04616368471817053,0.010373126525403568,0.039910624542660846,0.009905324034115698,0.0472495335552988,0.16309506894690384,0.3071115619136241,-0.005725580989148882,-0.007248360821566546,-0.004399860704799252,-0.01042598160382635
improved_phase4b_refined_sector_small_overlay,recovery_2023,0.13650473010676661,-0.21709044138829803,-0.06785194068054112,-0.11989705898095315,-0.051241727797981196,-0.11986638630094056,-0.06766249336901864,-0.15616412710864358,-0.004929385830997779,-0.009144382493385006,-0.01119780679332849,0.0016539213961477284
improved_phase4b_refined_sector_20pct,full,0.048543464562605075,-0.13741538643744663,-0.03274203754759601,-0.07104537276423711,-0.02602241376544635,-0.063831447922681,-0.027754689238970398,-0.0692417465538242,0.006222418453423861,0.003711598489903656,0.004923983492719719,0.0011553382078970387
improved_phase4b_refined_sector_20pct,holdout_2016,0.064629127713443,-0.1500487556236274,-0.06078285796287626,-0.12191600991009655,-0.043168593708485394,-0.10274825614798103,-0.054338405637780474,-0.09964171814543987,0.005479631359370352,0.003603416834766504,0.0018463215641806308,0.0033577546602030495
improved_phase4b_refined_sector_20pct,holdout_2020,0.06514638521700175,-0.13834152653331638,-0.06890918880399259,-0.14072215054553108,-0.048654001856680944,-0.11617084319758716,-0.04574308955583084,-0.09261739390216617,0.0001458650923320537,-0.0013800236983281255,-0.003715163611054395,0.0025119906866932773
improved_phase4b_refined_sector_20pct,holdout_2021,0.09473489713718672,-0.1488646941989859,-0.04031828099038131,-0.0785733424528901,-0.030403613726938533,-0.07711916645976646,-0.030029259548716603,-0.036317238504211424,0.004870230922744634,0.002087011259833682,0.0014193072471733181,0.005263354928915387
improved_phase4b_refined_sector_20pct,bear_2022,0.04326067255534584,0.050814982445687266,0.013256640252189967,0.04756305037855382,0.012055556051676365,0.0536257605823768,0.1665127667092453,0.31052925967596556,-0.0023078832268074168,-0.003830663059225081,-0.0009821629424577871,-0.007008283841484886
improved_phase4b_refined_sector_20pct,recovery_2023,0.13688907542268808,-0.224302746225452,-0.0745338769016042,-0.12427594596067468,-0.05558729402589615,-0.1226976627486677,-0.06543475488007489,-0.15393638861969983,-0.0027016473420540255,-0.0069166440044412525,-0.008970068304384737,0.003881659885091482
improved_phase4b_refined_sector_25pct_selective,full,0.04243232811883403,-0.1334557794569847,-0.035254703774382716,-0.07755736071871167,-0.028182059819870136,-0.07008671532818724,-0.032548639230941756,-0.07403569654579556,0.0014331005039200928,-0.0010777194596001127,0.00013466554321595048,-0.00363397974160673
improved_phase4b_refined_sector_25pct_selective,holdout_2016,0.05357138051269172,-0.14296612283470078,-0.06427672765426412,-0.1294156220722629,-0.04666783105528464,-0.11150067517777006,-0.06312251317157558,-0.10842582567923498,-0.003304476174424753,-0.005180690699028601,-0.006937785969614474,-0.005426352873592055
improved_phase4b_refined_sector_25pct_selective,holdout_2020,0.05628303133144049,-0.1365934113538643,-0.07453786326324142,-0.1487291777468456,-0.05383708606410154,-0.12560127032138907,-0.05232048786852839,-0.09919479221486371,-0.006431533220365493,-0.007957422011025672,-0.010292561923751942,-0.004065407626004269
improved_phase4b_refined_sector_25pct_selective,holdout_2021,0.07984409814197296,-0.14791177373736822,-0.045652698896814475,-0.08871017071189095,-0.03643715057647178,-0.09215422790763213,-0.038939830590687174,-0.045227809546181996,-0.004040340119225938,-0.00682355978213689,-0.007491263794797254,-0.003647216113055185
improved_phase4b_refined_sector_25pct_selective,bear_2022,0.03369948267112554,0.04828627233508781,0.010803316164133112,0.03979086481988942,0.009599298737974049,0.04383447296074107,0.16293877359672493,0.3069552665634452,-0.005881876339327796,-0.007404656171745461,-0.0045561560549781666,-0.010582276954005265
improved_phase4b_refined_sector_25pct_selective,recovery_2023,0.12968356755386257,-0.2043374641615375,-0.0683123600737266,-0.11550699683578622,-0.053492392186699524,-0.11973701129336801,-0.07618779227340289,-0.16468942601302783,-0.013454684735382028,-0.017669681397769255,-0.01972310569771274,-0.00687137750823652
improved_phase4b_sector_phase3_hybrid,full,0.04699644675715963,-0.12558728420412185,-0.030423647534867187,-0.07057020017400228,-0.023412739747345403,-0.061393066829806615,-0.03318318180497504,-0.07467023911982884,0.000799169598899141,-0.0017116503646210646,-0.0004992653618050014,-0.004267910646627682
improved_phase4b_sector_phase3_hybrid,holdout_2016,0.06427014617002087,-0.13876438678043873,-0.0569424496655768,-0.12043181376921124,-0.039623871230304246,-0.09944636625516502,-0.05854642389991893,-0.10384973640757833,0.001271613097231894,-0.0006046014273719535,-0.002361696697957827,-0.0008502636019354082
improved_phase4b_sector_phase3_hybrid,holdout_2020,0.06577838471343386,-0.13818137098211195,-0.06730308769951272,-0.14404150660481485,-0.047035003867547796,-0.11769746214279879,-0.04497647664303206,-0.09185078098936739,0.0009124780051308345,-0.0006134107855293447,-0.0029485506982556142,0.003278603599492058
improved_phase4b_sector_phase3_hybrid,holdout_2021,0.09150213400468414,-0.14155055732586566,-0.03689270620190676,-0.07580656218380927,-0.027763891022227816,-0.0742524040720863,-0.034545000047322194,-0.040832979002817016,0.0003544904241390423,-0.0024287292387719095,-0.0030964332514322734,0.0007476144303097954
improved_phase4b_sector_phase3_hybrid,bear_2022,0.03437967083514511,0.04748680748346163,0.00956715626585259,0.03566789098126593,0.009373098187491397,0.04332391738760719,0.16398412257950057,0.3080006155462208,-0.004836527356552156,-0.0063593071889698205,-0.0035108070722025264,-0.009536927971229625
improved_phase4b_sector_phase3_hybrid,recovery_2023,0.13984316498346025,-0.20779920818907613,-0.062433456627007194,-0.11158502175581266,-0.0487565512769031,-0.1153583118461014,-0.06885928384691797,-0.15736091758654291,-0.006126176308897113,-0.01034117297128434,-0.012394597271227825,0.000457130918248394
improved_phase4b_return_unlock_stretch,full,0.042963161468821835,-0.13423713964423897,-0.035404178549082024,-0.07749158155434152,-0.028197010012300194,-0.0697686120974829,-0.031942064268486,-0.07342912158333981,0.002039090441043001,-0.00047172952247720445,0.0007406554803388588,-0.0030279898044838216
improved_phase4b_return_unlock_stretch,holdout_2016,0.05376622131605823,-0.1429409798927146,-0.06452840255123575,-0.12922154136752106,-0.046675493073307865,-0.11091744376558525,-0.06306771815838785,-0.10837103066604725,-0.003249681161237028,-0.0051258956858408755,-0.006882990956426749,-0.00537155786040433
improved_phase4b_return_unlock_stretch,holdout_2020,0.05660077036033632,-0.1368160121268963,-0.07483591798216487,-0.1484174825389021,-0.05387696547121733,-0.12493132483528877,-0.052082391736324674,-0.09895669608266,-0.0061934370881617795,-0.007719325878821959,-0.010054465791548228,-0.003827311493800556
improved_phase4b_return_unlock_stretch,holdout_2021,0.08055280182392699,-0.14851509865053256,-0.04579191115494358,-0.08870641264955842,-0.03635377249603354,-0.09165995332620493,-0.03831046318029219,-0.04459844213578701,-0.0034109727088309505,-0.006194192371741902,-0.006861896384402266,-0.0030178487026601974
improved_phase4b_return_unlock_stretch,bear_2022,0.03485630809559195,0.04928865639590528,0.011041527296728472,0.04006812974771914,0.009909282189111471,0.044582262706284265,0.16280129860960235,0.3068177915763226,-0.006019351326450373,-0.007542131158868037,-0.004693631042100743,-0.010719751941127842
improved_phase4b_return_unlock_stretch,recovery_2023,0.13048766820217955,-0.2071440716704183,-0.06929210359015407,-0.1167265104375703,-0.05392679375814418,-0.12025904404872384,-0.07481359193266801,-0.16331522567229295,-0.01208048439464715,-0.016295481057034378,-0.018348905356977863,-0.005497177167501643
ggg1,full,0.0451064263876081,-0.12617174723909547,-0.030808384689267134,-0.07097588500320907,-0.02395124373688742,-0.062377358702311744,-0.033983122026767454,-0.07547017934162126,0.0,-0.0025108199635202055,-0.0012984349607041423,-0.005067080245526823
ggg1,holdout_2016,0.06052902496304591,-0.14064200804104632,-0.057484156000998626,-0.12240452876171545,-0.039101873131258576,-0.09880384002699463,-0.059818036997150825,-0.10512134950481022,0.0,-0.0018762145246038475,-0.003633309795189721,-0.002121876699167302
ggg1,holdout_2020,0.06551332765762644,-0.13615548081195716,-0.06529614534347208,-0.14285478278365102,-0.04529804916833187,-0.11587239618323468,-0.045888954648162894,-0.09276325899449822,0.0,-0.0015258887906601792,-0.0038610287033864488,0.0023661255943612236
ggg1,holdout_2021,0.09141449237369342,-0.14037645356035458,-0.03434889148092001,-0.07259397150617446,-0.02541309102428167,-0.06990515813695006,-0.034899490471461236,-0.04118746942695606,0.0,-0.002783219662910952,-0.0034509236755713157,0.00039312400617075305
ggg1,bear_2022,0.03615239191591677,0.042518640846846284,0.01200251770930911,0.04523635834710798,0.011877935929891593,0.05550169522281806,0.16882064993605272,0.312837142902773,0.0,-0.0015227798324176645,0.0013257202843496296,-0.004700400614677469
ggg1,recovery_2023,0.1359523845950257,-0.23216117895739327,-0.07028076603772007,-0.12568759367824078,-0.054235037255806445,-0.12839947822625863,-0.06273310753802086,-0.1512347412776458,0.0,-0.004214996662387227,-0.006268420962330712,0.006583307227145507
phase2_best,full,0.04638886752039782,-0.13084073913409772,-0.03206515527336619,-0.07163639109120822,-0.02504190620962118,-0.06324479058582588,-0.0314698791225172,-0.072956936437371,0.0025108199635202055,0.0,0.0012123850028160632,-0.002556260282006617
phase2_best,holdout_2016,0.06123867887668414,-0.14508208971818728,-0.059532376156410785,-0.12253457751891345,-0.040705807871251394,-0.09942343270468308,-0.05794182247254698,-0.10324513498020638,0.0018762145246038475,0.0,-0.0017570952705858733,-0.00024566217456345463
phase2_best,holdout_2020,0.0658187330007533,-0.13972494680322323,-0.06735907524788941,-0.14217305783666226,-0.04687825392795243,-0.11568734743727267,-0.044363065857502715,-0.09123737020383804,0.0015258887906601792,0.0,-0.0023351399127262695,0.003892014385021403
phase2_best,holdout_2021,0.09317485044235035,-0.145167402500762,-0.03633856891312074,-0.07434216118427026,-0.026774107223269127,-0.07129289661489008,-0.032116270808550285,-0.038404249764045106,0.002783219662910952,0.0,-0.0006677040126603639,0.003176343669081705
phase2_best,bear_2022,0.04209303413512736,0.04485521147610392,0.013463188309039862,0.048233425572667556,0.013518018395052601,0.06004311420134557,0.1703434297684704,0.31435992273519064,0.0015227798324176645,0.0,0.002848500116767294,-0.0031776207822598046
phase2_best,recovery_2023,0.13690729799860177,-0.24367427609274445,-0.07549294651083444,-0.13002436524170322,-0.05814536183933573,-0.13257475536650049,-0.05851811087563363,-0.14701974461525857,0.004214996662387227,0.0,-0.002053424299943485,0.010798303889532734
phase3_best,full,0.04793382500412348,-0.12545345021042079,-0.030417554430588082,-0.0710127035585599,-0.023665932623889715,-0.06245862222047566,-0.032683434738910666,-0.07417049205376447,0.0012984349607041423,-0.0012123850028160632,0.0,-0.0037686452848226804
phase3_best,holdout_2016,0.06645321407500727,-0.14152197303696246,-0.05678114067168937,-0.12163167540433358,-0.038745457958326825,-0.09848958539098673,-0.056184727201961104,-0.1014880397096205,0.003633309795189721,0.0017570952705858733,0.0,0.0015114330960224187
phase3_best,holdout_2020,0.07014427361245666,-0.1382317058153407,-0.0649372906150219,-0.141867844910995,-0.04491139193820714,-0.11472011415426808,-0.042027925944776445,-0.08890223029111177,0.0038610287033864488,0.0023351399127262695,0.0,0.006227154297747672
phase3_best,holdout_2021,0.09743917059606438,-0.14029725405414978,-0.03255823071174102,-0.0692812707709378,-0.024162030035244336,-0.06691945083048882,-0.03144856679588992,-0.03773654575138474,0.0034509236755713157,0.0006677040126603639,0.0,0.003844047681742069
phase3_best,bear_2022,0.03764301487012923,0.045484099821615484,0.011660330123906847,0.044545390389272306,0.011598018001848336,0.05493203539989326,0.1674949296517031,0.31151142261842335,-0.0013257202843496296,-0.002848500116767294,0.0,-0.006026120899027099
phase3_best,recovery_2023,0.14772549278481314,-0.23066527178937396,-0.06528772365131878,-0.11785496374516333,-0.05167773686369679,-0.1234943899856665,-0.05646468657569015,-0.1449663203153151,0.006268420962330712,0.002053424299943485,0.0,0.01285172818947622
phase4_best,full,0.045161304688832477,-0.13921859611192391,-0.03513823775663158,-0.07509878679020485,-0.027153523739341306,-0.06560488268098,-0.028911146606681593,-0.0703982039215354,0.005067080245526823,0.002556260282006617,0.0037686452848226804,0.0
phase4_best,holdout_2016,0.05912277353404265,-0.14949711740015748,-0.06317407575732557,-0.1248463627604301,-0.04428473214333813,-0.103852738787349,-0.05769616029798352,-0.10299947280564292,0.002121876699167302,0.00024566217456345463,-0.0015114330960224187,0.0
phase4_best,holdout_2020,0.059320160458013776,-0.14126879141373017,-0.07142165985404755,-0.14279360062711066,-0.04976807425231952,-0.11633834735573578,-0.04825508024252412,-0.09512938458885944,-0.0023661255943612236,-0.003892014385021403,-0.006227154297747672,0.0
phase4_best,holdout_2021,0.08385792971875185,-0.15106833711286344,-0.043178561513456226,-0.08455630705009083,-0.03221506236926984,-0.08211088132646222,-0.03529261447763199,-0.04158059343312681,-0.00039312400617075305,-0.003176343669081705,-0.003844047681742069,0.0
phase4_best,bear_2022,0.051760944983814755,0.04828459520940148,0.01937058497394147,0.07132107009327496,0.017059308637031693,0.07787293269972258,0.1735210505507302,0.31753754351745045,0.004700400614677469,0.0031776207822598046,0.006026120899027099,0.0
