portfolio,state,delta_ann_return_vs_phase2_best,delta_sharpe_vs_phase2_best,delta_avg_BIL_vs_phase2_best,delta_sector_exposure_vs_phase2_best
improved_phase4b_refined_sector_small_overlay,calm_trend,0.0004672731954857845,-0.005015265935838675,-0.0032348265083049915,0.09849653695920199
improved_phase4b_refined_sector_small_overlay,neutral_mixed,-0.0041600829284802465,0.0003699096372420385,0.03263589516118712,0.05435677967868128
improved_phase4b_refined_sector_small_overlay,recovery_confirmed,0.004260108841990684,0.07082857981731111,0.020986065875885765,0.055650027485548925
improved_phase4b_refined_sector_small_overlay,recovery_fragile,0.002057371621347892,0.06469756879004263,0.019832325030498338,0.01574343798183139
improved_phase4b_refined_sector_small_overlay,stressed_panic,0.00337326062743748,0.05155448496399906,0.0067519239202185055,0.010709882930398523
improved_phase4b_refined_sector_20pct,calm_trend,0.0026019370138146147,-0.0070402019228509305,-0.030292984748803972,0.18505157677819017
improved_phase4b_refined_sector_20pct,neutral_mixed,0.003300727677236548,0.0054197083946854185,-0.00525588080133102,0.09582411392553704
improved_phase4b_refined_sector_20pct,recovery_confirmed,0.016918752567456563,0.21638989107575207,-0.016096025747118076,0.10691402923127909
improved_phase4b_refined_sector_20pct,recovery_fragile,0.0075282772269373854,0.12077765245133976,0.00023973301054783236,0.020997796355135954
improved_phase4b_refined_sector_20pct,stressed_panic,0.002610970559180137,0.04240586342451441,0.0026627055851115022,0.017330858772392956
improved_phase4b_refined_sector_25pct_selective,calm_trend,-0.0012243950703183515,-0.055302656311078335,0.0039869219241025905,0.22705191446350367
improved_phase4b_refined_sector_25pct_selective,neutral_mixed,-0.003783208437587504,-0.03894240853127107,0.028163809207394502,0.11688116393398935
improved_phase4b_refined_sector_25pct_selective,recovery_confirmed,0.012814597521592086,0.10412348383398595,-0.02977049718619562,0.17645655499897248
improved_phase4b_refined_sector_25pct_selective,recovery_fragile,-0.00031548646353507515,0.021693786571547635,0.01823928490480231,0.02037084810450078
improved_phase4b_refined_sector_25pct_selective,stressed_panic,0.00168906201776986,0.05014936262208536,0.017376654792192858,0.020314686317427433
improved_phase4b_sector_phase3_hybrid,calm_trend,0.0034537152298093066,0.04497986059916281,0.02471445280375005,0.1464928860757428
improved_phase4b_sector_phase3_hybrid,neutral_mixed,-0.008003756197617395,-0.036164699337242645,0.0517157811094536,0.07350928802238672
improved_phase4b_sector_phase3_hybrid,recovery_confirmed,0.013331243621062638,0.17758050595883995,0.009243437371603894,0.07949777035729383
improved_phase4b_sector_phase3_hybrid,recovery_fragile,-0.000648240597489691,0.039658137002602345,0.03783033796465898,0.0166692552058156
improved_phase4b_sector_phase3_hybrid,stressed_panic,0.0011696235122231613,0.0500102612378297,0.02199674421166742,0.013424896054899388
improved_phase4b_return_unlock_stretch,calm_trend,-0.0007329673369285139,-0.04938766305117881,0.004030599346089278,0.22874088156312733
improved_phase4b_return_unlock_stretch,neutral_mixed,-0.0028270699674881605,-0.03546904770085124,0.0232997178386056,0.11699960193891701
improved_phase4b_return_unlock_stretch,recovery_confirmed,0.012819008363551543,0.10202536059586964,-0.030632727289759833,0.18153270922011797
improved_phase4b_return_unlock_stretch,recovery_fragile,0.0005006703673826607,0.028313302375731153,0.013926699651184343,0.019290553571641708
improved_phase4b_return_unlock_stretch,stressed_panic,0.0018104564884782182,0.045372135062427876,0.014067516982629757,0.01882537820448982
