study,test_type,candidate_signal,signal_count,signal_names,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,hit_rate,avg_weekly_turnover,annual_turnover,avg_max_weight,avg_effective_n,avg_hhi,weight_instability,allocation_instability,psr_zero,psr_selection,observations,avg_bil_weight,avg_spy_weight,subperiod_sharpe_range,delta_ann_return_vs_base,delta_sharpe_vs_base,delta_max_drawdown_vs_base,delta_cvar_5_vs_base,delta_turnover_vs_base,delta_ann_return_vs_current_full,delta_sharpe_vs_current_full,delta_max_drawdown_vs_current_full,delta_cvar_5_vs_current_full,delta_turnover_vs_current_full
base_core,baseline,base_core,4,xsmom_global|multi_mom_invvol|quality_proxy|value_proxy,0.07706864805302627,0.1321978032326531,0.5829797936762551,-0.26305448621263594,0.2929759882168633,-0.04531513078534967,0.5603603603603604,0.05365193868349865,2.78990081154193,0.28445945945945944,3.862162162162162,0.28445945945945944,0.10720720720720721,0.10720720720720721,0.9975397459962239,0.9608019842536619,1110,0.04684684684684685,0.10945945945945947,0.17521552149263625,,,,,,,,,,
base_plus_one,add_one,residual_momentum,5,xsmom_global|multi_mom_invvol|quality_proxy|value_proxy|residual_momentum,0.07762585822303558,0.13917793963101707,0.5577454187699151,-0.3728694431908165,0.2081850890187063,-0.047655988813908964,0.5621621621621622,0.05072137060414788,2.63751127141569,0.28445945945945944,3.862162162162162,0.28445945945945944,0.10135135135135136,0.10135135135135136,0.9965875110024632,0.9348184613450685,1110,0.047747747747747746,0.08648648648648649,0.6883967065418297,0.0005572101700093146,-0.02523437490633995,-0.10981495697818056,-0.002340858028559295,-0.0029305680793507705,,,,,
base_plus_one,add_one,carry_proxy,5,xsmom_global|multi_mom_invvol|quality_proxy|value_proxy|carry_proxy,0.06890206455414805,0.11598772172035686,0.594046193270948,-0.28995532360188225,0.23762993449553885,-0.038919507244077126,0.5765765765765766,0.03719567177637511,1.9341749323715056,0.25675675675675674,3.9702702702702704,0.25574324324324327,0.07432432432432433,0.07432432432432433,0.9973777395099154,0.9450923794870372,1110,0.011486486486486487,0.05405405405405406,0.16307640689010383,-0.008166583498878222,0.01106639959469291,-0.026900837389246313,0.006395623541272544,-0.01645626690712354,,,,,
base_plus_one,add_one,bab_proxy,5,xsmom_global|multi_mom_invvol|quality_proxy|value_proxy|bab_proxy,0.07720880184302326,0.10515407188816239,0.7342445276407309,-0.19363305329346392,0.3987377182242131,-0.03450045224385877,0.5900900900900901,0.046889089269612265,2.438232642019838,0.2617117117117117,3.951951951951952,0.26126126126126126,0.0936936936936937,0.0936936936936937,0.9995592375980944,0.9835477287250161,1110,0.018018018018018018,0.059684684684684686,0.2933744900489571,0.00014015378999698846,0.15126473396447582,0.06942143291917202,0.010814678541490902,-0.006762849413886385,,,,,
base_plus_one,add_one,reversal_4w_global,5,xsmom_global|multi_mom_invvol|quality_proxy|value_proxy|reversal_4w_global,0.06567140637441682,0.13201192978858145,0.49746569480190383,-0.33587849266210534,0.19552132038559084,-0.04306667597672621,0.5666666666666667,0.09986474301172227,5.192966636609558,0.25472972972972974,3.981081081081081,0.25472972972972974,0.19954954954954954,0.19954954954954954,0.9931386759847218,0.8982865694133373,1110,0.008333333333333333,0.09572072072072071,0.19273412853706257,-0.011397241678609449,-0.08551409887435124,-0.0728240064494694,0.002248454808623457,0.04621280432822362,,,,,
current_full,baseline,current_full,8,xsmom_global|multi_mom_invvol|residual_momentum|quality_proxy|value_proxy|carry_proxy|bab_proxy|reversal_4w_global,0.06774656348367136,0.10793816364786304,0.6276423573842467,-0.25199014103459505,0.2688460874124858,-0.03515370654810884,0.5792792792792792,0.0633453561767358,3.2939585211902616,0.25472972972972974,3.981081081081081,0.25472972972972974,0.1265765765765766,0.1265765765765766,0.9982298355492466,0.9275027553638412,1110,0.01126126126126126,0.026576576576576576,0.22747040987884404,,,,,,,,,,
drop_from_current_full,drop_one,residual_momentum,7,xsmom_global|multi_mom_invvol|quality_proxy|value_proxy|carry_proxy|bab_proxy|reversal_4w_global,0.06741323764301699,0.09954812371376158,0.6771924485172165,-0.27168329086634035,0.24813170301364681,-0.030667823802254433,0.5720720720720721,0.058836789900811544,3.0595130748422004,0.25472972972972974,3.981081081081081,0.25472972972972974,0.11756756756756757,0.11756756756756757,0.9990376309990585,0.9568119622326833,1110,0.012387387387387387,0.026126126126126126,0.42035486520582177,,,,,,-0.00033332584065437487,0.04955009113296982,-0.019693149831745305,0.0044858827458544095,-0.004508566275924254
drop_from_current_full,drop_one,carry_proxy,7,xsmom_global|multi_mom_invvol|residual_momentum|quality_proxy|value_proxy|bab_proxy|reversal_4w_global,0.07007777597484965,0.11689078486510111,0.599514975074584,-0.2847214044823009,0.24612752982962297,-0.03872546615808024,0.5756756756756757,0.08363390441839495,4.348963029756537,0.25472972972972974,3.981081081081081,0.25472972972972974,0.1671171171171171,0.1671171171171171,0.9976802542398788,0.9256697935984373,1110,0.007207207207207207,0.04594594594594595,0.47094139170314153,,,,,,0.0023312124911782917,-0.02812738230966272,-0.03273126344770583,-0.0035717596099714005,0.020288548241659154
drop_from_current_full,drop_one,bab_proxy,7,xsmom_global|multi_mom_invvol|residual_momentum|quality_proxy|value_proxy|carry_proxy|reversal_4w_global,0.0726350338049262,0.12298778433241837,0.5905873839356607,-0.2774945814066657,0.26175298067705416,-0.0403978963757541,0.5864864864864865,0.08070333633904418,4.196573489630297,0.25472972972972974,3.981081081081081,0.25472972972972974,0.16126126126126125,0.16126126126126125,0.9976345626992476,0.9247879319417751,1110,0.007432432432432433,0.046621621621621624,0.4051367159141749,,,,,,0.004888470321254834,-0.03705497344858599,-0.02550444037207067,-0.005244189827645254,0.017357980162308384
drop_from_current_full,drop_one,reversal_4w_global,7,xsmom_global|multi_mom_invvol|residual_momentum|quality_proxy|value_proxy|carry_proxy|bab_proxy,0.07262360648299837,0.10533289963710403,0.6894674573015965,-0.24689305549871043,0.29415005754739704,-0.0355237644197489,0.5981981981981982,0.04192966636609558,2.18034265103697,0.25675675675675674,3.9702702702702704,0.25574324324324327,0.08378378378378379,0.08378378378378379,0.9991803658857843,0.960969847433584,1110,0.01126126126126126,0.027477477477477478,0.2215780375708628,,,,,,0.004877042999327008,0.06182509991734986,0.005097085535884616,-0.00037005787164005877,-0.021415689810640216
