left_signal,right_signal,avg_cs_corr,abs_avg_cs_corr
multi_mom_equal,multi_mom_invvol,0.9846294969914077,0.9846294969914077
trend_clarity_momentum,xsmom_global,0.9410812553390197,0.9410812553390197
moving_average_distance,multi_mom_equal,0.9282588487114447,0.9282588487114447
moving_average_distance,multi_mom_invvol,0.9062724255933169,0.9062724255933169
multi_mom_equal,xsmom_global,0.885068455417125,0.885068455417125
multi_mom_invvol,xsmom_global,0.8627915959747695,0.8627915959747695
trend_clarity_momentum,tsmom_vol_scaled,0.8589850742215924,0.8589850742215924
multi_mom_equal,trend_clarity_momentum,0.8585396231032713,0.8585396231032713
moving_average_distance,trend_clarity_momentum,0.8551273643918708,0.8551273643918708
moving_average_distance,xsmom_global,0.8457908909676648,0.8457908909676648
breadth_confirmed_momentum,multi_mom_invvol,0.8371159769306097,0.8371159769306097
breadth_confirmed_momentum,multi_mom_equal,0.836602028027867,0.836602028027867
carry_proxy,carry_proxy_asset_class_neutral,0.8336458321714895,0.8336458321714895
multi_mom_invvol,trend_clarity_momentum,0.8309818358016237,0.8309818358016237
breadth_confirmed_momentum,moving_average_distance,0.8222687945770993,0.8222687945770993
tsmom_vol_scaled,xsmom_global,0.7980358909326836,0.7980358909326836
reversal_4w_asset_class_neutral,reversal_4w_global,0.7358742175562121,0.7358742175562121
reversal_1w_asset_class_neutral,reversal_1w_global,0.7299514955059995,0.7299514955059995
value_proxy,value_proxy_asset_class_neutral,0.7297585448101617,0.7297585448101617
xsmom_asset_class_neutral,xsmom_global,0.7248204621589859,0.7248204621589859
multi_mom_equal,tsmom_vol_scaled,0.7126502296503241,0.7126502296503241
trend_clarity_momentum,value_proxy,-0.707543559098785,0.707543559098785
multi_mom_invvol,tsmom_vol_scaled,0.6926520498762417,0.6926520498762417
trend_clarity_momentum,xsmom_asset_class_neutral,0.6915263119570977,0.6915263119570977
value_proxy,xsmom_global,-0.690782635121054,0.690782635121054
moving_average_distance,tsmom_vol_scaled,0.6883702694477081,0.6883702694477081
quality_proxy,quality_proxy_asset_class_neutral,0.6844872434751931,0.6844872434751931
tsmom_vol_scaled,value_proxy,-0.6604251387355135,0.6604251387355135
moving_average_distance,value_proxy,-0.6600357252921033,0.6600357252921033
multi_mom_invvol,value_proxy,-0.6578582082164137,0.6578582082164137
multi_mom_equal,value_proxy,-0.6554430914408458,0.6554430914408458
value_proxy_asset_class_neutral,xsmom_asset_class_neutral,-0.6503220040149943,0.6503220040149943
breadth_confirmed_momentum,xsmom_global,0.6420565609510791,0.6420565609510791
breadth_confirmed_momentum,trend_clarity_momentum,0.6373687391106712,0.6373687391106712
multi_mom_equal,xsmom_asset_class_neutral,0.6355944742986164,0.6355944742986164
tsmom_vol_scaled,xsmom_asset_class_neutral,0.6341928441259272,0.6341928441259272
multi_mom_invvol,xsmom_asset_class_neutral,0.6173822139869798,0.6173822139869798
moving_average_distance,xsmom_asset_class_neutral,0.6087989076726983,0.6087989076726983
breadth_confirmed_momentum,tsmom_vol_scaled,0.5356143346644635,0.5356143346644635
tsmom_vol_scaled,value_proxy_asset_class_neutral,-0.5328641457564051,0.5328641457564051
trend_clarity_momentum,value_proxy_asset_class_neutral,-0.5315164137592415,0.5315164137592415
bab_proxy,bab_proxy_asset_class_neutral,0.526409374434566,0.526409374434566
breadth_confirmed_momentum,value_proxy,-0.5236344381031427,0.5236344381031427
value_proxy_asset_class_neutral,xsmom_global,-0.512161977806691,0.512161977806691
bab_proxy,quality_proxy,0.5091921992268625,0.5091921992268625
value_proxy,xsmom_asset_class_neutral,-0.5035440489699573,0.5035440489699573
contained_recovery_quality,multi_mom_invvol,0.4984056370701437,0.4984056370701437
moving_average_distance,value_proxy_asset_class_neutral,-0.4903140008792678,0.4903140008792678
multi_mom_equal,value_proxy_asset_class_neutral,-0.48646822882848767,0.48646822882848767
multi_mom_invvol,value_proxy_asset_class_neutral,-0.48428414201700076,0.48428414201700076
contained_recovery_quality,multi_mom_equal,0.47976636548847207,0.47976636548847207
multi_mom_equal,residual_momentum,0.47927738522144814,0.47927738522144814
moving_average_distance,residual_momentum,0.465891365503396,0.465891365503396
breadth_confirmed_momentum,contained_recovery_quality,0.46491052708702274,0.46491052708702274
multi_mom_invvol,residual_momentum,0.4585798232893484,0.4585798232893484
contained_recovery_quality,reversal_4w_global,-0.44694106679126433,0.44694106679126433
breadth_confirmed_momentum,xsmom_asset_class_neutral,0.4424718719798094,0.4424718719798094
breadth_confirmed_momentum,residual_momentum,0.4342033285254408,0.4342033285254408
contained_recovery_quality,value_proxy,-0.433350695412162,0.433350695412162
reversal_1w_global,reversal_4w_global,0.43096204995163917,0.43096204995163917
residual_momentum,trend_clarity_momentum,0.42659940116198336,0.42659940116198336
residual_momentum,xsmom_global,0.4212569485414714,0.4212569485414714
quality_proxy,tsmom_vol_scaled,0.4208097235935833,0.4208097235935833
contained_recovery_quality,moving_average_distance,0.4196030734524158,0.4196030734524158
residual_momentum,tsmom_vol_scaled,0.40542757784762606,0.40542757784762606
reversal_1w_asset_class_neutral,reversal_4w_asset_class_neutral,0.4024615936576103,0.4024615936576103
residual_momentum,xsmom_asset_class_neutral,0.39315683761770903,0.39315683761770903
quality_proxy_asset_class_neutral,value_proxy_asset_class_neutral,-0.3876925738256219,0.3876925738256219
quality_proxy_asset_class_neutral,tsmom_vol_scaled,0.3821024636006916,0.3821024636006916
breadth_confirmed_momentum,value_proxy_asset_class_neutral,-0.3745166881618313,0.3745166881618313
contained_recovery_quality,tsmom_vol_scaled,0.3744219029098453,0.3744219029098453
contained_recovery_quality,reversal_4w_asset_class_neutral,-0.3567873617303634,0.3567873617303634
contained_recovery_quality,value_proxy_asset_class_neutral,-0.3529678112830412,0.3529678112830412
contained_recovery_quality,trend_clarity_momentum,0.3425122962829792,0.3425122962829792
contained_recovery_quality,xsmom_global,0.34161211479342474,0.34161211479342474
reversal_1w_asset_class_neutral,reversal_4w_global,0.32088872470113733,0.32088872470113733
reversal_1w_global,reversal_4w_asset_class_neutral,0.3163091475419975,0.3163091475419975
quality_proxy_asset_class_neutral,value_proxy,-0.31554440183535903,0.31554440183535903
bab_proxy_asset_class_neutral,quality_proxy_asset_class_neutral,0.3146561422874349,0.3146561422874349
quality_proxy,value_proxy_asset_class_neutral,-0.30868393503550634,0.30868393503550634
