signal_name,avg_mean_ic,avg_ic_tstat,avg_ic_tstat_nw,positive_horizon_share,avg_cross_coverage,avg_signed_strategy_mean,avg_signed_strategy_tstat,avg_signed_strategy_tstat_nw,avg_directional_hit_rate,positive_ts_horizon_share,ann_return_10bps,ann_vol_10bps,net_sharpe_10bps,avg_weekly_turnover,avg_abs_redundancy,distinctiveness_score,primary_validation_stat,robust_horizon_share,validation_quality_score,recommendation
multi_mom_equal,0.054993886200574216,4.407870643209823,2.8976792473093367,1.0,33.701958366717314,0.003636598909480241,10.67485336559891,5.329611041564742,0.5575131620262337,1.0,0.019549103164372895,0.07840008954766405,0.2493505208624518,0.11249792528347596,0.33971945175149904,0.660280548248501,2.8976792473093367,1.0,3.67617485227434,strong
xsmom_global,0.053599451853811486,4.275582320751967,2.8323639947805264,1.0,33.701958366717314,,,,,,0.019763250095007616,0.07885723558312595,0.25062063041982413,0.09395675070928722,0.34822713018905216,0.6517728698109478,2.8323639947805264,1.0,3.611221852372247,strong
multi_mom_invvol,0.05102535587283037,4.064470750861567,2.667915049003032,1.0,33.670347168055045,0.0033026548588440466,9.466638902336161,4.752820235142382,0.5569233144664616,1.0,0.014053116950263242,0.07796124670558104,0.18025772475566654,0.12048389746876097,0.333655331893092,0.6663446681069081,2.667915049003032,1.0,3.412581688660716,strong
xsmom_asset_class_neutral,0.018674781764519123,2.1878352127542207,1.506638039203429,1.0,31.80561150812963,,,,,,0.005930058554360185,0.04925683263049548,0.12039057807157531,0.09949416973089288,0.2932277493242613,0.7067722506757387,1.506638039203429,1.0,2.233576973935062,strong
tsmom_vol_scaled,0.01605249528331821,1.4471937337659015,1.0253154524906338,1.0,33.701958366717314,0.0030624490364089345,9.046674120713403,4.579671755348404,0.5554879783002933,1.0,0.007562791227643638,0.06827404873233665,0.11077109631059084,0.09353803657522743,0.32099539644902536,0.6790046035509747,1.0253154524906338,1.0,1.7410983478761501,strong
residual_momentum,0.005795298078754828,0.577933735916899,0.48878885552390106,0.8,33.699484889336325,-0.0008183990747856282,-1.8613496855602936,-1.4789440312381896,0.4972161823830337,0.2,0.00752019693726703,0.05834080135615679,0.12890115943656663,0.10943694768753824,0.17141233420660837,0.8285876657933916,0.48878885552390106,0.8,1.1494426569217784,robust
reversal_4w_global,-9.663473356308835e-05,-0.009206153669303996,0.03232743475524809,0.6,33.75862238795338,,,,,,-0.005980219933664868,0.07901173106235576,-0.07568774729090924,0.3237485471900003,0.14112339967738613,0.8588766003226138,0.03232743475524809,0.6,0.4768278564714469,mixed
reversal_4w_asset_class_neutral,0.001146296522122329,0.1554640699841614,0.09930928289413535,0.8,31.857750710087505,,,,,,-0.019140214662877273,0.04560947712669,-0.419654332140473,0.32582878865044873,0.12410780698476452,0.8758921930152355,0.09930928289413535,0.8,0.47587228621266286,robust
quality_proxy_asset_class_neutral,-0.0006869230104665179,-0.09421871821954772,-0.06928702789042697,0.2,31.80787882863884,,,,,,-0.005019619554547068,0.04139902738352615,-0.12124969768117105,0.039512638651595704,0.22303457855770525,0.7769654214422947,-0.06928702789042697,0.2,0.16037821476440164,mixed
reversal_1w_global,-0.002636334213112792,-0.22823163178502776,-0.24749307599294998,0.2,33.76200007271902,,,,,,-0.03969875161536206,0.07758604380979732,-0.511673874140094,0.656773668716549,0.11915354935717418,0.8808464506428259,-0.24749307599294998,0.2,-0.24879576727394542,mixed
