,bab_proxy,bab_proxy_asset_class_neutral,carry_proxy,carry_proxy_asset_class_neutral,multi_mom_equal,multi_mom_invvol,quality_proxy,quality_proxy_asset_class_neutral,residual_momentum,reversal_1w_asset_class_neutral,reversal_1w_global,reversal_4w_asset_class_neutral,reversal_4w_global,tsmom_vol_scaled,value_proxy,value_proxy_asset_class_neutral,xsmom_asset_class_neutral,xsmom_global
bab_proxy,1.0,0.526409374434566,0.23191046272921137,0.10927863995393468,-0.21220145506383642,-0.195038180471879,0.5091921992268625,0.2226612929529639,0.05269328374428248,0.010958665217285977,0.055600449242853615,0.014157345533938614,0.10685023470609255,-0.005132560466531497,0.16526457823958923,-0.02496734311091123,-0.022842977739518405,-0.2045393696962227
bab_proxy_asset_class_neutral,0.526409374434566,1.0,0.13707030114147975,0.09713366492871998,-0.00826875955710465,0.0059199111756357975,0.24654740968508132,0.3146561422874349,0.07536359700937534,0.019163907530692005,0.01040538168422943,0.031144985810138276,0.01706205127651987,0.02603646693365933,-0.052065823276139525,-0.04237433424674074,-0.020649659125255834,-0.011173847241909618
carry_proxy,0.23191046272921137,0.13707030114147975,1.0,0.8336458321714895,-0.12144088890456153,-0.11308958672617139,0.06524161160639626,-0.1863525452734804,-0.0636771175173095,-0.012350979196776442,0.007424790262402017,0.013357568529615737,0.043128257634879374,0.01404286294507909,0.07817714294278773,0.05165615118025135,-0.07306268624701417,-0.1269604158276268
carry_proxy_asset_class_neutral,0.10927863995393468,0.09713366492871998,0.8336458321714895,1.0,-0.10842406606993545,-0.10898850057438915,-0.0765218553967331,-0.169131348631119,-0.06806999536734344,-0.009108824905851997,0.0032794733090445,0.017917311971136354,0.032023206538569896,-0.07796456378458815,0.1402546342331858,0.09269653415530907,-0.10026943493398363,-0.120657005333962
multi_mom_equal,-0.21220145506383642,-0.00826875955710465,-0.12144088890456153,-0.10842406606993545,1.0,0.9846294969914077,0.12833995431033396,0.21320968759503048,0.47927738522144814,-0.020003241238757425,-0.046889490356785704,-0.018705576040447043,-0.05861619879043615,0.7126502296503241,-0.6554430914408458,-0.48646822882848767,0.6355944742986164,0.885068455417125
multi_mom_invvol,-0.195038180471879,0.0059199111756357975,-0.11308958672617139,-0.10898850057438915,0.9846294969914077,1.0,0.14270271653066222,0.2215143869922512,0.4585798232893484,-0.016793595746229597,-0.042904526542241715,-0.014778062474948834,-0.052233644595992355,0.6926520498762417,-0.6578582082164137,-0.48428414201700076,0.6173822139869798,0.8627915959747695
quality_proxy,0.5091921992268625,0.24654740968508132,0.06524161160639626,-0.0765218553967331,0.12833995431033396,0.14270271653066222,1.0,0.6844872434751931,0.07772926908182923,-0.005822209394571855,0.014570685785289016,-0.030176687210280696,0.012749449982094076,0.4208097235935833,-0.2867901716025885,-0.30868393503550634,0.22096160279211116,0.16008498560749482
quality_proxy_asset_class_neutral,0.2226612929529639,0.3146561422874349,-0.1863525452734804,-0.169131348631119,0.21320968759503048,0.2215143869922512,0.6844872434751931,1.0,0.11632678566909815,0.003258076400366927,-0.008042120989844049,-0.02509778351614827,-0.03264114138492781,0.3821024636006916,-0.31554440183535903,-0.3876925738256219,0.27191111674920326,0.23695872430225506
residual_momentum,0.05269328374428248,0.07536359700937534,-0.0636771175173095,-0.06806999536734344,0.47927738522144814,0.4585798232893484,0.07772926908182923,0.11632678566909815,1.0,-0.007681181152992584,-0.013697462230357775,0.006828475890428154,-0.0011817551497994455,0.40542757784762606,-0.13626431720458881,-0.1367978689773346,0.39315683761770903,0.4212569485414714
reversal_1w_asset_class_neutral,0.010958665217285977,0.019163907530692005,-0.012350979196776442,-0.009108824905851997,-0.020003241238757425,-0.016793595746229597,-0.005822209394571855,0.003258076400366927,-0.007681181152992584,1.0,0.7299514955059995,0.4024615936576103,0.32088872470113733,-0.016939987660805556,0.09847713038694027,0.12408801529411029,-0.03078602924232513,-0.024219404013590587
