Date,Ticker,own_momentum_26_4w_observed,asset_class_breadth_confirmation_observed,breadth_confirmation_multiplier_observed,breadth_confirmed_momentum_observed,breadth_confirmed_momentum_tradable,breadth_confirmed_momentum_score_observed,breadth_confirmed_momentum_score_tradable,asset_class
2005-01-07,TIP,,0.0,1.0,,,,,Bonds
2005-01-07,SPY,,0.0,1.0,,,,,Equities
2005-01-07,XLV,,0.0,1.0,,,,,Equities
2005-01-07,XLU,,0.0,1.0,,,,,Equities
2005-01-07,XLP,,0.0,1.0,,,,,Equities
2005-01-07,XLK,,0.0,1.0,,,,,Equities
2005-01-07,XLI,,0.0,1.0,,,,,Equities
2005-01-07,XLF,,0.0,1.0,,,,,Equities
2005-01-07,XLE,,0.0,1.0,,,,,Equities
2005-01-07,XLB,,0.0,1.0,,,,,Equities
2005-01-07,VUG,,0.0,1.0,,,,,Equities
2005-01-07,VTV,,0.0,1.0,,,,,Equities
2005-01-07,VNQ,,0.0,1.0,,,,,REITs
2005-01-07,TLT,,0.0,1.0,,,,,Bonds
2005-01-07,XLY,,0.0,1.0,,,,,Equities
2005-01-07,IEF,,0.0,1.0,,,,,Bonds
2005-01-07,EEM,,0.0,1.0,,,,,Equities
2005-01-07,QQQ,,0.0,1.0,,,,,Equities
2005-01-07,EFA,,0.0,1.0,,,,,Equities
2005-01-07,EWJ,,0.0,1.0,,,,,Equities
2005-01-07,GLD,,0.0,1.0,,,,,Commodities
2005-01-07,LQD,,0.0,1.0,,,,,Bonds
2005-01-07,SHY,,0.0,1.0,,,,,Bonds
2005-01-07,IWM,,0.0,1.0,,,,,Equities
2005-01-07,IAU,,0.0,1.0,,,,,Commodities
2005-01-07,VWO,,0.0,1.0,,,,,Equities
2005-01-07,USO,,0.0,1.0,,,,,Commodities
2005-01-07,SLV,,0.0,1.0,,,,,Commodities
2005-01-07,DBA,,0.0,1.0,,,,,Commodities
2005-01-07,UUP,,0.0,1.0,,,,,FX
2005-01-07,MBB,,0.0,1.0,,,,,Bonds
2005-01-07,HYG,,0.0,1.0,,,,,Bonds
2005-01-07,BIL,,0.0,1.0,,,,,Bonds
2005-01-07,VEA,,0.0,1.0,,,,,Equities
2005-01-07,PDBC,,0.0,1.0,,,,,Commodities
2005-01-14,TIP,,0.0,1.0,,,,,Bonds
2005-01-14,SPY,,0.0,1.0,,,,,Equities
