candidate,event_window_weeks,event_weight,breadth,rank_buffer,peak_total_stock_weight,sleeve_annual_turnover,selection_events,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates,joint_improvement
pead4__w30__b20__buf5,4,0.3,20,5,0.04191537468092233,6.709769679861219,141,1.058410760272836,2.7348563114694815,-0.08879660071665174,0.4155247536719753,0.9340729533758856,False,True
pead4__w20__b20__buf5,4,0.2,20,5,0.04198822485589182,5.22835637309054,133,1.0530216157315682,2.7229937923084484,-0.08879660071665141,0.4097435811640773,0.9297514355824577,False,True
pead8__w20__b25__buf5,8,0.2,25,5,0.032334571896442954,5.009438222457465,130,1.035470206630388,2.700761875648721,-0.09190387571647507,0.4151154971278719,0.9085442614338388,False,False
pead8__w30__b25__buf0,8,0.3,25,0,0.024984937285072145,7.440573302964817,167,1.024138503437238,2.671483491458998,-0.09834781443676566,0.4227602445422811,0.8956996482547781,False,False
pead8__w20__b25__buf0,8,0.2,25,0,0.02550372985480341,6.419285115714981,155,1.0231025399872755,2.665065624508339,-0.1017048253062598,0.4021475480262804,0.8947762124198839,False,False
pead8__w20__b20__buf5,8,0.2,20,5,0.04271095641266988,5.218479319066383,122,1.003431278277402,2.6276762246702137,-0.09214221243721887,0.40380433477635624,0.8536034884729933,False,False
pead8__w20__b20__buf0,8,0.2,20,0,0.04201772230739418,6.954586730263261,151,0.9973498789595088,2.6216248476069497,-0.09225599920826755,0.4112260462452184,0.8466693472969284,False,False
pead4__w30__b20__buf0,4,0.3,20,0,0.0314392108783216,9.02450835202306,174,0.9688689506746908,2.519153587011648,-0.12714395652942212,0.38626321042101996,0.8495046864272768,False,False
pead4__w20__b20__buf0,4,0.2,20,0,0.040247644558282024,7.310698905666172,162,0.9636451440104639,2.5089353521618496,-0.1270984786800302,0.39987131868312753,0.8459795779040875,False,False
pead4__w30__b25__buf0,4,0.3,25,0,0.03267034746527088,7.80101710226547,170,0.9633580659415337,2.515338853359154,-0.12610274011321054,0.38876164095840493,0.8452459264800665,False,False
pead8__w30__b25__buf5,8,0.3,25,5,0.029650723788052565,5.91138872545609,143,0.9626245973690872,2.515813227729895,-0.12441161089179109,0.4187688004989789,0.8451175591644651,False,False
pead4__w20__b25__buf0,4,0.2,25,0,0.02520546242686601,6.518089036571492,166,0.9623491778424884,2.512278113931381,-0.12610274011321043,0.39901444720594936,0.8437857247437273,False,False
pead4__w30__b25__buf5,4,0.3,25,5,0.03267034746527088,6.179593111309896,145,0.9542494579717722,2.503242441852992,-0.12539480836511807,0.39470255449945935,0.8372004273041347,False,False
pead4__w20__b25__buf5,4,0.2,25,5,0.03263403177704569,5.077804022233103,133,0.9542435188426008,2.502730687866199,-0.12507384620164264,0.3859089714316448,0.83722859864452,False,False
pead8__w30__b20__buf5,8,0.3,20,5,0.04254798365084256,6.411076178689401,137,0.932657746796761,2.500464279199152,-0.09259775016449445,0.386452069953821,0.7570646655341071,False,False
pead8__w30__b20__buf0,8,0.3,20,0,0.03221020061473725,8.426545487840638,164,0.9318494707663438,2.498100777732482,-0.09623095986910057,0.40076579567391124,0.7559810752924017,False,False
