candidate,event_window_weeks,event_weight,breadth,rank_buffer,peak_total_stock_weight,sleeve_annual_turnover,selection_events,recent_cagr,recent_sharpe,recent_drawdown,full_cagr,severe_recent_cagr,surface_gates
pead4__w30__b20__buf5,4,0.3,20,5,0.04191537468092233,6.709769679861219,141,1.058410760272836,2.7348563114694815,-0.08879660071665174,0.4155247536719753,0.9340729533758856,False
pead4__w20__b20__buf5,4,0.2,20,5,0.04198822485589182,5.22835637309054,133,1.0530216157315682,2.7229937923084484,-0.08879660071665141,0.4097435811640773,0.9297514355824577,False
pead13__w10__b20__buf0,13,0.1,20,0,0.04021125308147854,4.546476501620733,115,1.0525646069504213,2.7292486101077533,-0.08830389194663679,0.42263279619509175,0.930715253235475,False
pead8__w10__b25__buf5,8,0.1,25,5,0.03272228994420297,3.0545790826063004,94,1.04447187190096,2.7059102523788585,-0.09304865618631208,0.4142995419461286,0.922945829225994,False
pead13__w20__b20__buf5,13,0.2,20,5,0.04024640706354485,4.304671746263229,98,1.0404773516796628,2.7181685489634497,-0.08815840383508311,0.40812818884412727,0.917361374976259,False
pead8__w20__b25__buf5,8,0.2,25,5,0.032334571896442954,5.009438222457465,130,1.035470206630388,2.700761875648721,-0.09190387571647507,0.4151154971278719,0.9085442614338388,False
pead13__w30__b25__buf5,13,0.3,25,5,0.029677628610711226,4.508450992328922,113,1.0338974109274282,2.6983698657468764,-0.0928521457415884,0.40828625707099,0.9109672493481116,False
pead13__w10__b25__buf0,13,0.1,25,0,0.03258704292093319,4.12406939255179,116,1.031317499101775,2.6851015226715242,-0.09575392330309362,0.4203266924882041,0.9113195606900542,False
pead13__w10__b30__buf0,13,0.1,30,0,0.027325586002464982,3.7111161597013593,121,1.0301072231410302,2.6806807651549533,-0.09512361723271134,0.41666251153392686,0.9090728597561624,False
pead13__w30__b20__buf0,13,0.3,20,0,0.03970290288985703,6.3953171746793185,141,1.0284663659230326,2.6957890199724304,-0.09239413767257709,0.42532947304007385,0.9037649409837698,False
pead13__w30__b30__buf5,13,0.3,30,5,0.025238082855458338,4.363858322082825,119,1.0279548902915114,2.6818712121655923,-0.09529050540293793,0.3908786985417265,0.9084008213643373,False
pead13__w30__b20__buf5,13,0.3,20,5,0.03975248755766436,4.758376433684491,103,1.0253022639066565,2.6899504109687173,-0.09233258085274743,0.4132646067335801,0.9033123942894985,False
pead8__w10__b30__buf5,8,0.1,30,5,0.02413607447619084,2.8756585439950073,94,1.0247224675339641,2.675227568927685,-0.09599004752964835,0.4219117048293366,0.9038677480302588,False
pead8__w30__b25__buf0,8,0.3,25,0,0.024984937285072145,7.440573302964817,167,1.024138503437238,2.671483491458998,-0.09834781443676566,0.4227602445422811,0.8956996482547781,False
pead8__w20__b25__buf0,8,0.2,25,0,0.02550372985480341,6.419285115714981,155,1.0231025399872755,2.665065624508339,-0.1017048253062598,0.4021475480262804,0.8947762124198839,False
pead8__w20__b30__buf5,8,0.2,30,5,0.022604438228822358,4.426167258180734,128,1.0222387383982934,2.675029744628499,-0.09500124448835734,0.41055235523543065,0.8989772734294137,False
pead13__w20__b25__buf0,13,0.2,25,0,0.032344792164945575,5.267331288598196,134,1.0129804067814394,2.6643604886875663,-0.09656025835784854,0.4020651178189405,0.8914039169204873,False
