symbol,instrument_type,cik10,sector,source
AAOI,equity,0001158114,technology,sec_broad_research_panel_v2
AAPL,equity,0000320193,technology,sec_broad_research_panel_v2
ACIW,equity,0000935036,technology,sec_broad_research_panel_v2
ACU,equity,0000002098,manufacturing,sec_broad_research_panel_v2
AD,equity,0000821130,transport_communications_utilities,sec_broad_research_panel_v2
ADEA,equity,0001803696,technology,sec_broad_research_panel_v2
ADTN,equity,0000926282,technology,sec_broad_research_panel_v2
AEIS,equity,0000927003,technology,sec_broad_research_panel_v2
AGX,equity,0000100591,construction,sec_broad_research_panel_v2
ALNT,equity,0000046129,technology,sec_broad_research_panel_v2
ALTR,equity,,unclassified,unresolved_identity
AMAT,equity,0000006951,technology,sec_broad_research_panel_v2
AMBA,equity,0001280263,technology,sec_broad_research_panel_v2
AMD,equity,0000002488,technology,sec_broad_research_panel_v2
AMSC,equity,0000880807,manufacturing,sec_broad_research_panel_v2
AMTX,equity,0000738214,manufacturing,sec_broad_research_panel_v2
ANF,equity,0001018840,retail_trade,sec_broad_research_panel_v2
APEI,equity,0001201792,services,sec_broad_research_panel_v2
APLD,equity,0001144879,technology,sec_broad_research_panel_v2
APP,equity,0001751008,technology,sec_broad_research_panel_v2
APPS,equity,0000317788,finance_insurance_real_estate,sec_broad_research_panel_v2
ARWR,equity,0000879407,manufacturing,sec_broad_research_panel_v2
ASPN,equity,0001145986,wholesale_trade,sec_broad_research_panel_v2
ATRO,equity,0000008063,manufacturing,sec_broad_research_panel_v2
AVDL,equity,,unclassified,unresolved_identity
AXGN,equity,0000805928,manufacturing,sec_broad_research_panel_v2
AXON,equity,0001069183,manufacturing,sec_broad_research_panel_v2
AXTI,equity,0001051627,technology,sec_broad_research_panel_v2
AZPN,equity,,unclassified,unresolved_identity
BB,equity,0001070235,technology,sec_broad_research_panel_v2
BELFA,equity,0000729580,technology,sec_broad_research_panel_v2
BIL,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
BKV,equity,0001838406,energy,sec_broad_research_panel_v2
BLND,equity,0001855747,technology,sec_broad_research_panel_v2
BSM,equity,0001621434,energy,sec_broad_research_panel_v2
BSY,equity,0001031308,technology,sec_broad_research_panel_v2
BVH,equity,,unclassified,unresolved_identity
CCB,equity,0001437958,finance_insurance_real_estate,sec_broad_research_panel_v2
CCL,equity,0000815097,transport_communications_utilities,sec_broad_research_panel_v2
CDE,equity,0000215466,materials_and_mining,sec_broad_research_panel_v2
CEVA,equity,0001173489,technology,sec_broad_research_panel_v2
CIEN,equity,0000936395,technology,sec_broad_research_panel_v2
CLMB,equity,0000945983,technology,sec_broad_research_panel_v2
CLS,equity,0001030894,technology,sec_broad_research_panel_v2
CLSK,equity,0000827876,technology,sec_broad_research_panel_v2
CMTL,equity,0000023197,technology,sec_broad_research_panel_v2
CNX,equity,0001070412,energy,sec_broad_research_panel_v2
COHR,equity,0000820318,technology,sec_broad_research_panel_v2
COOP,equity,,unclassified,unresolved_identity
CORT,equity,0001088856,manufacturing,sec_broad_research_panel_v2
CPS,equity,0001320461,manufacturing,sec_broad_research_panel_v2
CRC,equity,0001609253,energy,sec_broad_research_panel_v2
CRDO,equity,0001807794,technology,sec_broad_research_panel_v2
CRK,equity,0000023194,energy,sec_broad_research_panel_v2
CRM,equity,0001108524,technology,sec_broad_research_panel_v2
CRS,equity,0000017843,manufacturing,sec_broad_research_panel_v2
CTLP,equity,,unclassified,unresolved_identity
CTRA,equity,,unclassified,unresolved_identity
CVSA,equity,0000730464,services,sec_broad_research_panel_v2
CVT,equity,,unclassified,unresolved_identity
CXT,equity,0000025445,manufacturing,sec_broad_research_panel_v2
CYTK,equity,0001061983,manufacturing,sec_broad_research_panel_v2
DAKT,equity,0000915779,manufacturing,sec_broad_research_panel_v2
DAN,equity,0000026780,manufacturing,sec_broad_research_panel_v2
DBA,equity,0001383082,finance_insurance_real_estate,sec_broad_research_panel_v2
DDOG,equity,0001561550,technology,sec_broad_research_panel_v2
DH,equity,0001861795,technology,sec_broad_research_panel_v2
DOCS,equity,0001516513,technology,sec_broad_research_panel_v2
DUOL,equity,0001562088,technology,sec_broad_research_panel_v2
EAT,equity,0000703351,retail_trade,sec_broad_research_panel_v2
EB,equity,,unclassified,unresolved_identity
EFA,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
EME,equity,0000105634,construction,sec_broad_research_panel_v2
ENPH,equity,0001463101,technology,sec_broad_research_panel_v2
EPM,equity,0001006655,energy,sec_broad_research_panel_v2
EQT,equity,0000033213,energy,sec_broad_research_panel_v2
ESCA,equity,0000033488,manufacturing,sec_broad_research_panel_v2
ESMT,equity,,unclassified,unresolved_identity
EVER,equity,0001640428,technology,sec_broad_research_panel_v2
EWJ,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
FARO,equity,,unclassified,unresolved_identity
FCNCA,equity,0000798941,finance_insurance_real_estate,sec_broad_research_panel_v2
FLXS,equity,0000037472,manufacturing,sec_broad_research_panel_v2
FMCC,equity,0001026214,finance_insurance_real_estate,sec_broad_research_panel_v2
FNMA,equity,0000310522,finance_insurance_real_estate,sec_broad_research_panel_v2
FORM,equity,0001039399,technology,sec_broad_research_panel_v2
FOSL,equity,0000883569,manufacturing,sec_broad_research_panel_v2
GAP,equity,0000039911,retail_trade,sec_broad_research_panel_v2
GDYN,equity,0001743725,technology,sec_broad_research_panel_v2
GE,equity,0000040545,manufacturing,sec_broad_research_panel_v2
GEO,equity,0000923796,construction,sec_broad_research_panel_v2
GFF,equity,0000050725,manufacturing,sec_broad_research_panel_v2
GHM,equity,0000716314,manufacturing,sec_broad_research_panel_v2
GLD,exchange_traded_product,,look_through_required,explicit_exchange_traded_list
GLW,equity,0000024741,manufacturing,sec_broad_research_panel_v2
GORO,equity,0001160791,materials_and_mining,sec_broad_research_panel_v2
GPOR,equity,0000874499,energy,sec_broad_research_panel_v2
GTE,equity,0001273441,energy,sec_broad_research_panel_v2
GTLB,equity,0001653482,technology,sec_broad_research_panel_v2
HAL,equity,0000045012,energy,sec_broad_research_panel_v2
HES,equity,,unclassified,unresolved_identity
HIBB,equity,,unclassified,unresolved_identity
HL,equity,0000719413,materials_and_mining,sec_broad_research_panel_v2
HLIT,equity,0000851310,technology,sec_broad_research_panel_v2
HNRG,equity,0000788965,energy,sec_broad_research_panel_v2
