Date,history_weeks_available,ready_for_13w_lookback,ready_for_26w_lookback,ready_for_52w_lookback,ready_for_104w_lookback
2005-01-07,0,False,False,False,False
2005-01-14,1,False,False,False,False
2005-01-21,2,False,False,False,False
2005-01-28,3,False,False,False,False
2005-02-04,4,False,False,False,False
2005-02-11,5,False,False,False,False
2005-02-18,6,False,False,False,False
2005-02-25,7,False,False,False,False
2005-03-04,8,False,False,False,False
2005-03-11,9,False,False,False,False
2005-03-18,10,False,False,False,False
2005-03-25,11,False,False,False,False
2005-04-01,12,False,False,False,False
2005-04-08,13,True,False,False,False
2005-04-15,14,True,False,False,False
2005-04-22,15,True,False,False,False
2005-04-29,16,True,False,False,False
2005-05-06,17,True,False,False,False
2005-05-13,18,True,False,False,False
2005-05-20,19,True,False,False,False
2005-05-27,20,True,False,False,False
2005-06-03,21,True,False,False,False
2005-06-10,22,True,False,False,False
2005-06-17,23,True,False,False,False
2005-06-24,24,True,False,False,False
2005-07-01,25,True,False,False,False
2005-07-08,26,True,True,False,False
2005-07-15,27,True,True,False,False
2005-07-22,28,True,True,False,False
2005-07-29,29,True,True,False,False
2005-08-05,30,True,True,False,False
2005-08-12,31,True,True,False,False
2005-08-19,32,True,True,False,False
2005-08-26,33,True,True,False,False
2005-09-02,34,True,True,False,False
2005-09-09,35,True,True,False,False
2005-09-16,36,True,True,False,False
2005-09-23,37,True,True,False,False
2005-09-30,38,True,True,False,False
2005-10-07,39,True,True,False,False
2005-10-14,40,True,True,False,False
2005-10-21,41,True,True,False,False
2005-10-28,42,True,True,False,False
2005-11-04,43,True,True,False,False
2005-11-11,44,True,True,False,False
2005-11-18,45,True,True,False,False
2005-11-25,46,True,True,False,False
2005-12-02,47,True,True,False,False
2005-12-09,48,True,True,False,False
2005-12-16,49,True,True,False,False
2005-12-23,50,True,True,False,False
2005-12-30,51,True,True,False,False
2006-01-06,52,True,True,True,False
2006-01-13,53,True,True,True,False
2006-01-20,54,True,True,True,False
2006-01-27,55,True,True,True,False
2006-02-03,56,True,True,True,False
2006-02-10,57,True,True,True,False
2006-02-17,58,True,True,True,False
2006-02-24,59,True,True,True,False
2006-03-03,60,True,True,True,False
2006-03-10,61,True,True,True,False
2006-03-17,62,True,True,True,False
2006-03-24,63,True,True,True,False
2006-03-31,64,True,True,True,False
2006-04-07,65,True,True,True,False
2006-04-14,66,True,True,True,False
2006-04-21,67,True,True,True,False
2006-04-28,68,True,True,True,False
2006-05-05,69,True,True,True,False
2006-05-12,70,True,True,True,False
2006-05-19,71,True,True,True,False
2006-05-26,72,True,True,True,False
2006-06-02,73,True,True,True,False
2006-06-09,74,True,True,True,False
2006-06-16,75,True,True,True,False
2006-06-23,76,True,True,True,False
2006-06-30,77,True,True,True,False
2006-07-07,78,True,True,True,False
2006-07-14,79,True,True,True,False
2006-07-21,80,True,True,True,False
2006-07-28,81,True,True,True,False
2006-08-04,82,True,True,True,False
2006-08-11,83,True,True,True,False
2006-08-18,84,True,True,True,False
2006-08-25,85,True,True,True,False
2006-09-01,86,True,True,True,False
2006-09-08,87,True,True,True,False
2006-09-15,88,True,True,True,False
2006-09-22,89,True,True,True,False
2006-09-29,90,True,True,True,False
