annual_return,annual_volatility,sharpe,max_drawdown,calmar,cvar_5,average_turnover,annual_cost_drag,average_bil_exposure,average_risky_exposure,average_number_of_etfs_held,average_top3_weight,top_quintile_hit_rate,active_weeks,strategy_name,model_name,loss_kind,seed,allocation_method,wrapper,split,cost_bps,rank_ic,comparison_label,category
0.01975084899472379,0.005322882346734461,3.7105552420937418,-0.019173183252671033,1.0301288385157579,-0.0011535693339650938,0.11569160652675305,0.006015963539391159,0.591543608184058,0.40845639181594195,14.397590361445783,0.8963092843385855,0.13333333333333333,332.0,decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,decision_risk_aware_mlp_seed0,decision_risk_aware,0.0,top15_inverse_vol,bil_fallback_original,holdout,10.0,-0.0995283943546304,decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,decision_focused
0.017347302027020728,0.004850135462547306,3.5766634068216048,-0.023323856243223973,0.7437578866085,-0.001164124169742514,0.16030143153516213,0.00833567443982843,0.6242474832600423,0.37575251673995763,9.74698795180723,0.9279603807066256,0.12957317073170732,332.0,decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,decision_risk_aware_mlp_seed0,decision_risk_aware,0.0,top10_inverse_vol,bil_fallback_original,holdout,10.0,-0.0995283943546304,decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,decision_focused
0.01646977835857788,0.006115969493049542,2.6929137526429563,-0.02350927168875705,0.7005652313106024,-0.0015792686610042054,0.16027514480043117,0.008334307529622421,0.5768680907844903,0.42313190921550964,14.608433734939759,0.8769286846320555,0.13373983739837397,332.0,decision_risk_aware_mlp_seed1__top15_inverse_vol__bil_fallback_original,decision_risk_aware_mlp_seed1,decision_risk_aware,1.0,top15_inverse_vol,bil_fallback_original,holdout,10.0,-0.07846361332122236,decision_risk_aware_mlp_seed1__top15_inverse_vol__bil_fallback_original,decision_focused
0.015568028964823899,0.007164518418246433,2.1729344606297047,-0.03357076140132442,0.4637377382870355,-0.0018839861036229718,0.15336754105406622,0.007975112134811444,0.5040526723630384,0.49594732763696153,9.97289156626506,0.9071443607585681,0.12957317073170732,332.0,decision_risk_aware_mlp_seed0__top10_inverse_vol__raw_ml,decision_risk_aware_mlp_seed0,decision_risk_aware,0.0,top10_inverse_vol,raw_ml,holdout,10.0,-0.0995283943546304,decision_risk_aware_mlp_seed0__top10_inverse_vol__raw_ml,decision_focused
0.015568028964823899,0.007164518418246433,2.1729344606297047,-0.03357076140132442,0.4637377382870355,-0.0018839861036229718,0.15336754105406622,0.007975112134811444,0.5040526723630384,0.49594732763696153,9.97289156626506,0.9071443607585681,0.12957317073170732,332.0,decision_risk_aware_mlp_seed0__top10_inverse_vol__vol_target_10pct,decision_risk_aware_mlp_seed0,decision_risk_aware,0.0,top10_inverse_vol,vol_target_10pct,holdout,10.0,-0.0995283943546304,decision_risk_aware_mlp_seed0__top10_inverse_vol__vol_target_10pct,decision_focused
0.012953805473223223,0.006208900070331159,2.0863285487750356,-0.03126139288495855,0.4143707070536822,-0.0016560199343327487,0.23008686137624673,0.01196451679156483,0.5370202059740818,0.4629797940259182,10.039156626506024,0.9055227676798274,0.12804878048780488,332.0,decision_risk_aware_mlp_seed1__top10_inverse_vol__bil_fallback_original,decision_risk_aware_mlp_seed1,decision_risk_aware,1.0,top10_inverse_vol,bil_fallback_original,holdout,10.0,-0.07846361332122236,decision_risk_aware_mlp_seed1__top10_inverse_vol__bil_fallback_original,decision_focused
0.018139124632594594,0.009147469307668785,1.9829664383118129,-0.03541488439231533,0.512189293960553,-0.0023114650415772217,0.08695929534840449,0.004521883358117034,0.4648074179268872,0.5351925820731128,14.957831325301205,0.8640821725236163,0.13333333333333333,332.0,decision_risk_aware_mlp_seed0__top15_inverse_vol__raw_ml,decision_risk_aware_mlp_seed0,decision_risk_aware,0.0,top15_inverse_vol,raw_ml,holdout,10.0,-0.0995283943546304,decision_risk_aware_mlp_seed0__top15_inverse_vol__raw_ml,decision_focused
0.018139124632594594,0.009147469307668785,1.9829664383118129,-0.03541488439231533,0.512189293960553,-0.0023114650415772217,0.08695929534840449,0.004521883358117034,0.4648074179268872,0.5351925820731128,14.957831325301205,0.8640821725236163,0.13333333333333333,332.0,decision_risk_aware_mlp_seed0__top15_inverse_vol__vol_target_10pct,decision_risk_aware_mlp_seed0,decision_risk_aware,0.0,top15_inverse_vol,vol_target_10pct,holdout,10.0,-0.0995283943546304,decision_risk_aware_mlp_seed0__top15_inverse_vol__vol_target_10pct,decision_focused
0.013521020718323395,0.009564646879920157,1.4136455729180317,-0.038980420495333346,0.34686697953764,-0.0028641038931936226,0.15955839960551,0.00829703677948652,0.4388140659466814,0.5611859340533186,14.936746987951807,0.8435157656194376,0.13373983739837397,332.0,decision_risk_aware_mlp_seed1__top15_inverse_vol__raw_ml,decision_risk_aware_mlp_seed1,decision_risk_aware,1.0,top15_inverse_vol,raw_ml,holdout,10.0,-0.07846361332122236,decision_risk_aware_mlp_seed1__top15_inverse_vol__raw_ml,decision_focused
0.013521020718323395,0.009564646879920157,1.4136455729180317,-0.038980420495333346,0.34686697953764,-0.0028641038931936226,0.15955839960551,0.00829703677948652,0.4388140659466814,0.5611859340533186,14.936746987951807,0.8435157656194376,0.13373983739837397,332.0,decision_risk_aware_mlp_seed1__top15_inverse_vol__vol_target_10pct,decision_risk_aware_mlp_seed1,decision_risk_aware,1.0,top15_inverse_vol,vol_target_10pct,holdout,10.0,-0.07846361332122236,decision_risk_aware_mlp_seed1__top15_inverse_vol__vol_target_10pct,decision_focused
