annual_return,annual_volatility,sharpe,max_drawdown,calmar,cvar_5,average_turnover,annual_cost_drag,average_bil_exposure,average_risky_exposure,average_number_of_etfs_held,average_top3_weight,top_quintile_hit_rate,active_weeks,strategy_name,market_state,weeks
0.02132450297470445,0.00556042589683306,3.835048496348062,-0.0064439481925443465,3.3092294254284846,-0.0011583820832035004,0.16162245589488627,0.008404367706534088,0.5008583105129196,0.4991416894870803,10.0,0.8936230380162393,0.12871287128712872,101,decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,calm_trend,101
0.01904397465421015,0.005027895458907767,3.787663210154962,-0.010758354569544881,1.770156814511439,-0.0010553617077699365,0.19268057611479877,0.010019389957969537,0.6258822922810293,0.37411770771897085,10.03305785123967,0.9297218086895394,0.10661157024793388,121,decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,neutral_mixed,121
0.009885833776458686,0.004245427641832116,2.3285837400805285,-0.002253556390437561,4.386770092999185,-0.0008043713227380239,0.22879154777232935,0.01189716048416113,0.43551102275890863,0.5644889772410914,10.0,0.8986735213226955,0.08571428571428573,21,decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,recovery_confirmed,21
0.023356394303328587,0.0037206057703966008,6.277578368868383,-0.00016507700718382257,141.48787103536426,-0.000401118092797017,0.2072169375571067,0.010775280752969546,0.4498751489558047,0.5501248510441953,10.0,0.9284384941028255,0.13571428571428573,14,decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,recovery_fragile,14
0.0102388991270983,0.003444072579680223,2.9729045745165354,-0.0012707420263825542,8.057417567470852,-0.0010054831091852183,0.06908911439551885,0.0035926339485669815,0.8834964178099839,0.11650358219001632,8.887323943661972,0.9797161421300125,0.1816901408450704,71,decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,stressed_panic,71
0.010822314550454237,0.004359146988529325,2.4826679574999684,-0.0008111897757435704,13.341285694255763,-0.0008111897757434901,0.24271769082485406,0.01262131992289241,0.6898721216743615,0.3101278783256384,7.75,0.9751129367695531,,4,decision_risk_aware_mlp_seed0__top10_inverse_vol__bil_fallback_original,unknown,4
0.02421846193077326,0.005890360268062163,4.111541710290118,-0.006250267560957257,3.874788030204597,-0.0011286837500275137,0.1234861749108529,0.006421281095364353,0.4441825704195636,0.5558174295804365,15.0,0.854748525254801,0.1452145214521452,101,decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,calm_trend,101
0.0237563253396309,0.005197709385174219,4.570537438547967,-0.007239112318126351,3.2816627641135407,-0.0008735448918492188,0.11406725380634877,0.0059314971979301375,0.5928822720669705,0.40711772793302947,14.933884297520661,0.8950689956192776,0.10853994490358126,121,decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,neutral_mixed,121
0.01438540177988501,0.004762183710807276,3.020757420012767,-0.002024362929950674,7.106137722169971,-0.0005299966774095879,0.1763467746579438,0.009170032282213077,0.4152508109918552,0.5847491890081449,15.0,0.8583995382948063,0.0984126984126984,21,decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,recovery_confirmed,21
0.01908936269343009,0.005431094438366182,3.5148279798965674,-0.0009516725040769058,20.058751946339154,-0.0009516725040769374,0.20963885281327724,0.010901220346290418,0.4239738099638316,0.5760261900361685,15.0,0.8776885565882704,0.11904761904761905,14,decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,recovery_fragile,14
0.008909192763123963,0.004468937131236797,1.9935820311390926,-0.0015538922304555447,5.733468890897351,-0.0013559316714609976,0.06391686304518025,0.0033236768783493726,0.8795492951232464,0.12045070487675359,12.492957746478874,0.9696376340568982,0.17183098591549295,71,decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,stressed_panic,71
0.010334043531280868,0.004442482661023565,2.3261865762465046,-0.0008551946537094235,12.08384954987353,-0.0008551946537095151,0.23976212672679292,0.012467630589793232,0.6718457651387026,0.32815423486129736,11.5,0.9458576913190908,,4,decision_risk_aware_mlp_seed0__top15_inverse_vol__bil_fallback_original,unknown,4
