decision_time,cik10,ticker,net_income,net_income__period_end,net_income__available_at,operating_cash_flow,operating_cash_flow__period_end,operating_cash_flow__available_at,net_income__prior_year,net_income__yoy_growth,operating_cash_flow__prior_year,operating_cash_flow__yoy_growth,revenue,revenue__period_end,revenue__available_at,net_margin,operating_cash_flow_margin,revenue__prior_year,revenue__yoy_growth
2012-04-01 00:00:00+00:00,0000002488,0000002488,-177000000.0,2011-12-31,2012-02-25 00:00:00+00:00,-168000000.0,2011-04-02,2011-05-10 23:59:59+00:00,,,,,,,,,,,
2012-07-01 00:00:00+00:00,0000002488,0000002488,-590000000.0,2012-03-31,2012-05-10 00:00:00+00:00,107000000.0,2012-03-31,2012-05-10 00:00:00+00:00,510000000.0,-2.1568627450980395,-168000000.0,-1.6369047619047619,,,,,,,
2012-10-01 00:00:00+00:00,0000002488,0000002488,37000000.0,2012-06-30,2012-08-03 00:00:00+00:00,107000000.0,2012-03-31,2012-05-10 00:00:00+00:00,61000000.0,-0.39344262295081966,-168000000.0,-1.6369047619047619,,,,,,,
2013-01-01 00:00:00+00:00,0000002488,0000002488,-157000000.0,2012-09-29,2012-11-02 00:00:00+00:00,107000000.0,2012-03-31,2012-05-10 00:00:00+00:00,97000000.0,-2.618556701030928,-168000000.0,-1.6369047619047619,,,,,,,
2013-04-01 00:00:00+00:00,0000002488,0000002488,-473000000.0,2012-12-29,2013-02-22 00:00:00+00:00,107000000.0,2012-03-31,2012-05-10 00:00:00+00:00,-177000000.0,1.672316384180791,-168000000.0,-1.6369047619047619,,,,,,,
2013-07-01 00:00:00+00:00,0000002488,0000002488,-146000000.0,2013-03-30,2013-05-07 00:00:00+00:00,-155000000.0,2013-03-30,2013-05-07 00:00:00+00:00,-590000000.0,-0.752542372881356,107000000.0,-2.4485981308411215,1088000000.0,2013-03-30,2013-05-07 00:00:00+00:00,-0.13419117647058823,-0.14246323529411764,,
2013-10-01 00:00:00+00:00,0000002488,0000002488,-74000000.0,2013-06-29,2013-08-02 00:00:00+00:00,-155000000.0,2013-03-30,2013-05-07 00:00:00+00:00,37000000.0,-3.0,107000000.0,-2.4485981308411215,1161000000.0,2013-06-29,2013-08-02 00:00:00+00:00,-0.06373815676141258,-0.1335055986218777,,
2014-01-01 00:00:00+00:00,0000002488,0000002488,48000000.0,2013-09-28,2013-10-31 00:00:00+00:00,-155000000.0,2013-03-30,2013-05-07 00:00:00+00:00,-157000000.0,-1.305732484076433,107000000.0,-2.4485981308411215,1461000000.0,2013-09-28,2013-10-31 00:00:00+00:00,0.03285420944558522,-0.10609171800136892,,
2014-04-01 00:00:00+00:00,0000002488,0000002488,89000000.0,2013-12-28,2014-02-19 00:00:00+00:00,-155000000.0,2013-03-30,2013-05-07 00:00:00+00:00,-473000000.0,-1.1881606765327695,107000000.0,-2.4485981308411215,1461000000.0,2013-09-28,2013-10-31 00:00:00+00:00,0.06091718001368925,-0.10609171800136892,,
2014-07-01 00:00:00+00:00,0000002488,0000002488,-20000000.0,2014-03-29,2014-05-02 00:00:00+00:00,-204000000.0,2014-03-29,2014-05-02 00:00:00+00:00,-146000000.0,-0.863013698630137,-155000000.0,0.31612903225806455,1397000000.0,2014-03-29,2014-05-02 00:00:00+00:00,-0.014316392269148175,-0.14602720114531137,1088000000.0,0.2840073529411764
