decision_at,cik10,company_name,sector,score,available_features,intended_weight
2012-04-01 00:00:00+00:00,0000893538,SM ENERGY CO,energy,1.0,2,0.2
2012-04-01 00:00:00+00:00,0001124804,"ALLSCRIPTS HEALTHCARE SOLUTIONS, INC.",technology,0.9875,2,0.2
2012-04-01 00:00:00+00:00,0000320193,APPLE INC,technology,0.8462717359269082,3,0.2
2012-04-01 00:00:00+00:00,0000804328,QUALCOMM INC/DE,technology,0.8377394636015326,3,0.2
2012-04-01 00:00:00+00:00,0000889900,PATTERSON UTI ENERGY INC,energy,0.7607392607392608,3,0.2
2012-07-01 00:00:00+00:00,0001415404,ECHOSTAR CORP,technology,0.9616981132075472,2,0.2
2012-07-01 00:00:00+00:00,0000804328,QUALCOMM INC/DE,technology,0.9026415094339623,3,0.2
2012-07-01 00:00:00+00:00,0000023194,COMSTOCK RESOURCES INC,energy,0.8926031294452348,2,0.2
2012-07-01 00:00:00+00:00,0000712515,ELECTRONIC ARTS INC.,technology,0.8533962264150944,2,0.2
2012-07-01 00:00:00+00:00,0000320193,APPLE INC,technology,0.8254877296830682,3,0.2
2012-10-01 00:00:00+00:00,0000007039,ARABIAN AMERICAN DEVELOPMENT CO,energy,0.9130434782608695,2,0.2
2012-10-01 00:00:00+00:00,0001104485,"NORTHERN OIL & GAS, INC.",energy,0.8909090909090909,2,0.2
2012-10-01 00:00:00+00:00,0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,technology,0.8714543114543114,2,0.2
2012-10-01 00:00:00+00:00,0001415404,ECHOSTAR CORP,technology,0.8616666666666667,2,0.2
2012-10-01 00:00:00+00:00,0000730255,CALAMP CORP.,technology,0.854047619047619,2,0.2
2013-01-01 00:00:00+00:00,0001137789,SEAGATE TECHNOLOGY PLC,technology,0.932620789427611,3,0.2
2013-01-01 00:00:00+00:00,0001007587,KVH INDUSTRIES INC \DE\,technology,0.926067496487961,2,0.2
2013-01-01 00:00:00+00:00,0001120914,PDF SOLUTIONS INC,technology,0.9189127380835701,2,0.2
2013-01-01 00:00:00+00:00,0000730255,CALAMP CORP.,technology,0.9029370446600673,2,0.2
2013-01-01 00:00:00+00:00,0000910638,3D SYSTEMS CORP,technology,0.8816361200953968,2,0.2
2013-04-01 00:00:00+00:00,0001007587,KVH INDUSTRIES INC \DE\,technology,0.8868464052287581,2,0.2
2013-04-01 00:00:00+00:00,0000946581,TAKE TWO INTERACTIVE SOFTWARE INC,technology,0.8361727204543019,2,0.2
2013-04-01 00:00:00+00:00,0000023194,COMSTOCK RESOURCES INC,energy,0.8355855855855856,2,0.2
2013-04-01 00:00:00+00:00,0000106040,WESTERN DIGITAL CORP,technology,0.8249758919961427,2,0.2
2013-04-01 00:00:00+00:00,0000730255,CALAMP CORP.,technology,0.8194444444444444,2,0.2
2013-07-01 00:00:00+00:00,0001486159,OASIS PETROLEUM INC.,energy,0.8925925925925926,2,0.2
2013-07-01 00:00:00+00:00,0001068875,"BLUCORA, INC.",technology,0.8620849420849421,2,0.2
2013-07-01 00:00:00+00:00,0001005284,UNIVERSAL DISPLAY CORP PA,technology,0.8374259974259974,3,0.2
2013-07-01 00:00:00+00:00,0000895419,CREE INC,technology,0.8211583011583012,2,0.2
2013-07-01 00:00:00+00:00,0001108524,SALESFORCE COM INC,technology,0.7387902187902187,3,0.2
2013-10-01 00:00:00+00:00,0001005284,UNIVERSAL DISPLAY CORP \PA\,technology,0.9717514124293786,2,0.2
2013-10-01 00:00:00+00:00,0001509991,KOSMOS ENERGY LTD.,energy,0.9091525423728813,2,0.2
2013-10-01 00:00:00+00:00,0000893538,SM ENERGY CO,energy,0.8754930178019401,3,0.2
2013-10-01 00:00:00+00:00,0000077159,PENN VIRGINIA CORP,energy,0.8696855345911949,3,0.2
2013-10-01 00:00:00+00:00,0000065270,METHODE ELECTRONICS INC,technology,0.81365063319791,3,0.2
2014-01-01 00:00:00+00:00,0001511737,"UBIQUITI NETWORKS, INC.",technology,0.8736698698900054,3,0.2
2014-01-01 00:00:00+00:00,0001327567,PALO ALTO NETWORKS INC,technology,0.8600109110747409,2,0.2
2014-01-01 00:00:00+00:00,0001486159,OASIS PETROLEUM INC.,energy,0.8433962264150944,2,0.2
2014-01-01 00:00:00+00:00,0001068875,"BLUCORA, INC.",technology,0.8379705400981997,2,0.2
2014-01-01 00:00:00+00:00,0000077159,PENN VIRGINIA CORP,energy,0.8043863892920496,3,0.2
2014-04-01 00:00:00+00:00,0001005284,UNIVERSAL DISPLAY CORP PA,technology,0.95757109183638,3,0.2
2014-04-01 00:00:00+00:00,0001327567,PALO ALTO NETWORKS INC,technology,0.9322560926993914,2,0.2
2014-04-01 00:00:00+00:00,0000006951,APPLIED MATERIALS INC /DE,technology,0.9305509030174829,3,0.2
2014-04-01 00:00:00+00:00,0000077159,PENN VIRGINIA CORP,energy,0.8323922335307534,3,0.2
2014-04-01 00:00:00+00:00,0001511737,"UBIQUITI NETWORKS, INC.",technology,0.824061437450759,3,0.2
2014-07-01 00:00:00+00:00,0001327567,PALO ALTO NETWORKS INC,technology,0.9421052631578948,2,0.2
2014-07-01 00:00:00+00:00,0001162194,FLUIDIGM CORP,technology,0.9304024001945276,3,0.2
2014-07-01 00:00:00+00:00,0000874499,GULFPORT ENERGY CORP,energy,0.8624213836477987,3,0.2
