,gross_return,net_return,turnover,cost,wealth,drawdown
2015-12-25,-0.001331973267492332,-0.0017952769899849336,0.46330372249260143,0.0004633037224926014,2.0070002613871503,-0.07058830068783817
2016-01-01,-0.007176546540804672,-0.0071828441557084816,0.006297614903809506,6.297614903809507e-06,1.9925842912891403,-0.07726412008048955
2016-01-08,-0.00458228295410349,-0.0045896337181905965,0.007350764087106329,7.35076408710633e-06,1.9834390592395028,-0.08149913978795242
2016-01-15,0.002303621718457737,0.002277088828429866,0.02653289002787081,2.653289002787081e-05,1.9879555261631685,-0.07940763174026033
2016-01-22,0.004012498383613722,0.00400204480071748,0.01045358289624223,1.045358289624223e-05,1.9959114132407072,-0.07572337983928634
2016-01-29,-0.002852935943809651,-0.0029852786989015712,0.13234275509192017,0.00013234275509192017,1.9899530614138652,-0.07848260314534483
2016-02-05,-0.0003971501070796461,-0.000407263360933209,0.010113253853562865,1.0113253853562865e-05,1.9891426264419745,-0.07885790341754628
2016-02-12,0.0026872034948258036,0.0026587498013621244,0.028453693463679142,2.8453693463679143e-05,1.994431259004908,-0.07640881705123137
2016-02-19,0.0010034563984340115,0.0010016787043380093,0.001777694096002145,1.777694096002145e-06,1.9964290383243195,-0.07548367543175716
2016-02-26,0.0031790346387470564,0.0030716910827145497,0.10734355603250657,0.00010734355603250657,2.0025614515986128,-0.07264384688175685
2016-03-04,0.0007770214440938778,0.0007744943903959591,0.002527053697918769,2.527053697918769e-06,2.0041124242092994,-0.07192561474326742
2016-03-11,0.003270876549410642,0.003267062909318095,0.0038136400925467785,3.8136400925467784e-06,2.0106599855765372,-0.0688935373421069
2016-03-18,-0.002053227658627861,-0.0020553392210166106,0.002111562388749825,2.111562388749825e-06,2.006527397248053,-0.07080727697374989
2016-03-25,0.006300302528442388,0.005775301899121386,0.525000629321002,0.000525000629321002,2.0181156987360187,-0.06544090847580653
2016-04-01,0.004074453077324022,0.004071550042581813,0.002903034742208717,2.903034742208717e-06,2.0263325577951425,-0.06163580436691585
2016-04-08,0.0019315515672173838,0.001922570406428866,0.00898116078851791,8.981160788517909e-06,2.030228324804343,-0.05983173313393919
2016-04-15,-0.005000290622896683,-0.00500826052045388,0.007969897557196732,7.969897557196731e-06,2.020060412437718,-0.06454034074746806
2016-04-22,0.014445290701131928,0.014437311949397595,0.00797875173433252,7.97875173433252e-06,2.0492246547687105,-0.051034817830761914
2016-04-29,0.008353252376275587,0.008125031965495477,0.22822041078011113,0.00022822041078011113,2.0658746705931876,-0.043324445391494715
2016-05-06,-0.002847183168939387,-0.002849472377380943,0.002289208441556251,2.289208441556251e-06,2.0599880177842014,-0.04605046595846729
2016-05-13,-0.013286717143989454,-0.013290949901590219,0.004232757600764285,4.232757600764285e-06,2.0326088202419554,-0.0587293614240586
2016-05-20,-0.0004066699689462558,-0.00041593007165597847,0.00926010270972265,9.26010270972265e-06,2.0317633971097036,-0.059120864188209166
2016-05-27,0.015064958551501313,0.014964424992278147,0.10053355922316526,0.00010053355922316526,2.062167568067808,-0.045041148933554154
2016-06-03,0.008517235507600572,0.008509997272342768,0.007238235257804233,7.238235257804233e-06,2.0797166084471788,-0.03691445171577912
2016-06-10,0.005456182320765083,0.00545015917590927,0.00602314485581303,6.02314485581303e-06,2.091051395003998,-0.031665482177612225
2016-06-17,0.0026854313052885855,0.002684007190364995,0.0014241149235902847,1.4241149235902848e-06,2.096663791983612,-0.02906646536909807
2016-06-24,0.028269033502350827,0.028209180598088152,0.05985290426267563,5.985290426267563e-05,2.15580895954515,-0.0016772259419549629
2016-07-01,0.011677026932278166,0.01166878863146315,0.008238300815016338,8.238300815016339e-06,2.1809646386238972,0.0
