candidate,state,n_weeks,aaa_mean_wkly,prod_mean_wkly,delta_mean_wkly,aaa_minus_prod_cumulative
improved_phaseaaa_confirmed_offense_escalation,calm_trend,295,0.0008458828195528201,0.0007552175162830647,9.066530326975542e-05,0.04132009859259278
improved_phaseaaa_confirmed_offense_escalation,neutral_mixed,493,0.002100360773003655,0.0020712148039303295,2.9145969073325444e-05,0.03672023589124507
improved_phaseaaa_confirmed_offense_escalation,recovery_confirmed,44,0.0003467850203621368,0.0005399585327544482,-0.0001931735123923114,-0.009038219147333937
improved_phaseaaa_confirmed_offense_escalation,recovery_fragile,49,0.0012857213900708834,0.0013236555558595474,-3.793416578866393e-05,-0.0022718041045355353
improved_phaseaaa_confirmed_offense_escalation,stressed_panic,229,0.0007280525467633053,0.00068168964870096,4.636289806234529e-05,0.0099183352235519
improved_phaseaaa_confirmed_offense_mix_tilt,calm_trend,295,0.0008496706421207448,0.0007552175162830647,9.44531258376801e-05,0.04276951689093855
improved_phaseaaa_confirmed_offense_mix_tilt,neutral_mixed,493,0.0020889018824115685,0.0020712148039303295,1.768707848123904e-05,0.021795235886638675
improved_phaseaaa_confirmed_offense_mix_tilt,recovery_confirmed,44,0.000411777270260371,0.0005399585327544482,-0.0001281812624940772,-0.006097044897211301
improved_phaseaaa_confirmed_offense_mix_tilt,recovery_fragile,49,0.0012800391712005283,0.0013236555558595474,-4.361638465901906e-05,-0.0025618000989329204
improved_phaseaaa_confirmed_offense_mix_tilt,stressed_panic,229,0.0007283388637038001,0.00068168964870096,4.664921500284014e-05,0.010000925212033884
improved_phaseaaa_confirmed_defense_composition_repair,calm_trend,295,0.0008544910835924169,0.0007552175162830647,9.927356730935226e-05,0.04457266022667894
improved_phaseaaa_confirmed_defense_composition_repair,neutral_mixed,493,0.002075911064915685,0.0020712148039303295,4.696260985355503e-06,0.00485090471495786
improved_phaseaaa_confirmed_defense_composition_repair,recovery_confirmed,44,0.0004019411930793363,0.0005399585327544482,-0.00013801733967511187,-0.006492529258680824
improved_phaseaaa_confirmed_defense_composition_repair,recovery_fragile,49,0.0012746052379338606,0.0013236555558595474,-4.905031792568678e-05,-0.0028412607431291814
improved_phaseaaa_confirmed_defense_composition_repair,stressed_panic,229,0.0007277937794617487,0.00068168964870096,4.6104130760788744e-05,0.009854146191262458
improved_phaseaaa_confirmed_only_combined_repair,calm_trend,295,0.000850756331522367,0.0007552175162830647,9.553881523930233e-05,0.04316400757593675
improved_phaseaaa_confirmed_only_combined_repair,neutral_mixed,493,0.0020849735814381376,0.0020712148039303295,1.3758777507808136e-05,0.016592782949616858
improved_phaseaaa_confirmed_only_combined_repair,recovery_confirmed,44,0.00040770500741300046,0.0005399585327544482,-0.00013225352534144773,-0.006268367958310428
improved_phaseaaa_confirmed_only_combined_repair,recovery_fragile,49,0.0012793488415578302,0.0013236555558595474,-4.43067143017172e-05,-0.0025981115723836545
improved_phaseaaa_confirmed_only_combined_repair,stressed_panic,229,0.0007278043331333569,0.00068168964870096,4.611468443239692e-05,0.00985459271554534
