,gross_return,net_return,turnover,cost,wealth,drawdown
2019-03-01,0.0041965195955639715,0.0041891197678391645,0.007399827724807191,7.399827724807191e-06,2.114802680157149,-0.05862735210003833
2019-03-08,0.006744576760584448,0.006733955223688308,0.010621536896140059,1.0621536896140058e-05,2.129043666712263,-0.05228819084027514
2019-03-15,0.007215980232128589,0.007203708304207606,0.012271927920983645,1.2271927920983646e-05,2.144380676254179,-0.04546115141063556
2019-03-22,0.004645068802617327,0.00463022392146363,0.01484488115369665,1.484488115369665e-05,2.1543096389580954,-0.04104142279993073
2019-03-29,0.003459425838951118,0.0032839475535524233,0.17547828539869467,0.00017547828539869468,2.1613842788265463,-0.03789225312637645
2019-04-05,0.00027814667709681184,0.00025722270840948806,0.020923968687323772,2.092396868732377e-05,2.16194023594466,-0.03764477716594383
2019-04-12,-0.006350276473422265,-0.006398809299742059,0.04853282631979438,4.8532826319794384e-05,2.1481063926574104,-0.043802704715469765
2019-04-19,0.006310983213640067,0.006278347258803569,0.03263595483649745,3.263595483649745e-05,2.161592950539369,-0.03779936604774492
2019-04-26,0.001930052197565728,0.0016922781510167277,0.23777404654900008,0.0002377740465490001,2.1652509670609588,-0.03617105493801298
2019-05-03,-0.004096518195598524,-0.004110859836952761,0.01434164135423728,1.434164135423728e-05,2.156349923823545,-0.040133220637960876
2019-05-10,0.0016386717795676658,0.0016156419832446464,0.02302979632301933,2.302979632301933e-05,2.1598338132910406,-0.038582419570901694
2019-05-17,0.0019763351445290867,0.0019560332156918978,0.02030192883718901,2.030192883718901e-05,2.164058519970212,-0.036701854849432336
2019-05-24,0.002045908726705469,0.00202963393620691,0.01627479049855892,1.6274790498558922e-05,2.168450766582281,-0.03474671224334969
2019-05-31,0.01336256682119044,0.013229853548300844,0.13271327288959564,0.00013271327288959565,2.1971390526508654,-0.021976552609313305
2019-06-07,0.0019147130709876172,0.001906712660909294,0.008000410078323193,8.000410078323193e-06,2.2013283655003333,-0.020111742919507236
2019-06-14,0.008744861323047033,0.008730657629030348,0.014203694016684606,1.4203694016684607e-05,2.2205474097885896,-0.011556674032230263
2019-06-21,-0.0011757885620938728,-0.0011883063988135207,0.01251783671964782,1.251783671964782e-05,2.217908719092669,-0.012731247561342252
2019-06-28,0.005868125931268425,0.0057194803505205396,0.14864558074788614,0.00014864558074788615,2.2305940044307677,-0.007084583331086414
2019-07-05,-0.0045141740321051945,-0.004534696061755809,0.02052202965061432,2.052202965061432e-05,2.2204789385834993,-0.011587152960711555
2019-07-12,-0.0019817249168195485,-0.0019941912981003692,0.01246638128082096,1.2466381280820961e-05,2.216050878806561,-0.013558237259207906
2019-07-19,0.003842711964744256,0.0038326539599373385,0.01005800480691722,1.005800480691722e-05,2.2245442349826416,-0.009777547330991787
