candidate,state,n_weeks,bbb_mean_wkly,prod_mean_wkly,aaa2_mean_wkly,delta_vs_prod_mean_wkly,delta_vs_aaa2_mean_wkly,bbb_minus_prod_cumulative,bbb_minus_aaa2_cumulative
improved_phasebbb_stronger_confirmed_offense_mix,calm_trend,295,0.0008467979968812959,0.0007552175162830648,0.0008496706421207442,9.15804805982311e-05,-2.8726452394483605e-06,0.04169174657570873,-0.001077770315229598
improved_phasebbb_stronger_confirmed_offense_mix,neutral_mixed,493,0.0020945157117708024,0.00207121480393033,0.0020889018824115676,2.3300907840472472e-05,5.613829359234733e-06,0.029031203486363122,0.007235967599723114
improved_phasebbb_stronger_confirmed_offense_mix,recovery_confirmed,44,0.0004123142827154528,0.0005399585327544482,0.000411777270260371,-0.00012764425003899537,5.370124550818319e-07,-0.0061105707011264165,-1.3525803915115375e-05
improved_phasebbb_stronger_confirmed_offense_mix,recovery_fragile,49,0.0012869762768545586,0.0013236555558595493,0.0012800391712005283,-3.6679279004990734e-05,6.937105654030275e-06,-0.002202634249463431,0.0003591658494694894
improved_phasebbb_stronger_confirmed_offense_mix,stressed_panic,229,0.0007284340706023704,0.000681689648700961,0.0007283388637037997,4.6744421901409464e-05,9.52068985707365e-08,0.010025524510144379,2.459929811049477e-05
improved_phasebbb_composite_offense_component_tilt,calm_trend,295,0.0008469900137724885,0.0007552175162830648,0.0008496706421207442,9.177249748942374e-05,-2.6806283482557185e-06,0.04175784602347199,-0.001011670867466341
improved_phasebbb_composite_offense_component_tilt,neutral_mixed,493,0.0020973149460690407,0.00207121480393033,0.0020889018824115676,2.610014213871078e-05,8.41306365747304e-06,0.03269586799901969,0.010900632112379682
improved_phasebbb_composite_offense_component_tilt,recovery_confirmed,44,0.00038566412891152064,0.0005399585327544482,0.000411777270260371,-0.00015429440384292755,-2.6113141348850348e-05,-0.007309538111137215,-0.0012124932139259137
improved_phasebbb_composite_offense_component_tilt,recovery_fragile,49,0.0012916454092767558,0.0013236555558595493,0.0012800391712005283,-3.20101465827935e-05,1.1606238076227512e-05,-0.001960122038558554,0.0006016780603743666
improved_phasebbb_composite_offense_component_tilt,stressed_panic,229,0.0007287533262825541,0.000681689648700961,0.0007283388637037997,4.706367758159312e-05,4.144625787543942e-07,0.01011233366599984,0.00011140845396595545
improved_phasebbb_offense_defense_composition_combo,calm_trend,295,0.0008461954706277413,0.0007552175162830648,0.0008496706421207442,9.097795434467653e-05,-3.4751714930029206e-06,0.04145576561792508,-0.0013137512730132528
improved_phasebbb_offense_defense_composition_combo,neutral_mixed,493,0.002097739203008037,0.00207121480393033,0.0020889018824115676,2.652439907770707e-05,8.837320596469331e-06,0.03312005338392554,0.011324817497285533
improved_phasebbb_offense_defense_composition_combo,recovery_confirmed,44,0.00042329075082904596,0.0005399585327544482,0.000411777270260371,-0.00011666778192540223,1.1513480568674966e-05,-0.005642661224254608,0.000454383672956693
improved_phasebbb_offense_defense_composition_combo,recovery_fragile,49,0.0012924507646094399,0.0013236555558595493,0.0012800391712005283,-3.120479125010944e-05,1.2411593408911568e-05,-0.0019190539824185393,0.0006427461165143811
improved_phasebbb_offense_defense_composition_combo,stressed_panic,229,0.0007290356225217648,0.000681689648700961,0.0007283388637037997,4.7345973820803796e-05,6.967588179650685e-07,0.010189260850381965,0.00018833563834808054
improved_phasebbb_conservative_confirmed_composition,calm_trend,295,0.0008476041285893491,0.0007552175162830648,0.0008496706421207442,9.238661230628431e-05,-2.0665135313951456e-06,0.041991245383181,-0.0007782715077573332
improved_phasebbb_conservative_confirmed_composition,neutral_mixed,493,0.0020946185510090413,0.00207121480393033,0.0020889018824115676,2.340374707871136e-05,5.71666859747362e-06,0.029196190635815356,0.007400954749175348
improved_phasebbb_conservative_confirmed_composition,recovery_confirmed,44,0.00039908625096305507,0.0005399585327544482,0.000411777270260371,-0.00014087228179139312,-1.269101929731592e-05,-0.006698298276053727,-0.0006012533788424257
improved_phasebbb_conservative_confirmed_composition,recovery_fragile,49,0.0012875754628052078,0.0013236555558595493,0.0012800391712005283,-3.608009305434154e-05,7.536291604679467e-06,-0.0021712262027759888,0.0003905738961569316
improved_phasebbb_conservative_confirmed_composition,stressed_panic,229,0.0007285697829243809,0.000681689648700961,0.0007283388637037997,4.6880134223419934e-05,2.3091922058120651e-07,0.010062748329383808,6.182311734992396e-05
