,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2012-12-21,0.06950578016293722,0.09404903311988749,0.18567157014035082,0.24506414386374392,0.1495985830073724,0.25611088970570817,0.0
2012-12-28,0.07095461967840136,0.09763511292820076,0.18428463176933693,0.2611625471763262,0.15826081428411495,0.2277022741636197,0.0
2013-01-04,0.07095461967840136,0.09763511292820076,0.18428463176933693,0.2611625471763262,0.15826081428411495,0.2277022741636197,0.0
2013-01-11,0.07095461967840136,0.09763511292820076,0.18428463176933693,0.2611625471763262,0.15826081428411495,0.2277022741636197,0.0
2013-01-18,0.07095461967840136,0.09763511292820076,0.18428463176933693,0.2611625471763262,0.15826081428411495,0.2277022741636197,0.0
2013-01-25,0.07687548182465706,0.10019753222579543,0.1788090923531357,0.2455878303286918,0.15940550950255125,0.23912455376516878,0.0
2013-02-01,0.07687548182465706,0.10019753222579543,0.1788090923531357,0.2455878303286918,0.15940550950255125,0.23912455376516878,0.0
2013-02-08,0.07687548182465706,0.10019753222579543,0.1788090923531357,0.2455878303286918,0.15940550950255125,0.23912455376516878,0.0
2013-02-15,0.07687548182465706,0.10019753222579543,0.1788090923531357,0.2455878303286918,0.15940550950255125,0.23912455376516878,0.0
2013-02-22,0.07891896219486409,0.11580194470102038,0.16800225548455586,0.23376232553575663,0.1458539181328826,0.2576605939509204,0.0
2013-03-01,0.07891896219486409,0.11580194470102038,0.16800225548455586,0.23376232553575663,0.1458539181328826,0.2576605939509204,0.0
2013-03-08,0.07891896219486409,0.11580194470102038,0.16800225548455586,0.23376232553575663,0.1458539181328826,0.2576605939509204,0.0
2013-03-15,0.07891896219486409,0.11580194470102038,0.16800225548455586,0.23376232553575663,0.1458539181328826,0.2576605939509204,0.0
2013-03-22,0.07891896219486409,0.11580194470102038,0.16800225548455586,0.23376232553575663,0.1458539181328826,0.2576605939509204,0.0
2013-03-29,0.08376292976396801,0.09412951201710316,0.34449858963236984,0.13000200886484004,0.12980666731719842,0.21780029240452053,0.0
2013-04-05,0.08376292976396801,0.09412951201710316,0.34449858963236984,0.13000200886484004,0.12980666731719842,0.21780029240452053,0.0
2013-04-12,0.08376292976396801,0.09412951201710316,0.34449858963236984,0.13000200886484004,0.12980666731719842,0.21780029240452053,0.0
2013-04-19,0.08376292976396801,0.09412951201710316,0.34449858963236984,0.13000200886484004,0.12980666731719842,0.21780029240452053,0.0
2013-04-26,0.08175867101791494,0.09343747688392084,0.32930188792974224,0.12425519838982513,0.12718719057849398,0.19966603446166412,0.04439354073843882
2013-05-03,0.08175867101791494,0.09343747688392084,0.32930188792974224,0.12425519838982513,0.12718719057849398,0.19966603446166412,0.04439354073843882
2013-05-10,0.08175867101791494,0.09343747688392084,0.32930188792974224,0.12425519838982513,0.12718719057849398,0.19966603446166412,0.04439354073843882
2013-05-17,0.08175867101791494,0.09343747688392084,0.32930188792974224,0.12425519838982513,0.12718719057849398,0.19966603446166412,0.04439354073843882
2013-05-24,0.08175867101791494,0.09343747688392084,0.32930188792974224,0.12425519838982513,0.12718719057849398,0.19966603446166412,0.04439354073843882
2013-05-31,0.08716133634127929,0.10190666089432501,0.3242156499686988,0.14053410789404192,0.13457377245426352,0.2116084724473915,0.0
2013-06-07,0.08716133634127929,0.10190666089432501,0.3242156499686988,0.14053410789404192,0.13457377245426352,0.2116084724473915,0.0
2013-06-14,0.08716133634127929,0.10190666089432501,0.3242156499686988,0.14053410789404192,0.13457377245426352,0.2116084724473915,0.0
2013-06-21,0.08716133634127929,0.10190666089432501,0.3242156499686988,0.14053410789404192,0.13457377245426352,0.2116084724473915,0.0
2013-06-28,0.07010954734444387,0.0853965508569556,0.261521433528696,0.13077748135945483,0.11134161866783471,0.17836747913221296,0.16248588911040196
2013-07-05,0.07010954734444387,0.0853965508569556,0.261521433528696,0.13077748135945483,0.11134161866783471,0.17836747913221296,0.16248588911040196
2013-07-12,0.07010954734444387,0.0853965508569556,0.261521433528696,0.13077748135945483,0.11134161866783471,0.17836747913221296,0.16248588911040196
2013-07-19,0.07010954734444387,0.0853965508569556,0.261521433528696,0.13077748135945483,0.11134161866783471,0.17836747913221296,0.16248588911040196
2013-07-26,0.07716765862770553,0.10129149272603259,0.2286306993977873,0.22600517511227503,0.1305031932412759,0.20933482741153261,0.027066953483391054
2013-08-02,0.07716765862770553,0.10129149272603259,0.2286306993977873,0.22600517511227503,0.1305031932412759,0.20933482741153261,0.027066953483391054
2013-08-09,0.07716765862770553,0.10129149272603259,0.2286306993977873,0.22600517511227503,0.1305031932412759,0.20933482741153261,0.027066953483391054
2013-08-16,0.07716765862770553,0.10129149272603259,0.2286306993977873,0.22600517511227503,0.1305031932412759,0.20933482741153261,0.027066953483391054
2013-08-23,0.07716765862770553,0.10129149272603259,0.2286306993977873,0.22600517511227503,0.1305031932412759,0.20933482741153261,0.027066953483391054
2013-08-30,0.06414622129489964,0.08831515999585553,0.16713609349387853,0.22657467531908113,0.11555326112177527,0.17760444374962397,0.16067014502488597
2013-09-06,0.06414622129489964,0.08831515999585553,0.16713609349387853,0.22657467531908113,0.11555326112177527,0.17760444374962397,0.16067014502488597
2013-09-13,0.06414622129489964,0.08831515999585553,0.16713609349387853,0.22657467531908113,0.11555326112177527,0.17760444374962397,0.16067014502488597
2013-09-20,0.06414622129489964,0.08831515999585553,0.16713609349387853,0.22657467531908113,0.11555326112177527,0.17760444374962397,0.16067014502488597
2013-09-27,0.06271337532757244,0.08870063536422831,0.14914389247903997,0.244926041674703,0.11750160358154842,0.17564479535177094,0.16136965622113697
2013-10-04,0.06271337532757244,0.08870063536422831,0.14914389247903997,0.244926041674703,0.11750160358154842,0.17564479535177094,0.16136965622113697
2013-10-11,0.06271337532757244,0.08870063536422831,0.14914389247903997,0.244926041674703,0.11750160358154842,0.17564479535177094,0.16136965622113697
2013-10-18,0.06271337532757244,0.08870063536422831,0.14914389247903997,0.244926041674703,0.11750160358154842,0.17564479535177094,0.16136965622113697
2013-10-25,0.07482576316541471,0.10121650730146294,0.1572062113712783,0.30692389975904044,0.12934684148827383,0.19933630587110832,0.03114447104342155
2013-11-01,0.07482576316541471,0.10121650730146294,0.1572062113712783,0.30692389975904044,0.12934684148827383,0.19933630587110832,0.03114447104342155
2013-11-08,0.07482576316541471,0.10121650730146294,0.1572062113712783,0.30692389975904044,0.12934684148827383,0.19933630587110832,0.03114447104342155
2013-11-15,0.07482576316541471,0.10121650730146294,0.1572062113712783,0.30692389975904044,0.12934684148827383,0.19933630587110832,0.03114447104342155
2013-11-22,0.07482576316541471,0.10121650730146294,0.1572062113712783,0.30692389975904044,0.12934684148827383,0.19933630587110832,0.03114447104342155
2013-11-29,0.07146167905815999,0.10121996258621808,0.14475383662199737,0.3242155788641233,0.12699363173360273,0.20313299398611043,0.02822231714978818
2013-12-06,0.07146167905815999,0.10121996258621808,0.14475383662199737,0.3242155788641233,0.12699363173360273,0.20313299398611043,0.02822231714978818
2013-12-13,0.07146167905815999,0.10121996258621808,0.14475383662199737,0.3242155788641233,0.12699363173360273,0.20313299398611043,0.02822231714978818
2013-12-20,0.07146167905815999,0.10121996258621808,0.14475383662199737,0.3242155788641233,0.12699363173360273,0.20313299398611043,0.02822231714978818
2013-12-27,0.06855584101294952,0.1016882490042638,0.13569891063935055,0.3324726956590761,0.12310281153521539,0.20576829865164536,0.03271319349749924
2014-01-03,0.06855584101294952,0.1016882490042638,0.13569891063935055,0.3324726956590761,0.12310281153521539,0.20576829865164536,0.03271319349749924
2014-01-10,0.06855584101294952,0.1016882490042638,0.13569891063935055,0.3324726956590761,0.12310281153521539,0.20576829865164536,0.03271319349749924
2014-01-17,0.06855584101294952,0.1016882490042638,0.13569891063935055,0.3324726956590761,0.12310281153521539,0.20576829865164536,0.03271319349749924
2014-01-24,0.06855584101294952,0.1016882490042638,0.13569891063935055,0.3324726956590761,0.12310281153521539,0.20576829865164536,0.03271319349749924
2014-01-31,0.06634706654419231,0.10369016300851648,0.12936363752871757,0.3398673822916451,0.12066235199408934,0.2039387489750722,0.03613064965776691
2014-02-07,0.06634706654419231,0.10369016300851648,0.12936363752871757,0.3398673822916451,0.12066235199408934,0.2039387489750722,0.03613064965776691
2014-02-14,0.06634706654419231,0.10369016300851648,0.12936363752871757,0.3398673822916451,0.12066235199408934,0.2039387489750722,0.03613064965776691
2014-02-21,0.06634706654419231,0.10369016300851648,0.12936363752871757,0.3398673822916451,0.12066235199408934,0.2039387489750722,0.03613064965776691
2014-02-28,0.06551995703542499,0.10777843018156805,0.12577367091327835,0.32833690762856577,0.12141219879431399,0.20593887215246987,0.04523996329437907
2014-03-07,0.06551995703542499,0.10777843018156805,0.12577367091327835,0.32833690762856577,0.12141219879431399,0.20593887215246987,0.04523996329437907
2014-03-14,0.06551995703542499,0.10777843018156805,0.12577367091327835,0.32833690762856577,0.12141219879431399,0.20593887215246987,0.04523996329437907
2014-03-21,0.06551995703542499,0.10777843018156805,0.12577367091327835,0.32833690762856577,0.12141219879431399,0.20593887215246987,0.04523996329437907
2014-03-28,0.06973318409299598,0.10165082874805856,0.17705612239839963,0.27576640859247264,0.12367554048500935,0.21146053534780546,0.04065738033525834
2014-04-04,0.06973318409299598,0.10165082874805856,0.17705612239839963,0.27576640859247264,0.12367554048500935,0.21146053534780546,0.04065738033525834
2014-04-11,0.06973318409299598,0.10165082874805856,0.17705612239839963,0.27576640859247264,0.12367554048500935,0.21146053534780546,0.04065738033525834
2014-04-18,0.06973318409299598,0.10165082874805856,0.17705612239839963,0.27576640859247264,0.12367554048500935,0.21146053534780546,0.04065738033525834
2014-04-25,0.0787388808981888,0.09765862327861752,0.22621246048986576,0.22975546751785597,0.1252806035072461,0.2153571459893866,0.026996818318839266
2014-05-02,0.0787388808981888,0.09765862327861752,0.22621246048986576,0.22975546751785597,0.1252806035072461,0.2153571459893866,0.026996818318839266
2014-05-09,0.0787388808981888,0.09765862327861752,0.22621246048986576,0.22975546751785597,0.1252806035072461,0.2153571459893866,0.026996818318839266
2014-05-16,0.0787388808981888,0.09765862327861752,0.22621246048986576,0.22975546751785597,0.1252806035072461,0.2153571459893866,0.026996818318839266
2014-05-23,0.0787388808981888,0.09765862327861752,0.22621246048986576,0.22975546751785597,0.1252806035072461,0.2153571459893866,0.026996818318839266
2014-05-30,0.07893490974013075,0.09146322293440055,0.22099979489262384,0.20725045586548382,0.12937559675954194,0.21144041781821413,0.06053560198960506
2014-06-06,0.07893490974013075,0.09146322293440055,0.22099979489262384,0.20725045586548382,0.12937559675954194,0.21144041781821413,0.06053560198960506
2014-06-13,0.07893490974013075,0.09146322293440055,0.22099979489262384,0.20725045586548382,0.12937559675954194,0.21144041781821413,0.06053560198960506
2014-06-20,0.07893490974013075,0.09146322293440055,0.22099979489262384,0.20725045586548382,0.12937559675954194,0.21144041781821413,0.06053560198960506
2014-06-27,0.07346270918147922,0.10268936804232408,0.10670310887682173,0.3326625620244295,0.16120679386265385,0.22327545801229165,0.0
