version_name,horizon,asset,driver,contribution
improved_phasennn_ml_risk_dial_overlay,current,BIL,overlay_cash,0.06499999999999984
improved_phasennn_ml_risk_dial_overlay,current,BIL,dual_momentum_topn,0.0
improved_phasennn_ml_risk_dial_overlay,current,BIL,cta_trend_long_only,0.0
improved_phasennn_ml_risk_dial_overlay,current,BIL,composite_selective_signals,0.0
improved_phasennn_ml_risk_dial_overlay,current,BIL,composite_regime_offense_component,0.0
improved_phasennn_ml_risk_dial_overlay,current,BIL,composite_regime_defense_component,0.0
improved_phasennn_ml_risk_dial_overlay,current,BIL,taa_10m_sma,0.0
improved_phasennn_ml_risk_dial_overlay,current,SPY,overlay_cash,0.0
improved_phasennn_ml_risk_dial_overlay,current,SPY,dual_momentum_topn,0.011645341747287291
improved_phasennn_ml_risk_dial_overlay,current,SPY,cta_trend_long_only,0.005193336538645848
improved_phasennn_ml_risk_dial_overlay,current,SPY,composite_selective_signals,0.0
improved_phasennn_ml_risk_dial_overlay,current,SPY,composite_regime_offense_component,0.0
improved_phasennn_ml_risk_dial_overlay,current,SPY,composite_regime_defense_component,0.0
improved_phasennn_ml_risk_dial_overlay,current,SPY,taa_10m_sma,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,BIL,overlay_cash,0.06210256488841959
improved_phasennn_ml_opportunity_dial_overlay,current,BIL,dual_momentum_topn,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,BIL,cta_trend_long_only,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,BIL,composite_selective_signals,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,BIL,composite_regime_offense_component,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,BIL,composite_regime_defense_component,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,BIL,taa_10m_sma,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,SPY,overlay_cash,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,SPY,dual_momentum_topn,0.011612695787919743
improved_phasennn_ml_opportunity_dial_overlay,current,SPY,cta_trend_long_only,0.005178777850211826
improved_phasennn_ml_opportunity_dial_overlay,current,SPY,composite_selective_signals,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,SPY,composite_regime_offense_component,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,SPY,composite_regime_defense_component,0.0
improved_phasennn_ml_opportunity_dial_overlay,current,SPY,taa_10m_sma,0.0
