,state_text,bucket,production_weight,phasen_weight,phaseo_weight,abstain_weight,trust_score,abstention_score,phaseo_prob,phasen_prob,model_uncertainty,margin_confidence,risk_guard,gate_entropy,selected_expert
2023-01-13,recovery_fragile,abstention_softmax,0.2311995039402731,0.17023436613920453,0.16245081988186605,0.43611531003865633,0.2475680029514683,0.43611531003865633,0.12709886704044193,0.17015746025208134,0.5296247508194842,0.3643541324575806,0.4484126984126984,0.863407783022847,abstain
2023-01-20,recovery_fragile,abstention_softmax,0.23771675323702982,0.1905344547901189,0.1816019046944711,0.3901468872783802,0.27686913208953057,0.3901468872783802,0.22365186163064793,0.2752596506474572,0.5063543906783841,0.3826143877868015,0.4382239382239382,0.846680446243957,abstain
2023-01-27,recovery_fragile,abstention_softmax,0.23939351315112833,0.17825443169861527,0.17586047216983514,0.4064915829804212,0.26498768801914274,0.4064915829804212,0.18050336852159246,0.18267319409086827,0.5365857152574087,0.513043372231277,0.4285714285714286,0.9088850534328846,abstain
2023-02-03,recovery_fragile,abstention_softmax,0.24263761323995364,0.21785199094685367,0.2146603581368785,0.32485003767631426,0.32358635361030536,0.32485003767631426,0.37121503847758364,0.3956978179191877,0.4629137123112716,0.4476504749865682,0.4194139194139195,0.834943508182638,abstain
2023-02-10,neutral_mixed,abstention_softmax,0.24329361314201395,0.21911369810864262,0.21819893770987542,0.31939375103946804,0.3277557867641967,0.31939375103946804,0.414286884935705,0.42072003512648565,0.4844144511827407,0.4117816091954023,0.375,0.7997014215857011,abstain
2023-02-17,recovery_fragile,abstention_softmax,0.23559075645172078,0.22090585184051015,0.2173452224571256,0.3261581692506435,0.32779814837738064,0.3261581692506435,0.4370886076147054,0.46076134104811844,0.5074697201655693,0.3939244663382594,0.4285714285714286,0.8416126048747677,abstain
2023-02-24,neutral_mixed,abstention_softmax,0.2502737765964438,0.21235274763504325,0.21252774832181745,0.3248457274466955,0.3187041221393391,0.3248457274466955,0.3986032591359974,0.3931977878071641,0.4881477184215752,0.4278735632183907,0.375,0.805369492846897,abstain
2023-03-03,neutral_mixed,abstention_softmax,0.2444381999785543,0.21091210829352744,0.21020923279192766,0.3344404589359906,0.3156652869386914,0.3344404589359906,0.4440758430418208,0.4361188839623048,0.5370087485608811,0.3933908045977012,0.375,0.8723776874208583,abstain
2023-03-10,neutral_mixed,abstention_softmax,0.2480691603017308,0.22324941986421598,0.2255648481226191,0.3031165717114341,0.33718955805472706,0.3031165717114341,0.4877924808051152,0.462352197621119,0.5053394810731082,0.4316091954022987,0.375,0.8471609141785915,abstain
2023-03-17,neutral_mixed,abstention_softmax,0.2505243534342436,0.22329188270305625,0.2171676191033626,0.3090161447593376,0.32881356045489074,0.3090161447593376,0.41933047644665816,0.4429809462851345,0.4782437450498927,0.4078056863407814,0.3714485234977164,0.7786492418964618,abstain
2023-03-24,recovery_fragile,abstention_softmax,0.23881612793450488,0.22294639009223458,0.2195436929613278,0.3186937890119327,0.3310168880074451,0.3186937890119327,0.4752420839301093,0.483560437850699,0.5865192990721447,0.3685075818260123,0.2793978117504301,0.7105309664673778,abstain
2023-03-31,recovery_fragile,abstention_softmax,0.24603458065642206,0.19891962252860604,0.2027212327851687,0.35232456402980317,0.3021810440494717,0.35232456402980317,0.3239490037525614,0.29158815094609125,0.5344693615598697,0.38379371714977,0.201725180405454,0.6754460034740565,abstain
