,predicted_spread
2005-01-14,0.0
2005-01-21,0.0
2005-01-28,0.0
2005-02-04,0.0
2005-02-11,0.0
2005-02-18,0.0
2005-02-25,0.0
2005-03-04,0.0
2005-03-11,0.0
2005-03-18,0.0
2005-03-25,0.0
2005-04-01,0.0
2005-04-08,0.0
2005-04-15,0.0
2005-04-22,0.0
2005-04-29,0.0
2005-05-06,0.0
2005-05-13,0.0
2005-05-20,0.0
2005-05-27,0.0
2005-06-03,0.0
2005-06-10,0.0
2005-06-17,0.0
2005-06-24,0.0
2005-07-01,0.0
2005-07-08,0.0
2005-07-15,0.0
2005-07-22,0.0
2005-07-29,0.0
2005-08-05,0.0
2005-08-12,0.0
2005-08-19,0.0
2005-08-26,0.0
2005-09-02,0.0
2005-09-09,0.0
2005-09-16,0.0
2005-09-23,0.0
2005-09-30,0.0
2005-10-07,0.0
2005-10-14,0.0
2005-10-21,0.0
2005-10-28,0.0
2005-11-04,0.0
2005-11-11,0.0
2005-11-18,0.0
2005-11-25,0.0
2005-12-02,0.0
2005-12-09,0.0
2005-12-16,0.0
2005-12-23,0.0
2005-12-30,0.0
2006-01-06,0.0
2006-01-13,0.0
2006-01-20,0.0
2006-01-27,0.0
2006-02-03,0.0
2006-02-10,0.0
2006-02-17,0.0
2006-02-24,0.0
2006-03-03,0.0
2006-03-10,0.0
2006-03-17,0.0
2006-03-24,0.0
2006-03-31,0.0
2006-04-07,0.0
2006-04-14,0.0
2006-04-21,0.0
2006-04-28,0.0
2006-05-05,0.0
2006-05-12,0.0
2006-05-19,0.0
2006-05-26,0.0
2006-06-02,0.0
2006-06-09,0.0
2006-06-16,0.0
2006-06-23,0.0
2006-06-30,0.0
2006-07-07,0.0
2006-07-14,0.0
2006-07-21,0.0
2006-07-28,0.0
2006-08-04,0.0
2006-08-11,0.0
2006-08-18,0.0
2006-08-25,0.0
2006-09-01,0.0
2006-09-08,0.0
2006-09-15,0.0
2006-09-22,0.0
2006-09-29,0.0
2006-10-06,0.0
2006-10-13,0.0
2006-10-20,0.0
2006-10-27,0.0
2006-11-03,0.0
2006-11-10,0.0
2006-11-17,0.0
2006-11-24,0.0
2006-12-01,0.0
2006-12-08,0.0
2006-12-15,0.0
2006-12-22,0.0
2006-12-29,0.0
2007-01-05,0.0
2007-01-12,0.0
2007-01-19,0.0
2007-01-26,0.0
2007-02-02,0.0
2007-02-09,0.0
2007-02-16,0.0
2007-02-23,0.0
2007-03-02,0.0
2007-03-09,0.0
2007-03-16,0.0
2007-03-23,0.0
2007-03-30,0.0
2007-04-06,0.0
2007-04-13,0.0
2007-04-20,0.0
2007-04-27,0.0
2007-05-04,0.0
2007-05-11,0.0
2007-05-18,0.0
2007-05-25,0.0
2007-06-01,0.0
2007-06-08,0.0
2007-06-15,0.0
2007-06-22,0.0
2007-06-29,0.0
2007-07-06,0.0
2007-07-13,0.0
2007-07-20,0.0
2007-07-27,0.0
2007-08-03,0.0
2007-08-10,0.0
2007-08-17,0.0
2007-08-24,0.0
2007-08-31,0.0
2007-09-07,0.0
2007-09-14,0.0
2007-09-21,0.0
2007-09-28,0.0
2007-10-05,0.0
2007-10-12,0.0
2007-10-19,0.0
2007-10-26,0.0
2007-11-02,0.0
2007-11-09,0.0
2007-11-16,0.0
2007-11-23,0.0
2007-11-30,0.0
2007-12-07,0.0
2007-12-14,0.0
2007-12-21,0.0
2007-12-28,0.0
2008-01-04,0.0
2008-01-11,0.0
2008-01-18,0.0
2008-01-25,0.0
2008-02-01,0.04179295662094351
2008-02-08,0.04290530367123958
2008-02-15,0.02727473869697189
2008-02-22,0.027046614371733016
2008-02-29,0.031523964327648625
2008-03-07,0.03460822874233678
2008-03-14,0.03476991214675766
2008-03-21,0.025825397226195517
2008-03-28,0.02670457720771939
2008-04-04,0.023865561857357904
2008-04-11,0.02411548419605749
2008-04-18,0.015841336763721046
2008-04-25,0.018060097484149447
2008-05-02,0.0176401562721705
2008-05-09,0.03378579192991713
2008-05-16,0.03460471036807125
2008-05-23,0.025480067146583636
2008-05-30,0.014873638448279818
2008-06-06,0.01885635605540932
2008-06-13,0.013828970481686489
2008-06-20,0.010088302384674811
2008-06-27,0.016627063902213444
2008-07-04,0.025311543536328897
2008-07-11,0.025354262287331748
2008-07-18,0.031312974489728675
2008-07-25,0.0315870203613609
2008-08-01,0.015893737286392234
2008-08-08,0.03417057849696835
2008-08-15,0.03160218674612329
2008-08-22,0.029123417821119733
2008-08-29,0.02901849671287463
2008-09-05,0.01726214789491618
2008-09-12,0.013670948513369571
2008-09-19,0.01831850056159067
2008-09-26,0.0167646598179977
2008-10-03,0.020897975026787582
2008-10-10,0.029350835314813833
2008-10-17,0.03775615078526162
2008-10-24,0.038457668370615844
2008-10-31,0.03414151579328148
2008-11-07,0.03528753627639379
2008-11-14,0.03585449653766043
2008-11-21,0.029300497934762696
2008-11-28,0.025956174389920313
2008-12-05,0.028527144832045853
2008-12-12,0.025113347648648737
2008-12-19,0.025607003152064316
2008-12-26,0.02778414025583099
2009-01-02,0.024379366017323312
2009-01-09,0.01914075167506841
2009-01-16,0.02135494672025035
2009-01-23,0.023327852908913895
2009-01-30,0.04483585743815348
2009-02-06,0.04072454108724344
2009-02-13,0.04563623341276814
2009-02-20,0.055953983366151094
2009-02-27,0.05658559206172037
2009-03-06,0.05861740602799592
2009-03-13,0.0559222190716592
2009-03-20,0.06040613854203154
2009-03-27,0.05916930350016683
2009-04-03,0.05665826172807023
2009-04-10,0.06266297749887512
2009-04-17,0.053760301929298884
2009-04-24,0.06225977345209205
2009-05-01,0.05176714665375083
2009-05-08,0.07577390510510858
2009-05-15,0.05746179527718964
2009-05-22,0.07942835390398079
2009-05-29,0.07760230457459452
2009-06-05,0.08487103349252516
2009-06-12,0.08715910182709263
2009-06-19,0.07042002908565549
2009-06-26,0.06719600089787725
2009-07-03,0.05834397267852076
2009-07-10,0.06152541846013565
2009-07-17,0.0551916748383101
2009-07-24,0.053164937116930225
2009-07-31,0.04438166288274884
2009-08-07,0.042916936994993146
2009-08-14,0.04437540856358758
2009-08-21,0.04441978271438069
2009-08-28,0.02575188045319927
2009-09-04,0.03492154592108295
2009-09-11,0.0352777067923086
2009-09-18,0.012343158214472261
2009-09-25,0.031862988987798796
2009-10-02,0.03269751037135317
2009-10-09,0.02976196766011892
2009-10-16,0.03420219389416532
2009-10-23,0.03532917858170595
2009-10-30,0.04754386683928783
2009-11-06,0.0549681060835908
2009-11-13,0.053057671795701485
2009-11-20,0.05093588310017818
2009-11-27,0.0527899272956379
2009-12-04,0.04632006300718332
2009-12-11,0.04682258429033668
2009-12-18,0.05203772677981387
2009-12-25,0.045580522131808424
2010-01-01,0.04250217607219961
2010-01-08,0.03998186107256338
2010-01-15,0.0410167908140992
2010-01-22,0.047616639132073764
2010-01-29,0.024505727881104344
2010-02-05,0.023222260176322104
2010-02-12,0.029120487416267545
2010-02-19,0.028190764268511807
2010-02-26,0.027550346308227357
2010-03-05,0.02472070835502222
2010-03-12,0.023458029987103307
2010-03-19,0.018897413276551697
2010-03-26,0.02091958336081729
2010-04-02,0.022263396997801728
2010-04-09,0.0187124506569923
