,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,sector_rotation_with_sma_filter,cash::BIL
2007-03-16,0.0474950734256284,0.31837929576033486,0.2813482078920647,0.2849518444667779,0.06782557845519407,0.0,0.0
2007-03-23,0.0474950734256284,0.31837929576033486,0.2813482078920647,0.2849518444667779,0.06782557845519407,0.0,0.0
2007-03-30,0.04745667402414114,0.29273427415751996,0.27062167025057376,0.28023025187787776,0.06474949597228646,0.0,0.04420763371760095
2007-04-06,0.04745667402414114,0.29273427415751996,0.27062167025057376,0.28023025187787776,0.06474949597228646,0.0,0.04420763371760095
2007-04-13,0.04745667402414114,0.29273427415751996,0.27062167025057376,0.28023025187787776,0.06474949597228646,0.0,0.04420763371760095
2007-04-20,0.04745667402414114,0.29273427415751996,0.27062167025057376,0.28023025187787776,0.06474949597228646,0.0,0.04420763371760095
2007-04-27,0.046118920147194736,0.2928075120441465,0.27235960659849273,0.2767021994182483,0.06782105144091913,0.0,0.04419071035099853
2007-05-04,0.046118920147194736,0.2928075120441465,0.27235960659849273,0.2767021994182483,0.06782105144091913,0.0,0.04419071035099853
2007-05-11,0.046118920147194736,0.2928075120441465,0.27235960659849273,0.2767021994182483,0.06782105144091913,0.0,0.04419071035099853
2007-05-18,0.046118920147194736,0.2928075120441465,0.27235960659849273,0.2767021994182483,0.06782105144091913,0.0,0.04419071035099853
2007-05-25,0.04906092055994183,0.3116373512723983,0.25941000223414423,0.2672391429641703,0.06867375701684016,0.0,0.04397882595250524
2007-06-01,0.04906092055994183,0.3116373512723983,0.25941000223414423,0.2672391429641703,0.06867375701684016,0.0,0.04397882595250524
2007-06-08,0.04906092055994183,0.3116373512723983,0.25941000223414423,0.2672391429641703,0.06867375701684016,0.0,0.04397882595250524
2007-06-15,0.04906092055994183,0.3116373512723983,0.25941000223414423,0.2672391429641703,0.06867375701684016,0.0,0.04397882595250524
2007-06-22,0.04906092055994183,0.3116373512723983,0.25941000223414423,0.2672391429641703,0.06867375701684016,0.0,0.04397882595250524
2007-06-29,0.05328134124890505,0.2858467477325689,0.2633723578344592,0.2760429873530098,0.07735705101310823,0.0,0.044099514817948826
2007-07-06,0.05328134124890505,0.2858467477325689,0.2633723578344592,0.2760429873530098,0.07735705101310823,0.0,0.044099514817948826
2007-07-13,0.05328134124890505,0.2858467477325689,0.2633723578344592,0.2760429873530098,0.07735705101310823,0.0,0.044099514817948826
2007-07-20,0.05328134124890505,0.2858467477325689,0.2633723578344592,0.2760429873530098,0.07735705101310823,0.0,0.044099514817948826
2007-07-27,0.05417391821676448,0.19793313286537378,0.21121077885403017,0.22739640192655416,0.10928576813727751,0.0,0.19999999999999984
2007-08-03,0.05417391821676448,0.19793313286537378,0.21121077885403017,0.22739640192655416,0.10928576813727751,0.0,0.19999999999999984
