version_name,market_state,regime_multiplier,target_vol_multiplier,gross_multiplier,dynamic_speed,regime_binding,target_vol_binding,both_binding,self_gated_relief,final_self_gated_multiplier,final_non_self_gated_multiplier
improved_phasennn_ml_opportunity_dial_overlay,calm_trend,1.0,0.9985560369513695,0.9985560369513695,0.8,0.0,0.02711864406779661,0.0,0.0,0.9985560369513695,0.9985560369513695
improved_phasennn_ml_opportunity_dial_overlay,neutral_mixed,0.8972645036583328,0.9935017723725441,0.898695203878245,0.4,0.18052738336713997,0.008113590263691683,0.0,0.0014020760651856166,0.9014902201897635,0.8968309023855128
improved_phasennn_ml_opportunity_dial_overlay,recovery_confirmed,0.9238966069851,0.9603312361178978,0.9166723402393481,0.8000000000000002,0.20454545454545456,0.06818181818181818,0.0,0.005814351639726003,0.9255471324486598,0.9120823181250838
improved_phasennn_ml_opportunity_dial_overlay,recovery_fragile,0.9694346331634698,0.9893058801877855,0.9692338015789858,0.6000000000000002,0.24489795918367346,0.02040816326530612,0.0,0.0025372053165089704,0.972609713360621,0.9670817731092695
improved_phasennn_ml_opportunity_dial_overlay,stressed_panic,0.43200000000000005,0.9897144064530758,0.43200000000000005,0.4,0.2183406113537118,0.0,0.0,0.0,0.43200000000000005,0.43200000000000005
improved_phasennn_ml_risk_dial_overlay,calm_trend,0.9997960804542261,0.9985560369513695,0.9983521174055954,0.8,0.003389830508474576,0.02711864406779661,0.0,0.0,0.9983521174055954,0.9983521174055954
improved_phasennn_ml_risk_dial_overlay,neutral_mixed,0.8965889956755274,0.9935017723725441,0.8980603910961291,0.4,0.18052738336713997,0.008113590263691683,0.0,0.0014158444673463772,0.9008846897560847,0.896179617400482
improved_phasennn_ml_risk_dial_overlay,recovery_confirmed,0.9211598510408828,0.9603312361178978,0.9164310158840764,0.8000000000000002,0.20454545454545456,0.06818181818181818,0.0,0.006097979073944873,0.9238503437632452,0.909728708013057
improved_phasennn_ml_risk_dial_overlay,recovery_fragile,0.968712671936118,0.9893058801877855,0.9686570794923419,0.6000000000000002,0.2653061224489796,0.02040816326530612,0.0,0.002607338692880295,0.9721332189505689,0.9664464472291998
improved_phasennn_ml_risk_dial_overlay,stressed_panic,0.43200000000000005,0.9897144064530758,0.43200000000000005,0.4,0.2183406113537118,0.0,0.0,0.0,0.43200000000000005,0.43200000000000005
