,gross_return,net_return,turnover,cost,wealth,drawdown
2009-11-27,0.03221859208812779,0.03204852501756072,0.17006707056706616,0.00017006707056706617,1.4009314850135988,0.0
2009-12-04,-0.01116784225550099,-0.011209271345738172,0.04142909023718248,4.142909023718248e-05,1.3852280638612935,-0.011209271345738125
2009-12-11,-0.007947128937986981,-0.007975287936667453,0.028158998680471455,2.8158998680471454e-05,1.3741804711940473,-0.01909516211586304
2009-12-18,0.024717933308550457,0.024700377107536572,0.01755620101388318,1.755620101388318e-05,1.4081232470463525,0.0
2009-12-25,-0.0034866333854130568,-0.00384694639875169,0.3603130133386331,0.0003603130133386331,1.4027062723921289,-0.003846946398751827
2010-01-01,0.029112720483577256,0.029090379043248047,0.022341440329209785,2.2341440329209786e-05,1.4435115295423573,0.0
2010-01-08,-0.01125234395921919,-0.011277061785803566,0.024717826584375657,2.4717826584375657e-05,1.4272329608351884,-0.011277061785803566
2010-01-15,-0.041629127631633976,-0.04165656628500069,0.027438653366714555,2.7438653366714556e-05,1.3677793363980195,-0.05246386439902384
2010-01-22,-0.018393745723853654,-0.01841813233836737,0.024386614513714107,2.4386614513714108e-05,1.3425873955705565,-0.06991571033990784
2010-01-29,-0.00894489440323399,-0.009300032377192331,0.35513797395834135,0.00035513797395834133,1.33010128932254,-0.07856552434726471
2010-02-05,0.011798737870977315,0.011770492259816252,0.028245611161062292,2.8245611161062295e-05,1.3457572362532826,-0.06771978698366621
2010-02-12,0.027788950983639007,0.027774646074266125,0.014304909372883222,1.4304909372883223e-05,1.3831351671921,-0.041826034025096215
2010-02-19,-0.0013117483642016406,-0.0013414213233832995,0.029672959181659006,2.9672959181659006e-05,1.3812798001857072,-0.0431113490145657
2010-02-26,0.04477658107186779,0.044505741690757314,0.27083938111048034,0.00027083938111048035,1.4427546821754331,-0.0005243098869907037
2010-03-05,0.015983361208445485,0.01594154125308783,0.041819955357656674,4.181995535765667e-05,1.4657544154594184,0.0
2010-03-12,0.003197321801837695,0.003182723192880827,0.014598608956868358,1.4598608956868358e-05,1.4704195060325687,0.0
2010-03-19,0.004697434673844678,0.004643660354154009,0.05377431969066931,5.3774319690669306e-05,1.4772476347967067,0.0
2010-03-26,0.009552428935986948,0.009159748573065705,0.3926803629212423,0.00039268036292124234,1.4907788517116005,0.0
2010-04-02,0.02204514322683303,0.02199034110462385,0.05480212220918103,5.480212220918103e-05,1.523561587172298,0.0
2010-04-09,-0.009267871291792415,-0.009301242279458471,0.03337098766605694,3.337098766605694e-05,1.5093905717223322,-0.0093012422794585
2010-04-16,0.03237418274931631,0.03231482729081467,0.05935545850164327,5.935545850164327e-05,1.5581662673619234,0.0
2010-04-23,-0.019288630054165933,-0.01930701869482853,0.018388640662598016,1.8388640662598016e-05,1.5280827221083155,-0.019307018694828537
2010-04-30,-0.06089955675102045,-0.061040422912486694,0.14086616146624806,0.00014086616146624805,1.4348079065055601,-0.07916893302100358
2010-05-07,0.03580504031934237,0.03576352076366041,0.04151955568195234,4.151955568195234e-05,1.486121688861736,-0.04623677203727661
2010-05-14,-0.050226114752469936,-0.050247526242404326,0.02141148993439261,2.141148993439261e-05,1.4114477503012495,-0.09416101486337392
2010-05-21,0.017611471992781035,0.017583631034194188,0.0278409585868478,2.78409585868478e-05,1.43626612676659,-0.07823307637234267
2010-05-28,-0.022287791523007028,-0.022658183060853803,0.37039153784677686,0.00037039153784677685,1.4037229459422091,-0.09911864006733817
2010-06-04,0.023937347366319726,0.023915226185721096,0.022121180598629622,2.2121180598629622e-05,1.4372932976965038,-0.07757385857804855
2010-06-11,0.01756526683483915,0.017480895955636535,0.08437087920261373,8.437087920261373e-05,1.46241847229127,-0.0614490231730922
2010-06-18,-0.01729349873839643,-0.017327598907500033,0.034100169103600614,3.410016910360062e-05,1.437078271568488,-0.07771185805379122
2010-06-25,-0.03833141742097972,-0.03854554425441136,0.21412683343163977,0.00021412683343163979,1.3816853074546918,-0.11326195644449766
2010-07-02,0.025281149019997787,0.025268991835461826,0.012157184535961317,1.2157184535961318e-05,1.4165991022079418,-0.09085498006170034
2010-07-09,-0.01068863465828204,-0.010700556347084632,0.01192168880259065,1.192168880259065e-05,1.4014407036935361,-0.10058333757522153
2010-07-16,0.02465297146973966,0.024622154134232434,0.03081733550722588,3.081733550722588e-05,1.4359471927098655,-0.07843776188210183
2010-07-23,0.003102964363258615,0.003064828037330434,0.0381363259281812,3.8136325928181195e-05,1.4403481239262086,-0.07561333209657306
2010-07-30,0.008102009378054007,0.00796823587012876,0.13377350792524714,0.00013377350792524714,1.45182515751275,-0.06824760109151617
2010-08-06,-0.011439478549229512,-0.011462104201742934,0.022625652513421173,2.2625652513421175e-05,1.435184186274627,-0.07892744417802922
2010-08-13,0.007674622600940107,0.007653402250467697,0.021220350472409936,2.1220350472409937e-05,1.446168228155697,-0.07187810540645734
2010-08-20,0.0027623643147744823,0.002719898517674439,0.04246579710004321,4.246579710004321e-05,1.4501016589757654,-0.06935370804113128
2010-08-27,0.015811373052836992,0.015646533254930248,0.16483979790674574,0.00016483979790674576,1.4727907228059591,-0.05479231988541933
2010-09-03,-0.004028241312835058,-0.004057654662943381,0.029413350108322484,2.9413350108322485e-05,1.4668146466620258,-0.058627646236086184
2010-09-10,0.00963501229012058,0.009603336257832542,0.03167603228803827,3.167603228803827e-05,1.4809009609418349,-0.04958733097906409
2010-09-17,0.007741118451392697,0.007684559416185362,0.05655903520733472,5.655903520733472e-05,1.4922810323656786,-0.04228382835407729
2010-09-24,0.0072119739473616665,0.007012143738298926,0.1998302090627409,0.0001998302090627409,1.5027451214625636,-0.03556818489800284
2010-10-01,0.012851108717376797,0.012834610840465364,0.016497876911432674,1.6497876911432674e-05,1.5220322702889433,-0.023190077869005177
2010-10-08,-0.0023077098080967738,-0.002346491179220594,0.03878137112382024,3.878137112382024e-05,1.5184608349922213,-0.025482153735060686
2010-10-15,0.0016569261175226756,0.0016301295152146712,0.02679660230800445,2.6796602308004452e-05,1.5209361228170395,-0.023893563430760767
2010-10-22,0.00039081019420228447,0.0003619036579892494,0.028906536213035083,2.890653621303508e-05,1.5214865551634549,-0.023540306940779576
