,core,composite_structural_defense_sleeve
2005-01-07,1.0,0.0
2005-01-14,0.9,0.1
2005-01-21,0.9,0.1
2005-01-28,0.9,0.1
2005-02-04,0.9,0.1
2005-02-11,0.9,0.1
2005-02-18,0.9,0.1
2005-02-25,0.9,0.1
2005-03-04,0.9,0.1
2005-03-11,0.9,0.1
2005-03-18,0.9,0.1
2005-03-25,0.9,0.1
2005-04-01,0.9,0.1
2005-04-08,0.9,0.1
2005-04-15,0.9,0.1
2005-04-22,0.9,0.1
2005-04-29,0.9,0.1
2005-05-06,0.9,0.1
2005-05-13,0.9,0.1
2005-05-20,0.9,0.1
2005-05-27,0.9,0.1
2005-06-03,0.9,0.1
2005-06-10,0.9,0.1
2005-06-17,0.9,0.1
2005-06-24,0.9,0.1
2005-07-01,0.9,0.1
2005-07-08,0.9,0.1
2005-07-15,0.9,0.1
2005-07-22,0.9,0.1
2005-07-29,0.9,0.1
2005-08-05,0.9,0.1
2005-08-12,0.9,0.1
2005-08-19,0.9,0.1
2005-08-26,0.9,0.1
2005-09-02,0.9,0.1
2005-09-09,0.9,0.1
2005-09-16,0.9,0.1
2005-09-23,0.9,0.1
2005-09-30,0.9,0.1
2005-10-07,0.9,0.1
2005-10-14,0.9,0.1
2005-10-21,0.9,0.1
2005-10-28,0.9,0.1
2005-11-04,0.9,0.1
2005-11-11,0.9,0.1
2005-11-18,0.9,0.1
2005-11-25,0.9,0.1
2005-12-02,0.9,0.1
2005-12-09,0.9,0.1
2005-12-16,0.9,0.1
2005-12-23,0.9,0.1
2005-12-30,0.9,0.1
2006-01-06,0.9,0.1
2006-01-13,0.9,0.1
2006-01-20,0.9,0.1
2006-01-27,0.9,0.1
2006-02-03,0.9,0.1
2006-02-10,0.9,0.1
2006-02-17,0.9,0.1
2006-02-24,0.9,0.1
2006-03-03,0.9,0.1
2006-03-10,0.9,0.1
2006-03-17,0.9,0.1
2006-03-24,0.9,0.1
2006-03-31,0.9,0.1
2006-04-07,0.9,0.1
2006-04-14,0.9,0.1
2006-04-21,0.9,0.1
2006-04-28,0.9,0.1
2006-05-05,0.9,0.1
2006-05-12,0.9,0.1
2006-05-19,0.9,0.1
2006-05-26,0.9,0.1
2006-06-02,0.9,0.1
2006-06-09,0.9,0.1
2006-06-16,0.9,0.1
2006-06-23,0.9,0.1
2006-06-30,0.9,0.1
2006-07-07,0.9,0.1
2006-07-14,0.9,0.1
2006-07-21,0.9,0.1
2006-07-28,0.9,0.1
2006-08-04,0.9,0.1
2006-08-11,0.9,0.1
2006-08-18,0.9,0.1
2006-08-25,0.9,0.1
2006-09-01,0.9,0.1
2006-09-08,0.9,0.1
2006-09-15,0.9,0.1
2006-09-22,0.9,0.1
2006-09-29,0.9,0.1
2006-10-06,0.9,0.1
2006-10-13,0.9,0.1
2006-10-20,0.9,0.1
2006-10-27,0.9,0.1
2006-11-03,0.9,0.1
2006-11-10,0.9,0.1
2006-11-17,0.9,0.1
2006-11-24,0.9,0.1
2006-12-01,0.9,0.1
2006-12-08,0.9,0.1
2006-12-15,0.9,0.1
2006-12-22,0.9,0.1
2006-12-29,0.9,0.1
2007-01-05,0.9,0.1
2007-01-12,0.9,0.1
2007-01-19,0.9,0.1
2007-01-26,0.9,0.1
2007-02-02,0.9,0.1
2007-02-09,0.9,0.1
2007-02-16,0.9,0.1
2007-02-23,0.9,0.1
2007-03-02,0.9,0.1
2007-03-09,0.9,0.1
2007-03-16,0.9,0.1
2007-03-23,0.9,0.1
2007-03-30,0.9,0.1
2007-04-06,0.9,0.1
2007-04-13,0.9,0.1
2007-04-20,0.9,0.1
2007-04-27,0.9,0.1
2007-05-04,0.9,0.1
2007-05-11,0.9,0.1
2007-05-18,0.9,0.1
2007-05-25,0.9,0.1
2007-06-01,0.9,0.1
2007-06-08,0.9,0.1
2007-06-15,0.9,0.1
2007-06-22,0.9,0.1
2007-06-29,0.9,0.1
2007-07-06,0.9,0.1
2007-07-13,0.9,0.1
2007-07-20,0.9,0.1
2007-07-27,0.9,0.1
2007-08-03,0.9,0.1
2007-08-10,0.9,0.1
2007-08-17,0.9,0.1
2007-08-24,0.9,0.1
2007-08-31,0.9,0.1
2007-09-07,0.9,0.1
2007-09-14,0.9,0.1
2007-09-21,0.9,0.1
2007-09-28,0.9,0.1
2007-10-05,0.9,0.1
2007-10-12,0.9,0.1
2007-10-19,0.9,0.1
2007-10-26,0.9,0.1
2007-11-02,0.9,0.1
2007-11-09,0.9,0.1
2007-11-16,0.9,0.1
2007-11-23,0.9,0.1
2007-11-30,0.9,0.1
2007-12-07,0.9,0.1
2007-12-14,0.9,0.1
2007-12-21,0.9,0.1
2007-12-28,0.9,0.1
2008-01-04,0.9,0.1
2008-01-11,0.9,0.1
2008-01-18,0.9,0.1
2008-01-25,0.9,0.1
2008-02-01,0.9,0.1
2008-02-08,0.9,0.1
2008-02-15,0.9,0.1
2008-02-22,0.9,0.1
2008-02-29,0.9,0.1
2008-03-07,0.9,0.1
2008-03-14,0.9,0.1
2008-03-21,0.9,0.1
2008-03-28,0.9,0.1
2008-04-04,0.9,0.1
2008-04-11,0.9,0.1
2008-04-18,0.9,0.1
2008-04-25,0.9,0.1
2008-05-02,0.9,0.1
2008-05-09,0.9,0.1
2008-05-16,0.9,0.1
