,gross_return,net_return,turnover,cost,wealth,drawdown
2014-04-11,0.014346873644380363,0.014309945445463098,0.03692819891726557,3.692819891726557e-05,2.010408943041665,-0.0065267563286594
2014-04-18,0.0012548486035459517,0.0012222868935286991,0.032561710017252665,3.256171001725266e-05,2.012866239543378,-0.005312447003848475
2014-04-25,0.005816286914669546,0.0055432143244291444,0.2730725902404018,0.0002730725902404018,2.0240239885155744,0.0
2014-05-02,-0.0027956675433836544,-0.002827598628696749,0.03193108531309466,3.193108531309466e-05,2.0183008610611983,-0.002827598628696859
2014-05-09,0.003258508074858362,0.003234657354581036,0.023850720277325634,2.3850720277325634e-05,2.024829372785187,0.0
2014-05-16,0.0032600528979080095,0.003236852091121143,0.02320080678686677,2.320080678686677e-05,2.0313834459746505,0.0
2014-05-23,0.003851357795450082,0.003829742860515816,0.021614934934266035,2.1614934934266036e-05,2.039163122223842,0.0
2014-05-30,0.008265173257025946,0.007857769616615972,0.40740364040997357,0.00040740364040997356,2.0551863962489763,0.0
2014-06-06,-0.0036060436809923235,-0.0037572319508000713,0.15118826980774783,0.00015118826980774783,2.04746458425614,-0.003757231950800022
2014-06-13,0.00935758616443396,0.009312312016540635,0.045274147893325574,4.527414789332558e-05,2.0665312133075497,0.0
2014-06-20,0.0007638132648897037,0.0006726617312802398,0.09115153360946399,9.115153360946398e-05,2.067921289771238,0.0
2014-06-27,-0.00267161159004145,-0.003025465780777757,0.3538541907363066,0.0003538541907363066,2.061664864671693,-0.0030254657807778917
2014-07-04,0.002972114687427459,0.002936078901248465,0.03603578617899372,3.603578617899372e-05,2.0677180753823006,-9.826988577488205e-05
2014-07-11,0.005988370765263598,0.005936163948751416,0.05220681651218201,5.220681651218201e-05,2.0799923888775664,0.0
2014-07-18,0.003358065917922199,0.0032921682342369283,0.06589768368527091,6.589768368527091e-05,2.0868400737476835,0.0
2014-07-25,-0.01791637647948214,-0.018079935814008647,0.16355933452650764,0.00016355933452650765,2.0491101391602244,-0.018079935814008574
2014-08-01,0.0015670196958729949,0.00154965661996642,0.017363075906574946,1.7363075906574947e-05,2.0522855562524143,-0.016558296886264978
2014-08-08,0.014680297759158993,0.014657227073059328,0.023070686099664915,2.3070686099664916e-05,2.082366371669166,-0.0021437685306106014
2014-08-15,0.005381189178746048,0.0053398590053701685,0.041330173375879506,4.133017337587951e-05,2.0934859144914038,0.0
2014-08-22,0.009143240693435783,0.00908548430008055,0.05775639335523214,5.775639335523214e-05,2.112506247899955,0.0
2014-08-29,-0.002303314476629721,-0.002473908770352179,0.17059429372245846,0.00017059429372245848,2.1072801001658514,-0.002473908770352251
2014-09-05,-0.025922399662840392,-0.025972592939934088,0.050193277093694394,5.01932770936944e-05,2.0525485719138206,-0.028382247884823242
2014-09-12,0.005657961548214407,0.005504484404245687,0.15347714396872011,0.00015347714396872012,2.063846793516877,-0.023033993121417073
2014-09-19,-0.005655921656503151,-0.005714618790484614,0.05869713398146312,5.869713398146312e-05,2.052052695849964,-0.028616981421990095
2014-09-26,0.0031565912292661176,0.003023488315068922,0.1331029141971958,0.0001331029141971958,2.0582570531977717,-0.025680016215863244
2014-10-03,0.001192221539326137,0.0011714257925555342,0.020795746770602738,2.079574677060274e-05,2.0606681485975966,-0.024538672656656324
2014-10-10,0.0038732069811539525,0.0038641846409729064,0.009022340181046327,9.022340181046328e-06,2.0686309508075493,-0.020769309977673234
2014-10-17,0.014298461338564923,0.014264758607116113,0.03370273144880939,3.3702731448809396e-05,2.098139471968028,-0.0068008205638251384
2014-10-24,0.010777285766662249,0.010765010968612229,0.012274798050020495,1.2274798050020495e-05,2.120725966397442,0.0
2014-10-31,0.0016168348662347022,0.0014878512147066187,0.12898365152808353,0.00012898365152808354,2.123881291102606,0.0
2014-11-07,-0.0007013556911188546,-0.0007253658555860254,0.024010164467170712,2.4010164467170713e-05,2.1223407001327224,-0.0007253658555859133
