version_name,method_name,subset_name,subset_sleeves,overlay_variant,sleeve_reallocation_speed,target_vol_ceil,note,ann_return,ann_vol,sharpe,max_drawdown,calmar,cvar_5,hit_rate,avg_weekly_turnover,annual_turnover,avg_max_weight,avg_effective_n,avg_hhi,weight_instability,allocation_instability,psr_zero,psr_selection,observations,avg_bil_weight,avg_spy_weight,avg_cash_weight,avg_regime_multiplier,avg_target_vol_multiplier,avg_gross_multiplier,delta_ann_return_vs_baseline,delta_ann_vol_vs_baseline,delta_sharpe_vs_baseline,delta_max_drawdown_vs_baseline,delta_calmar_vs_baseline,delta_cvar_5_vs_baseline,delta_avg_weekly_turnover_vs_baseline,delta_avg_effective_n_vs_baseline,delta_avg_bil_weight_vs_baseline,delta_avg_spy_weight_vs_baseline,delta_avg_cash_weight_vs_baseline
baseline_hrp_default,hrp,baseline_current,"['dual_momentum_topn', 'cta_trend_long_only', 'composite_equal_weight', 'composite_regime_conditioned', 'taa_10m_sma', 'composite_breadth_filtered']",baseline,0.4,1.0,Original baseline stack with the experimental breadth sleeve still active.,0.05057995604178389,0.06368868753896327,0.7941748840536279,-0.12220885373118984,0.4138812737172004,-0.0223336633997956,0.563963963963964,0.056377111459350676,2.931609795886235,0.491393947958945,4.064742200822975,0.3537796229407813,0.11265264253769351,0.046676573234592705,0.9998094113998796,0.9878591753870138,1110,0.44857863343629306,0.049354171185478905,0.34450869868933315,0.655491301310667,0.9998655435486508,0.655491301310667,,,,,,,,,,,
improved_hrp_selective,hrp,improved_selective_core,"['dual_momentum_topn', 'cta_trend_long_only', 'composite_selective_signals', 'composite_regime_conditioned', 'taa_10m_sma']",looser_neutral_stress,0.6,1.0,"Drops the redundant breadth sleeve, swaps in the selective composite sleeve, and relaxes only the overlay that was visibly binding.",0.06238336649062948,0.07199970175208649,0.8664392347822699,-0.14054808286004072,0.4438578258854765,-0.024408563347809952,0.5504504504504505,0.05310218218524384,2.7613134736326796,0.3872585253726671,5.257336521778727,0.28041773384284135,0.1061086847629467,0.04169917178128572,0.9999408653960293,0.9960591067549383,1110,0.34653094078878144,0.06424089744822714,0.23430260016518253,0.7657323873519599,0.9995030008097187,0.7656973998348175,0.011803410448845586,0.008311014213123219,0.07226435072864201,-0.018339229128850887,0.029976552168276105,-0.0020748999480143526,-0.0032749292741068373,1.1925943209557524,-0.10204769264751162,0.014886726262748236,-0.11020609852415061
baseline_max_div_default,max_diversification,baseline_current,"['dual_momentum_topn', 'cta_trend_long_only', 'composite_equal_weight', 'composite_regime_conditioned', 'taa_10m_sma', 'composite_breadth_filtered']",baseline,0.4,1.0,Original maximum-diversification baseline.,0.05040517666090483,0.06376416068749609,0.7904938466599952,-0.127180423620318,0.3963281079435894,-0.022149025345679165,0.5585585585585585,0.05628529524617796,2.926835352801254,0.48417419197203776,4.227778710854727,0.34634516847515834,0.1124691755459664,0.04566077993553561,0.9997928123485773,0.9871466542670218,1110,0.44145834905973774,0.05358573102939026,0.3446490092452807,0.655491301310667,0.9995928231564655,0.6553509907547196,,,,,,,,,,,
improved_max_div_selective,max_diversification,improved_selective_core,"['dual_momentum_topn', 'cta_trend_long_only', 'composite_selective_signals', 'composite_regime_conditioned', 'taa_10m_sma']",looser_neutral_stress,0.6,1.0,Improved maximum-diversification version using the same selective sleeve set and looser overlay rules.,0.06236708785795875,0.07254980854612858,0.8596451060005835,-0.14824268559329157,0.42070937671127195,-0.024391261480137483,0.5585585585585585,0.0520291631133813,2.7055164818958275,0.37759907184710667,5.4224668966196905,0.27501441614602334,0.10396457998691867,0.03904466227945575,0.9999320291697773,0.995640038820519,1110,0.3356167872154758,0.06292571035385823,0.23431392895501962,0.7657323873519599,0.9996690192079474,0.7656860710449804,0.01196191119705392,0.008785647858632492,0.0691512593405883,-0.02106226197297356,0.02438126876768254,-0.0022422361344583176,-0.004256132132796658,1.1946881857649636,-0.10584156184426197,0.009339979324467972,-0.11033508029026107
improved_inverse_vol_selective,inverse_vol,improved_selective_core,"['dual_momentum_topn', 'cta_trend_long_only', 'composite_selective_signals', 'composite_regime_conditioned', 'taa_10m_sma']",looser_neutral_stress,0.6,1.0,Inverse-vol reference run on the improved finalist sleeves.,0.06242469984623278,0.07450751749996332,0.8378308919803095,-0.15374490881488878,0.4060277529020039,-0.02496209678850506,0.5522522522522523,0.05397234727349065,2.806562058221514,0.378451460450546,5.432521758207957,0.2735590422167858,0.10784744707441646,0.03537647879559882,0.9999064490093691,0.9945083445817199,1110,0.336807003815672,0.06879452857570648,0.23444273998330592,0.7657323873519599,0.9964022704253915,0.765557260016694,,,,,,,,,,,
improved_herc_selective,herc,improved_selective_core,"['dual_momentum_topn', 'cta_trend_long_only', 'composite_selective_signals', 'composite_regime_conditioned', 'taa_10m_sma']",looser_neutral_stress,0.6,1.0,HERC reference run on the improved finalist sleeves.,0.06164770746503678,0.0746502386124795,0.8258206351497308,-0.15208358289753188,0.40535412363721507,-0.02483416876066066,0.5522522522522523,0.05401107849868267,2.808576081931499,0.37622929246076314,5.455487825197705,0.2717408739482631,0.10792483973880915,0.03903418392874212,0.9998845070030696,0.99361059787069,1110,0.3359653268540467,0.06934623583589251,0.23508526249467845,0.7657323873519599,0.9952732842054015,0.7649147375053215,,,,,,,,,,,
