name,full_ann_return,full_ann_vol,full_sharpe,full_max_drawdown,full_cvar_5,full_calmar,holdout_ann_return,holdout_sharpe,holdout_max_drawdown,avg_BIL,avg_SPY,avg_turnover,avg_offensive_sleeve,avg_defensive_sleeve,avg_explicit_cash_sleeve,avg_composite_regime_offense_component,avg_composite_regime_defense_component,avg_composite_regime_cash_component
improved_phaseddd_confirmed_harder_dual_cap,0.07142949164881651,0.07615823993698702,0.9379089079253532,-0.11749144441113335,-0.025319438591311378,0.6079548345568551,0.14614153507281413,1.8114806247624393,-0.07278880579346969,0.2673445934817285,0.06035200447193239,0.12335903521285745,0.445530437769066,0.32907606133913186,0.22539350089180193,0.09791435081256054,0.21707089991945008,
improved_phaseddd_confirmed_near_exclude_dual,0.07145425148262641,0.07618411907741478,0.9379153076511642,-0.11749144441113335,-0.025341811734049043,0.6081655718912541,0.14593134555871012,1.8080530502931056,-0.07277138312998843,0.26777525091410403,0.060167927263965235,0.12383233348027554,0.4454185517070976,0.3290339229304822,0.22554752536241993,0.0991932968988073,0.21704326722809775,
improved_phaseddd_confirmed_dual_hard_css_soft,0.07133282001379304,0.07622819465972552,0.9357800001982874,-0.11749144441113335,-0.02536413960594558,0.6071320373267419,0.1460627887397432,1.8005901710014154,-0.07290207693815498,0.2679901395790345,0.06038190100694973,0.12404746644992345,0.44549495747978635,0.32905837211248434,0.22544667040772923,0.09975752430938549,0.2170592818033079,
improved_phaseddd_confirmed_defensive_balanced_substitution,0.07138567766050219,0.07612197202419828,0.9377801935794506,-0.11749144441113324,-0.02530088118714141,0.6075819223968774,0.14620434942608695,1.8138747681642196,-0.0727458518381402,0.26706296757409476,0.06036664011957867,0.12316888893176939,0.4450054661840576,0.32976045620774014,0.22523407760820208,0.09729506223223959,0.21773784618866268,
improved_phase2b_regime_confidence_boost,0.06892339744592735,0.07789583362986176,0.8848149411100881,-0.1397540394638661,-0.026181041847003924,0.49317642416874635,0.12434300579402913,1.624899271571444,-0.06264198894939876,0.2839178772422698,0.07081167142134887,0.11235713174891823,0.3908031422936725,0.1337725320855525,0.2211194788802588,,,
improved_phase2b_combo_abc,0.06858383853128158,0.07758151231293113,0.8840229648352725,-0.13674121541523387,-0.026085048036177054,0.5015593749332792,0.12357814887332408,1.6276887811347291,-0.0623953152856741,0.28555249754723755,0.07075650850396528,0.11304102891252374,0.38986047647566613,0.13357171387880154,0.22286068295642847,,,
improved_phaseyy_conservative_decomposition,0.06986630406135141,0.07514665511022055,0.9297327200908113,-0.11749144441113324,-0.024972889676923214,0.594650141646663,0.14650128639608773,1.8733733421824963,-0.06927848575257689,0.26521166764409637,0.060253788497390985,0.11860558926746863,0.4317811543468304,0.3443617705344793,0.22385707511869002,0.08065971473756761,0.22569881213794274,
improved_phasezz_recovery_neutral_offense_rebudget,0.07079685002248426,0.0757463468958119,0.9346569560623748,-0.11749144441113346,-0.02514573161382176,0.6025702584330095,0.1463678482575368,1.8379337339309632,-0.07254380744775002,0.26516889662267934,0.060902045720540025,0.1202717839595407,0.44607345838252654,0.32934245737823536,0.2245840842392379,0.089350011896667,0.21608321973860017,
improved_phaseaaa_confirmed_offense_mix_tilt,0.07106526369483812,0.07592326594244687,0.9360143140932408,-0.11749144441113346,-0.02520494014728566,0.6048547964578772,0.14649450783674345,1.8280238202339596,-0.07270237953390979,0.2655032875007067,0.06106248816700025,0.12150283022339818,0.4459675523440446,0.3292699287001237,0.22476251895583146,0.09078773572476032,0.21603899218897343,
improved_phasebbb_offense_defense_composition_combo,0.0712822615037727,0.07609356098895183,0.9367712665480633,-0.11749144441113324,-0.02527691167536644,0.6067017208022183,0.14651046883931151,1.8172591411131758,-0.07282018326462181,0.2666072372607223,0.060761998831529024,0.1225552521216912,0.44577934936544145,0.3291765582785135,0.22504409235604483,0.09559507005412132,0.21713681001308102,
improved_phaseccc_confirmed_cap_dual,0.07137572346834964,0.07612271268030675,0.9376403041245641,-0.11749144441113324,-0.02529080937870202,0.6074971996989614,0.14640640373811187,1.8157440588188702,-0.07280970272890175,0.26681976625369247,0.06058798713568448,0.12280796721983436,0.4456721153925394,0.329129276035067,0.22519860857239338,0.0962565731090119,0.2171057949380378,
