,gross_return,net_return,turnover,cost,wealth,drawdown
2010-05-21,0.011865775132879045,0.011849164417817616,0.016610715061428975,1.6610715061428975e-05,1.2589436538807401,-0.06777974585578128
2010-05-28,-0.017289339046825242,-0.017806584278199093,0.5172452313738493,0.0005172452313738493,1.2365261676064088,-0.0843794043770445
2010-06-04,0.020719174681737368,0.020711121271811253,0.008053409926115704,8.053409926115705e-06,1.262136011019473,-0.06541587518212955
2010-06-11,0.014854590336644335,0.014812052838592011,0.042537498052323264,4.253749805232326e-05,1.2808308363041832,-0.05157276574321801
2010-06-18,-0.014252946958955405,-0.01426891296042694,0.015966001471534375,1.5966001471534374e-05,1.262554772583928,-0.06510579139812644
2010-06-25,-0.023629890978689012,-0.023832099067991448,0.20220808930243522,0.00020220808930243524,1.2324654421649424,-0.08738628279561778
2010-07-02,0.01601312798947045,0.016008293434869685,0.004834554600762953,4.834554600762953e-06,1.2521951106114553,-0.0727768946179227
2010-07-09,-0.005761108014256503,-0.005768134791719642,0.007026777463138827,7.026777463138827e-06,1.2449722804279162,-0.07812524247176333
2010-07-16,0.015481127681853205,0.015477209812130306,0.003917869722898568,3.917869722898568e-06,1.2642409776223853,-0.0638571934289921
2010-07-23,0.002746808568675461,0.002740220448968569,0.006588119706891961,6.588119706891961e-06,1.2677052766016903,-0.06129195576727131
2010-07-30,0.005191970277710269,0.005042466803009562,0.14950347470070588,0.00014950347470070588,1.2740976383749545,-0.05655855161650969
2010-08-06,-0.0050401640939421455,-0.005042695406119351,0.0025313121772050223,2.5313121772050225e-06,1.2676727520669735,-0.06131603947421582
2010-08-13,0.0039970981697072545,0.003987395062046793,0.009703107660461396,9.703107660461397e-06,1.2727274641388566,-0.05757313568519273
2010-08-20,0.001275753583230207,0.0012667347426309295,0.009018840599277725,9.018840599277725e-06,1.274339672235582,-0.05637933083377633
2010-08-27,0.006992185495811628,0.006804347361779641,0.18783813403198685,0.00018783813403198686,1.2830107220223692,-0.04995860802301455
2010-09-03,-0.0019366521323178952,-0.0019479833158226306,0.01133118350473525,1.133118350473525e-05,1.2805114385418481,-0.051809272803926554
2010-09-10,0.005527379277689115,0.005515198445447514,0.012180832241601935,1.2180832241601936e-05,1.287573713237072,-0.046579812779307006
2010-09-17,0.0054307437291323275,0.005409162337733094,0.02158139139923366,2.158139139923366e-05,1.294538408473769,-0.04142260821055843
2010-09-24,0.004769283809028851,0.004726154660089994,0.04312914893885725,4.3129148938857246e-05,1.300656597205643,-0.03689222320329566
2010-10-01,0.006092309462310342,0.0060875215369954015,0.004787925314940247,4.787925314940247e-06,1.3085743722533674,-0.031029283869598134
2010-10-08,-0.0025381242483385547,-0.002552321746491239,0.014197498152684264,1.4197498152684264e-05,1.305234469426164,-0.03350240890009093
2010-10-15,0.00025718158850531565,0.0002461408853478426,0.011040703157473054,1.1040703157473055e-05,1.305555740994055,-0.03326451432733102
2010-10-22,0.0011909834624320697,0.001179452386945667,0.011531075486402748,1.1531075486402748e-05,1.307095581829061,-0.03212429585120935
2010-10-29,0.017676690804442046,0.017195798719041,0.48089208540104733,0.00048089208540104736,1.3295721343607414,-0.015480900057616598
2010-11-05,-0.027876329515467174,-0.027900372097228503,0.024042581761327016,2.4042581761327017e-05,1.2924765770819704,-0.04294934928283767
2010-11-12,-0.005329860266916555,-0.005366014115934703,0.036153849018148415,3.615384901814841e-05,1.2855411295248336,-0.048084896584250414
2010-11-19,0.0017818203637444082,0.0017536012420131598,0.02821912173124843,2.821912173124843e-05,1.2877954560462272,-0.04641561707660957
2010-11-26,0.012590834807589466,0.012290168786371769,0.3006660212176979,0.00030066602121769795,1.3036226795633579,-0.034695904058433036
2010-12-03,-0.007913651862349035,-0.007926661030520567,0.013009168171531603,1.3009168171531604e-05,1.2932893044707603,-0.04234754241833483
2010-12-10,-0.0006100709462432325,-0.0006165943277548386,0.006523381511606086,6.5233815116060856e-06,1.2924918696214776,-0.042938025491640275
2010-12-17,0.0065124170518787924,0.006494323324971844,0.018093726906947945,1.8093726906947945e-05,1.3008857297176968,-0.03672255558714699
2010-12-24,0.011891498495253845,0.011879622906588248,0.01187558866559737,1.1875588665597371e-05,1.3163397616313048,-0.025279182793100263
2010-12-31,-0.015703081499239158,-0.016089691705214165,0.3866102059750054,0.0003866102059750054,1.295160260687342,-0.04096214024061373
2011-01-07,0.0053511397008806656,0.00533910725337488,0.012032447505785053,1.2032447505785052e-05,1.3020752602294607,-0.0358417342473113
2011-01-14,-0.006497108793149559,-0.00652640495269407,0.02929615954451152,2.9296159544511522e-05,1.2935773898023188,-0.042134221528100535
2011-01-21,0.0037921203522417062,0.0037741431746329958,0.017977177608710385,1.7977177608710383e-05,1.2984595360789009,-0.038519098938066265
2011-01-28,0.006653358971658059,0.006166159846006678,0.4871991256513812,0.0004871991256513812,1.3064660451319352,-0.03259045401323568
2011-02-04,0.005013306061572233,0.005005348340813822,0.007957720758410964,7.957720758410964e-06,1.313005362783266,-0.02774823224734324
2011-02-11,0.007381559554037409,0.007359531314639867,0.022028239397541994,2.2028239397541995e-05,1.3226684668669597,-0.020592914916853555
2011-02-18,-0.0003618460314774798,-0.00037422947020401614,0.012383438726536364,1.2383438726536364e-05,1.3221734853473486,-0.02095943791141819
2011-02-25,0.0036033610852388488,0.0035150878404920727,0.08827324474677603,8.827324474677603e-05,1.3268210412887143,-0.01751802433627203
2011-03-04,-0.010475897391352657,-0.010488188892868362,0.012291501515704281,1.2291501515704282e-05,1.312905091580646,-0.02782248088087169
2011-03-11,-0.005580592998563326,-0.005586261614720804,0.005668616157477778,5.668616157477778e-06,1.3055708602637774,-0.03325331883862137
2011-03-18,0.007387128102208427,0.0073717621883788295,0.015365913829597807,1.5365913829597808e-05,1.3151952181657192,-0.026126692208695235
2011-03-25,0.0069420849293591125,0.0066540821201002765,0.28800280925883576,0.00028800280925883576,1.323946635151357,-0.019646459244078263
2011-04-01,-0.0010616913298730842,-0.001069397031604788,0.00770570173170388,7.705701731703881e-06,1.3225308105497229,-0.020694846410485912
2011-04-08,-0.0010475309385311244,-0.0010549224436223292,0.007391505091204732,7.3915050912047315e-06,1.3211356431152919,-0.021727937396162633
2011-04-15,0.009021688113689894,0.009005318892962931,0.016369220726963438,1.636922072696344e-05,1.3330328908824047,-0.0129182855083384
2011-04-22,0.010744916356449972,0.010725816271639956,0.01910008481001603,1.9100084810016032e-05,1.3473307567540624,-0.00233102839360555
2011-04-29,-0.02746846238254054,-0.028090157975055464,0.6216955925149231,0.0006216955925149231,1.3094840229521898,-0.030355707412840327
2011-05-06,-0.00401140249439005,-0.004050115818328091,0.03871332393804153,3.8713323938041525e-05,1.3041804609969834,-0.034282879100398955
2011-05-13,0.005983352710124273,0.005950569694352866,0.03278301577140662,3.2783015771406616e-05,1.3119410777241594,-0.028536312067455993
2011-05-20,0.007960736548541077,0.00793749446937739,0.023242079163686653,2.3242079163686655e-05,1.3223546027727437,-0.02082532441729057
2011-05-27,-0.0011222132121629612,-0.0016489362836612505,0.5267230714982891,0.0005267230714982892,1.3201741242883653,-0.022439921067901047
2011-06-03,-0.023730703018990357,-0.0237628187689773,0.03211574998694472,3.211574998694472e-05,1.2888030658294076,-0.04566950405935166
2011-06-10,-0.006922908080886604,-0.006972820979356049,0.04991289846944437,4.991289846944437e-05,1.279816472773734,-0.05232387976268582
2011-06-17,-0.0031848721003927246,-0.0032242516762046626,0.039379575811937954,3.9379575811937956e-05,1.275690022366159,-0.055379426081860195
2011-06-24,0.045425489556728475,0.045114206690420516,0.311282866307959,0.000311282866307959,1.3332417657080928,-0.012763618266093624
2011-07-01,0.002546311653928934,0.0025186153094956766,0.02769634443325728,2.769634443325728e-05,1.336599688830464,-0.010277149600967705
2011-07-08,-0.015247632562082874,-0.01527980851198775,0.03217594990487665,3.217594990487665e-05,1.3161767015279522,-0.025399925235003562
2011-07-15,0.021652995206335488,0.021623030290406603,0.02996491592888555,2.9964915928885552e-05,1.3446364302126186,-0.004326118297327541
2011-07-22,-0.022424819858582357,-0.022450697009902966,0.025877151320609283,2.5877151320609285e-05,1.3144484051294376,-0.026679690936108114
2011-07-29,-0.018307224150277614,-0.018863914667251888,0.5566905169742737,0.0005566905169742737,1.2896527625805705,-0.045040322190192716
2011-08-05,0.012376508228835875,0.012346565498092201,0.029942730743672978,2.994273074367298e-05,1.3055755448835669,-0.03324984998007696
2011-08-12,0.008208284577883035,0.008194619369935182,0.013665207947853577,1.3665207947853578e-05,1.3162742395325835,-0.0253277004748359
2011-08-19,0.008037818398503904,0.008031475980408443,0.0063424180954600555,6.3424180954600555e-06,1.32684586447102,-0.017499643312430035
2011-08-26,0.0037311566184308627,0.0032178248514404687,0.5133317669903941,0.0005133317669903941,1.331115422067746,-0.014338129248131604
2011-09-02,-0.0031720290552411986,-0.003181441960098943,0.009412904857744544,9.412904857744543e-06,1.3268805556102448,-0.017473955282211184
2011-09-09,0.003667267159105863,0.0036333039522682908,0.033963206837572237,3.3963206837572236e-05,1.3317015159771313,-0.013904139520731662
2011-09-16,-0.015351964332667953,-0.015354268660054515,0.00230432738656157,2.3043273865615703e-06,1.3112542131258165,-0.02904492028709793
2011-09-23,-0.0022068553173668556,-0.002238740851608091,0.031885534241235296,3.18855342412353e-05,1.3083186547520484,-0.031218637089127643
2011-09-30,-0.0009748811949190988,-0.0010681668520063903,0.09328565708729158,9.328565708729159e-05,1.3069211521331807,-0.03225345722783057
2011-10-07,0.002421148176488878,0.0024171014452563653,0.00404673123251284,4.04673123251284e-06,1.3100801131388378,-0.029914315660654278
2011-10-14,-0.0012971975819297515,-0.0013008431704311736,0.0036455885014220345,3.6455885014220346e-06,1.3083759043709433,-0.031176244997860203
2011-10-21,0.005609598586341639,0.0056039410473261355,0.005657539015503685,5.657539015503685e-06,1.31570796580678,-0.02574701378957911
2011-10-28,0.003630104726032865,0.0035689951368474307,0.061109589185434035,6.110958918543403e-05,1.3204037211382558,-0.022269909619735184
2011-11-04,-0.0008336658786992797,-0.0008352128407452123,0.0015469620459325722,1.5469620459325723e-06,1.3193009029953935,-0.023086522346003613
2011-11-11,-0.0015141908693633301,-0.001517094981020608,0.0029041116572778264,2.9041116572778265e-06,1.3172993982170031,-0.02456859287984392
2011-11-18,-0.003455569702189665,-0.0034809942970517806,0.025424594862115624,2.5424594862115623e-05,1.3127138865243,-0.02796406404519447
2011-11-25,0.008634420836746605,0.008473358847406564,0.16106198934004048,0.0001610619893400405,1.323836982348794,-0.01972765474727467
2011-12-02,-0.003713183536054812,-0.003750646099877136,0.03746256382232353,3.7462563822323534e-05,1.3188717383340745,-0.023404309395814282
2011-12-09,-0.0016642840470373205,-0.0017016689826512092,0.0373849356138888,3.73849356138888e-05,1.316627455204856,-0.02506615199110629
2011-12-16,-0.0009119027382084792,-0.0009271953494028653,0.015292611194386085,1.5292611194386086e-05,1.315406684351494,-0.025970106120955516
2011-12-23,0.0009253035939366149,0.000909021946407899,0.0162816475287159,1.62816475287159e-05,1.3166024178960212,-0.025084691570962048
