,dual_momentum_topn,cta_trend_long_only,composite_selective_signals,composite_regime_conditioned,taa_10m_sma,cash::BIL
2020-05-29,0.040413795050283384,0.028608857435933284,0.07960655715259635,0.17459294427218133,0.07677784608900567,0.6
2020-06-05,0.040413795050283384,0.028608857435933284,0.07960655715259635,0.17459294427218133,0.07677784608900567,0.6
2020-06-12,0.040413795050283384,0.028608857435933284,0.07960655715259635,0.17459294427218133,0.07677784608900567,0.6
2020-06-19,0.040413795050283384,0.028608857435933284,0.07960655715259635,0.17459294427218133,0.07677784608900567,0.6
2020-06-26,0.03986059989873361,0.0294529136341649,0.07365727669177348,0.1767557665633088,0.08027344321201926,0.6
2020-07-03,0.03986059989873361,0.0294529136341649,0.07365727669177348,0.1767557665633088,0.08027344321201926,0.6
2020-07-10,0.03986059989873361,0.0294529136341649,0.07365727669177348,0.1767557665633088,0.08027344321201926,0.6
2020-07-17,0.03986059989873361,0.0294529136341649,0.07365727669177348,0.1767557665633088,0.08027344321201926,0.6
2020-07-24,0.03986059989873361,0.0294529136341649,0.07365727669177348,0.1767557665633088,0.08027344321201926,0.6
2020-07-31,0.10937311826098878,0.08606446162080308,0.1768275717075766,0.4018949075328195,0.18583994087781203,0.040000000000000036
2020-08-07,0.10937311826098878,0.08606446162080308,0.1768275717075766,0.4018949075328195,0.18583994087781203,0.040000000000000036
2020-08-14,0.10937311826098878,0.08606446162080308,0.1768275717075766,0.4018949075328195,0.18583994087781203,0.040000000000000036
2020-08-21,0.10937311826098878,0.08606446162080308,0.1768275717075766,0.4018949075328195,0.18583994087781203,0.040000000000000036
2020-08-28,0.10815869378806732,0.08588259003489411,0.17708988317946608,0.3811946557738926,0.16767417722367994,0.07999999999999996
2020-09-04,0.10815869378806732,0.08588259003489411,0.17708988317946608,0.3811946557738926,0.16767417722367994,0.07999999999999996
2020-09-11,0.10815869378806732,0.08588259003489411,0.17708988317946608,0.3811946557738926,0.16767417722367994,0.07999999999999996
2020-09-18,0.10815869378806732,0.08588259003489411,0.17708988317946608,0.3811946557738926,0.16767417722367994,0.07999999999999996
2020-09-25,0.10500776071190428,0.08331609903711988,0.1717508699171871,0.40288889767008196,0.17703637266370675,0.06000000000000005
2020-10-02,0.10500776071190428,0.08331609903711988,0.1717508699171871,0.40288889767008196,0.17703637266370675,0.06000000000000005
2020-10-09,0.10500776071190428,0.08331609903711988,0.1717508699171871,0.40288889767008196,0.17703637266370675,0.06000000000000005
2020-10-16,0.10500776071190428,0.08331609903711988,0.1717508699171871,0.40288889767008196,0.17703637266370675,0.06000000000000005
2020-10-23,0.10500776071190428,0.08331609903711988,0.1717508699171871,0.40288889767008196,0.17703637266370675,0.06000000000000005
2020-10-30,0.10136884035634076,0.0798436474630273,0.16962074126016993,0.4109333386020491,0.17823343231841282,0.060000000000000164
2020-11-06,0.10136884035634076,0.0798436474630273,0.16962074126016993,0.4109333386020491,0.17823343231841282,0.060000000000000164
2020-11-13,0.10136884035634076,0.0798436474630273,0.16962074126016993,0.4109333386020491,0.17823343231841282,0.060000000000000164
2020-11-20,0.10136884035634076,0.0798436474630273,0.16962074126016993,0.4109333386020491,0.17823343231841282,0.060000000000000164
2020-11-27,0.10820305792433915,0.08400125315511628,0.18532278322553936,0.3806293014855407,0.1618436042094646,0.07999999999999985
2020-12-04,0.10820305792433915,0.08400125315511628,0.18532278322553936,0.3806293014855407,0.1618436042094646,0.07999999999999985
