,BIL,DBA,EEM,EFA,EWJ,GLD,HYG,IAU,IEF,IWM,LQD,MBB,PDBC,QQQ,SHY,SLV,SPY,TIP,TLT,USO,UUP,VEA,VNQ,VTV,VUG,VWO,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2016-05-20,0.06753591138532589,0.0,0.0,0.029278110826211824,0.0,0.20635782085947454,0.029278110826211824,0.0,0.0,0.0,0.14970822986824117,0.0,0.0,0.00796181055600568,0.0,0.0,0.03758904825248838,0.0,0.22768478827545022,0.0,0.0,0.0,0.2153280583243786,0.0,0.0,0.029278110826211824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27,0.11168895905931875,0.0,0.0,0.0,0.0,0.17662939975766728,0.03105189273827737,0.0,0.0,0.0,0.19763277749259386,0.0,0.03105189273827737,0.0,0.0,0.0,0.0348341136008163,0.0,0.20616595289753573,0.0,0.0,0.0,0.21094501171551336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-03,0.11168895905931886,0.0011360903714370183,0.0,0.0,0.0,0.1787077274994133,0.033401970265975835,0.0,0.0,0.0,0.19657345974243706,0.0,0.03105189273827737,0.0,0.0,0.0,0.03341548447299497,0.0,0.20776496144149242,0.0,0.0,0.0,0.20625945440865326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-10,0.11168895905931875,0.0,0.0,0.0,0.0,0.17769749181356057,0.03105189273827737,0.0,0.0,0.0,0.19510890435831982,0.0,0.03105189273827737,0.0,0.0,0.0,0.03370329705425746,0.0,0.21135680305183172,0.0,0.0,0.0,0.20834075918615697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-17,0.11168895905931875,0.0,0.0,0.0,0.0,0.177384001139719,0.03246130440444698,0.0,0.0,0.0,0.19498862739645006,0.0,0.03105189273827737,0.0,0.0,0.0,0.03357757364191608,0.0,0.21089177651122198,0.0,0.0,0.0,0.20795586510864975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-24,0.09013217494555592,0.0,0.0,0.0,0.0,0.1785756622759059,0.02984923438880858,0.0,0.0,0.0,0.19569543847021417,0.0,0.028479710340467614,0.0,0.0,0.0,0.03172626066032654,0.0,0.2125743713062595,0.0,0.0,0.0,0.20448743727199423,0.0,0.0,0.028479710340467614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,0.09013217494555592,0.0,0.0,0.0,0.0,0.1731169963993628,0.02992880604126706,0.0,0.0,0.0,0.19315177140139614,0.0,0.028479710340467614,0.0,0.0,0.0,0.03274674068859767,0.0,0.2152839409169128,0.0,0.0,0.0,0.20868014892597248,0.0,0.0,0.028479710340467614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-08,0.09013217494555581,0.0025866056333322457,0.0,0.0,0.0,0.17790239263453997,0.031228893736448295,0.0,0.0,0.0,0.18827567545746204,0.0,0.028479710340467614,0.0,0.0,0.0,0.032412639831739185,0.0,0.21397774826937674,0.0,0.0,0.0,0.20652444881061044,0.0,0.0,0.028479710340467614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-15,0.08364630891597968,0.010012172251956821,0.0,0.0,0.0,0.1798650969096523,0.028479710340467614,0.0,0.0,0.0024292299725375034,0.18357232374592702,0.0,0.028479710340467614,0.0,0.0,0.0,0.03325262646908762,0.0,0.21581829765996594,0.0,0.0,0.0,0.20596481305349024,0.0,0.0,0.028479710340467614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-22,0.08364630891597968,0.008749788794933662,0.0,0.0,0.0,0.18049809680885362,0.028479710340467614,0.0,0.0,0.0,0.18800582006343758,0.0,0.03292387077402392,0.0,0.0,0.0,0.029582249393437884,0.0,0.21130271229359218,0.0,0.0,0.0,0.2083317322748062,0.0,0.0,0.028479710340467614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-29,0.0,0.004603117234398428,0.0,0.027181044859263558,0.0,0.2241330483913326,0.028834755565785387,0.0,0.0,0.0,0.1814754223518778,0.0,0.028731678840040027,0.0,0.0,0.0,0.027181044859263558,0.0,0.22779175537347932,0.0,0.0,0.0,0.22288708766529577,0.0,0.0,0.027181044859263558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-05,0.0,0.002660002925434704,0.0,0.027181044859263558,0.0,0.2245031785761473,0.027181044859263558,0.0,0.0,0.0,0.18202346264235805,0.0,0.031785254883162396,0.0,0.0,0.0,0.028461240266471354,0.0,0.2257162677848065,0.0,0.0,0.0,0.223307458343829,0.0,0.0,0.027181044859263558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-12,0.0,0.0,0.0,0.027181044859263558,0.0,0.2274079419227322,0.029136368625214525,0.0,0.0,0.0,0.18041556695972316,0.0,0.027181044859263558,0.0,0.0,0.0,0.02992556584194166,0.0,0.22655988811571512,0.0,0.0,0.0,0.2250115339568827,0.0,0.0,0.027181044859263558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-19,0.0,0.0,0.0,0.027181044859263558,0.0,0.230423810750119,0.027181044859263558,0.0,0.0,0.012490935845788946,0.1572760160835982,0.0,0.027181044859263558,0.0,0.0,0.0,0.031237215050084886,0.0,0.2179774323843168,0.0,0.0,0.0,0.2344306442053881,0.0,0.0,0.034620811102913415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-26,0.0,0.0,0.0,0.027675013689099345,0.0,0.22445025147745346,0.027675013689099345,0.0,0.0,0.006377393371854475,0.15672239804361848,0.0,0.027675013689099345,0.0,0.0,0.0,0.03453260861671972,0.0,0.2162592157182785,0.0,0.0,0.0,0.23659827907934294,0.0,0.0,0.0420348126254345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-02,0.0,0.0,0.0,0.027675013689099345,0.0,0.22633298998531498,0.027675013689099345,0.0,0.0,0.0033488403359055816,0.161876433876386,0.0,0.027675013689099345,0.0,0.0,0.0,0.03396055851250607,0.0,0.22506846283117365,0.0,0.0,0.0,0.22876356541467424,0.0,0.0,0.037624107976741504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-09,0.0,0.0,0.0,0.027675013689099345,0.0,0.22736314666618845,0.027675013689099345,0.0,0.0,0.003601386194305217,0.15672239804361848,0.0,0.027675013689099345,0.002446458507292797,0.0,0.0,0.03766539338955523,0.0,0.217785405770349,0.0,0.0,0.0,0.2297050501139049,0.0,0.0,0.04168572024748794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-16,0.0,0.0,0.0,0.027675013689099345,0.0,0.22634675021998035,0.027675013689099345,0.0,0.0,0.002684890011774106,0.15672239804361848,0.0,0.027675013689099345,0.0013121430420457766,0.0,0.0,0.0333117262801431,0.0,0.22250459243556114,0.0,0.0,0.0,0.22900775156941783,0.0,0.0,0.04508470733016125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-23,0.0,0.0,0.0,0.027675013689099345,0.0,0.2258062988949865,0.027675013689099345,0.0,0.0,0.009704145599082083,0.15672239804361848,0.0,0.027675013689099345,0.006669231889371736,0.0,0.0,0.03529448762424301,0.0,0.21561706833975874,0.0,0.0,0.0,0.2217408871295798,0.0,0.0,0.04542044141206169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,1.1102230246251565e-16,0.0,0.0,0.030201039239537125,0.0,0.13848902255089401,0.03716613369453162,0.0,0.0,0.03854062918712111,0.04836896763234194,0.0,0.030201039239537125,0.021132167764956623,0.0,0.0,0.04732819244551191,0.0,0.20459438441464156,0.0,0.0,0.0,0.2176332323188942,0.0,0.0,0.18634519151203272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-07,1.1102230246251565e-16,0.0,0.0,0.030201039239537125,0.00923905223093078,0.14370731070852322,0.06376212795511527,0.0,0.0,0.041037667592437294,0.04836896763234194,0.0,0.030201039239537125,0.008845911991379733,0.0,0.0,0.038591048583264384,0.0,0.19550645313758233,0.0,0.0,0.0,0.21030830738944106,0.0,0.0,0.18023107429990964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-14,1.1102230246251565e-16,0.0,0.0,0.030201039239537125,0.02066456918227959,0.14236102481380752,0.04459506903863279,0.0,0.0,0.04068929862311992,0.04836896763234194,0.0,0.030201039239537125,0.015586922063368156,0.0,0.0,0.04371319632429345,0.0,0.19550645313758233,0.0,0.0,0.0028981277734493813,0.19550645313758233,0.0,0.0,0.18970783979446826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-21,2.220446049250313e-16,0.0,0.0,0.030201039239537125,0.0,0.14472711063108812,0.053662309396594554,0.0,0.0,0.03830613134040638,0.04836896763234194,0.0,0.030201039239537125,0.03808312001354048,0.0,0.0,0.05180752357946657,0.0,0.19550645313758233,0.0,0.0,0.0,0.19550645313758233,0.0,0.0,0.17362985265232297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-28,0.027875259079037762,0.0,0.0,0.030286138526,0.01669414352293319,0.2115570989186912,0.1384526456677852,0.0,0.0,0.0373746231764876,0.08758952899237121,0.0,0.030286138526,0.025853036037723653,0.0,0.0,0.03722793337080979,0.0,0.18819809282490724,0.0,0.0,0.0,0.11366962089257106,0.0,0.0,0.05493574046468214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
